
[00:00:00.000 --> 00:00:09.000]  我們會一齊用七天的晚上去看舊約聖經
[00:00:09.000 --> 00:00:15.000]  以賽亞書四十到六十六章
[00:00:15.000 --> 00:00:19.000]  你心算很快
[00:00:19.000 --> 00:00:22.000]  二十七章的經文
[00:00:22.000 --> 00:00:25.000]  由明天開始
[00:00:25.000 --> 00:00:27.000]  還是今晚開始
[00:00:27.000 --> 00:00:31.000]  你有六天的時間
[00:00:31.000 --> 00:00:37.000]  每天讀四章半的聖經
[00:00:37.000 --> 00:00:39.000]  記不記得
[00:00:39.000 --> 00:00:41.000]  感謝主
[00:00:41.000 --> 00:00:44.000]  我這星期讀完整本賽亞書好不好
[00:00:44.000 --> 00:00:47.000]  不好
[00:00:47.000 --> 00:00:49.000]  太多了
[00:00:49.000 --> 00:00:52.000]  忽倫吞祖
[00:00:52.000 --> 00:00:54.000]  消化不良
[00:00:54.000 --> 00:00:59.000]  我可以保證你讀不過十三章就放棄了
[00:00:59.000 --> 00:01:02.000]  所以由四十章開始
[00:01:02.000 --> 00:01:05.000]  按著我們每晚的進度
[00:01:05.000 --> 00:01:08.000]  我邀請弟兄姊妹
[00:01:08.000 --> 00:01:15.000]  你好好讀完這二十七章的經文
[00:01:15.000 --> 00:01:20.000]  通常呼召決志是在講完之後
[00:01:20.000 --> 00:01:24.000]  今晚我破例
[00:01:24.000 --> 00:01:29.000]  一開始就請大家決志讀好聖經
[00:01:29.000 --> 00:01:31.000]  可以嗎
[00:01:31.000 --> 00:01:33.000]  我不用你站起來
[00:01:33.000 --> 00:01:35.000]  我不用你舉手
[00:01:35.000 --> 00:01:38.000]  不過這是一個很認真的邀請
[00:01:38.000 --> 00:01:40.000]  弟兄姊妹
[00:01:40.000 --> 00:01:44.000]  你不要來到禮堂聽到的時候
[00:01:44.000 --> 00:01:50.000]  才第一次都不知道那句話在那裏停
[00:01:50.000 --> 00:01:52.000]  在那裏開始
[00:01:52.000 --> 00:01:56.000]  這樣讓我們一起打開聖經
[00:01:56.000 --> 00:01:58.000]  感謝神
[00:01:58.000 --> 00:02:01.000]  上一次站在這裏
[00:02:01.000 --> 00:02:09.000]  是二零一五年華聯會的培靈奮興聚會
[00:02:09.000 --> 00:02:16.000]  當時我們讀的是以賽亞書第一到第七章
[00:02:16.000 --> 00:02:22.000]  神同在的應許
[00:02:22.000 --> 00:02:29.000]  一六年多謝華聯會的牧長們邀約
[00:02:29.000 --> 00:02:35.000]  二零一七年可不可以再講
