
[00:00:00.000 --> 00:00:06.640]  我記得有一次是去吃自助餐
[00:00:06.640 --> 00:00:10.540]  吃自助餐大家都知道自助餐很開心
[00:00:10.540 --> 00:00:12.240]  吃得很飽
[00:00:12.240 --> 00:00:16.320]  在吃自助餐中間也看不到吃完
[00:00:16.320 --> 00:00:17.560]  吃得很飽
[00:00:17.560 --> 00:00:20.460]  收到一個電話
[00:00:20.460 --> 00:00:26.860]  電話有個弟兄打電話給我
[00:00:26.860 --> 00:00:34.000]  他說我現在有什麼困難
[00:00:34.000 --> 00:00:37.000]  他說可不可以和我一起禁食祈禱
[00:00:37.000 --> 00:00:40.340]  於是就說我們現在一起禁食祈禱
[00:00:40.340 --> 00:00:41.220]  我們現在一起祈禱
[00:00:41.220 --> 00:00:43.080]  在電話裡祈禱
[00:00:43.080 --> 00:00:48.420]  祈禱完之後就繼續坐下來吃自助餐
[00:00:48.420 --> 00:00:50.520]  你覺得很好笑吧
[00:00:50.520 --> 00:00:53.420]  根本完全格格不入
[00:00:53.420 --> 00:00:58.360]  很多時候我們都處於這樣的狀態
[00:00:58.360 --> 00:01:00.060]  我們的心
[00:01:00.060 --> 00:01:03.800]  好像一些吃飽的人
[00:01:03.800 --> 00:01:06.600]  沒有心去學慕神
[00:01:06.600 --> 00:01:08.780]  在中間的時候
[00:01:08.780 --> 00:01:13.240]  好像有些事情要做
[00:01:13.240 --> 00:01:14.840]  表面上就說禁食祈禱
[00:01:14.840 --> 00:01:19.880]  表面上就說我們停下做的事情來學慕神
[00:01:19.880 --> 00:01:23.780]  星期天有兩個小時可能都沒有一個半小時
[00:01:23.780 --> 00:01:26.720]  結束之後就繼續吃自助餐
[00:01:26.720 --> 00:01:30.620]  讓這個世界繼續佔我們的心
[00:01:30.620 --> 00:01:32.400]  不合適的兩樣東西
[00:01:32.400 --> 00:01:33.700]  是嗎
[00:01:33.700 --> 00:01:35.200]  不合適
[00:01:35.200 --> 00:01:39.060]  所以我們來到教會崇拜的時候
[00:01:39.060 --> 00:01:41.140]  我們的心要預備
[00:01:41.140 --> 00:01:43.480]  有時候我們早來到的時候
[00:01:43.480 --> 00:01:45.480]  當然可能你看到很多熟悉的朋友
[00:01:45.480 --> 00:01:46.980]  很多東西可能很想說
[00:01:46.980 --> 00:01:49.820]  很想分享這個星期要做什麼
[00:01:49.820 --> 00:01:53.180]  有什麼好東西吃 好東西買
[00:01:53.180 --> 00:01:56.620]  但是可不可以留待崇拜之後再說
[00:01:56.620 --> 00:02:00.860]  崇拜之前如果你進來教堂的時候
[00:02:00.860 --> 00:02:05.220]  你坐下來預備自己的心祈禱
[00:02:05.220 --> 00:02:07.260]  這個是很重要的
[00:02:07.260 --> 00:02:11.060]  我都不是說我們要怎麼禁食祈禱
[00:02:11.060 --> 00:02:13.100]  早上開始就已經預備
[00:02:13.100 --> 00:02:18.400]  可能每個人有每個人生活的節奏
[00:02:18.400 --> 00:02:22.180]  但是起碼來到教會之前
[00:02:22.180 --> 00:02:26.220]  你進來禮拜堂的時候
[00:02:26.220 --> 00:02:33.680]  你就安靜禱告物禱預備自己的心
[00:02:33.680 --> 00:02:35.520]  以至到一唱詩第一首的時候
[00:02:35.520 --> 00:02:38.000]  就已經準備好可以唱了
[00:02:38.000 --> 00:02:41.020]  不是差不多唱完第四首的時候
[00:02:41.020 --> 00:02:46.040]  才有一點點情緒 有一點點感覺
[00:02:46.040 --> 00:02:48.300]  接著就聽到了開始了
[00:02:48.300 --> 00:02:50.340]  不是這樣的
[00:02:50.340 --> 00:02:51.840]  求神幫助我們
[00:02:51.840 --> 00:02:54.240]  我們學習了一個敬前的人
[00:02:54.240 --> 00:02:58.940]  是由很多細節開始做的
[00:02:58.940 --> 00:03:01.260]  求神幫助我們一起禱告
[00:03:01.260 --> 00:03:02.820]  天父我求你幫助我們
[00:03:02.820 --> 00:03:05.520]  我們學習在你面前
[00:03:05.520 --> 00:03:10.560]  怎樣去敬畏主的生活的時候
[00:03:10.560 --> 00:03:13.940]  我們因為知道你是真實的神
[00:03:13.940 --> 00:03:15.540]  你是榮耀的神
[00:03:15.540 --> 00:03:17.340]  你是可畏的神
[00:03:17.340 --> 00:03:19.780]  我們今天來到你面前
[00:03:19.780 --> 00:03:22.200]  我們知道你親近我們天上的爸爸
[00:03:22.200 --> 00:03:25.480]  但也都是我們親近天上的君王
[00:03:25.480 --> 00:03:26.940]  願你幫助我們
[00:03:26.940 --> 00:03:29.180]  我們這樣禱告奉耶穌基督的名祈求
[00:03:29.180 --> 00:03:31.720]  阿們
[00:03:31.720 --> 00:03:35.120]  這個禮拜就聽了兩則新聞
[00:03:35.120 --> 00:03:37.320]  可能不知道你有沒有聽過
[00:03:37.320 --> 00:03:39.800]  第一則就是
[00:03:39.800 --> 00:03:41.400]  你知不知道現在美國
[00:03:41.400 --> 00:03:46.800]  就已經宣佈了進入全國緊急狀態
[00:03:46.800 --> 00:03:49.400]  而且這個緊急狀態
[00:03:49.400 --> 00:03:51.980]  還要動員軍隊出動
[00:03:51.980 --> 00:03:53.980]  有沒有聽過
[00:03:53.980 --> 00:03:54.580]  沒有聽過
[00:03:54.580 --> 00:03:55.580]  那麼多人都不知道嗎
[00:03:55.580 --> 00:03:56.380]  很大件事
[00:03:56.380 --> 00:03:58.580]  差不多要打仗那麼厲害
[00:03:58.580 --> 00:04:01.320]  動員軍隊
[00:04:01.320 --> 00:04:04.920]  就是因為現在美國
