
[00:00:00.000 --> 00:00:09.440]  今天我講的正道經文是約翰福音一章二十九到三十四節
[00:00:09.440 --> 00:00:14.580]  我今天要講的是漢雅神的羔羊
[00:00:14.580 --> 00:00:16.420]  首先很感恩
[00:00:16.420 --> 00:00:23.480]  因爲我們的姐妹輕衣已經受洗歸入我們當中
[00:00:23.480 --> 00:00:25.480]  我們一同去歡樂
[00:00:25.480 --> 00:00:33.100]  我們受洗是專行主耶穌基督在昇天前所設立的命令
[00:00:33.100 --> 00:00:34.440]  要我們去專行的
[00:00:34.440 --> 00:00:38.740]  因爲你們要去使萬民作我的門徒
[00:00:38.740 --> 00:00:42.900]  奉父子聖靈的名去給他們施洗
[00:00:42.900 --> 00:00:44.900]  所以我們有這個施洗在這裏
[00:00:44.900 --> 00:00:50.200]  雖然受洗不可以使人得救
[00:00:50.200 --> 00:00:55.600]  但是洗禮的見證是有很大的意義的
[00:00:55.600 --> 00:00:58.600]  就是表明這個人在上帝的面前
[00:00:58.600 --> 00:00:59.800]  在人的面前
[00:00:59.800 --> 00:01:01.100]  在魔鬼的面前
[00:01:01.100 --> 00:01:04.700]  勇敢去表明真實信靠主耶穌基督
[00:01:04.700 --> 00:01:10.440]  他加入教會承認耶穌基督的名
[00:01:10.440 --> 00:01:15.840]  當我們用水去施行洗禮的時候
[00:01:15.840 --> 00:01:17.740]  我們看到輕衣今天的洗禮
[00:01:17.740 --> 00:01:20.680]  表明他信靠主耶穌基督的補血
[00:01:20.680 --> 00:01:24.280]  洗去他一切的罪惡
[00:01:24.280 --> 00:01:25.400]  成爲聖潔
[00:01:25.400 --> 00:01:31.280]  也表明他與主同死同葬同活
[00:01:31.280 --> 00:01:33.980]  是奉父子聖靈的名受洗
[00:01:33.980 --> 00:01:34.740]  表明什麼呢?
[00:01:34.740 --> 00:01:38.740]  就是表明他在三一真神的名下
[00:01:38.740 --> 00:01:42.980]  有份於這位三一真神的恩典和生命
[00:01:42.980 --> 00:01:48.280]  這是洗禮的一個記號
[00:01:48.280 --> 00:01:49.580]  我們今天的經文講到
[00:01:49.580 --> 00:01:53.380]  次日約翰看見耶穌來到那裏
[00:01:53.380 --> 00:01:58.340]  是講到耶穌施洗約翰的洗
[00:01:58.340 --> 00:01:59.440]  施洗約翰又說
[00:01:59.440 --> 00:02:00.880]  看那神的羔羊
[00:02:00.880 --> 00:02:03.780]  除去世人罪孽
[00:02:03.780 --> 00:02:08.240]  今天的經文也是講到關於洗禮的
[00:02:08.240 --> 00:02:12.740]  我們知道約翰是指施洗約翰
