
[00:00:00.000 --> 00:00:04.200]  主內弟兄姊妹平安
[00:00:04.200 --> 00:00:07.200]  很高興再一次在港臺和大家見面
[00:00:07.200 --> 00:00:14.900]  如果大家星期五那天受難節有來參加崇拜的話
[00:00:14.900 --> 00:00:20.900]  我就講到耶穌基督的復活
[00:00:20.900 --> 00:00:27.900]  祂是戰勝了終極的守敵
[00:00:27.900 --> 00:00:34.600]  就是戰勝了死亡
[00:00:34.600 --> 00:00:42.600]  這個死亡是我們不想提的一件事
[00:00:42.600 --> 00:00:47.100]  就是我們終極的忌諱
[00:00:47.100 --> 00:00:52.900]  我們不想提到死的事
[00:00:52.900 --> 00:00:57.600]  中國人說這是不吉利的話
[00:00:57.600 --> 00:01:02.600]  但我們偏偏每一個人都要去面對
[00:01:02.600 --> 00:01:07.600]  不單止我們要面對自己的死亡
[00:01:07.600 --> 00:01:12.100]  我們要面對身邊的人的死亡
[00:01:12.100 --> 00:01:19.600]  但偏偏書本上沒有教我們怎樣去面對這些事
[00:01:19.600 --> 00:01:23.600]  老師也沒有教過我們
[00:01:23.600 --> 00:01:27.600]  父母也沒有跟我們說
[00:01:27.600 --> 00:01:30.600]  這是從經驗裡面累積出來的
[00:01:30.600 --> 00:01:32.600]  可是我們還是要面對
[00:01:32.600 --> 00:01:34.600]  我們很感謝神
[00:01:34.600 --> 00:01:37.600]  祂來到這個世界上
[00:01:37.600 --> 00:01:40.600]  祂為我們罪的緣故被釘在十字架
[00:01:40.600 --> 00:01:42.600]  祂來到世界上為我們罪的緣故
[00:01:42.600 --> 00:01:47.600]  祂是戰勝了終極的守敵
[00:01:47.600 --> 00:01:50.600]  祂打破了終極的忌諱
[00:01:50.600 --> 00:01:54.600]  就是這個死亡
[00:01:54.600 --> 00:01:57.600]  今天我們講這個所謂下集
[00:01:57.600 --> 00:02:00.600]  我們所講的是下集
[00:02:00.600 --> 00:02:03.600]  講到復活的大能
[00:02:03.600 --> 00:02:09.600]  復活帶給我們什麼樣的好處呢
[00:02:09.600 --> 00:02:14.600]  我們每一年都慶祝這個復活節
[00:02:14.600 --> 00:02:20.600]  剛才主席所說的
[00:02:20.600 --> 00:02:23.600]  很多宗教都講過人的誕生
[00:02:23.600 --> 00:02:27.600]  例如佛教有佛誕
[00:02:27.600 --> 00:02:29.600]  孔教有孔子的誕辰
