
[00:00:00.000 --> 00:00:07.000]  都是那一句,很感恩很高興能夠跟大家分享聖經神的話語
[00:00:07.000 --> 00:00:13.500]  今天跟大家繼續的題目雖然叫「福由你揀」
[00:00:13.500 --> 00:00:16.500]  但是不要忘記後面那兩個字
[00:00:16.500 --> 00:00:18.500]  那兩個字是宏觀
[00:00:18.500 --> 00:00:23.500]  為什麼呢?因為詩篇的第一篇就是「福由你揀」
[00:00:23.500 --> 00:00:28.500]  是很個人化的,我相信因為今天在祖堂是第三次講
[00:00:28.500 --> 00:00:31.500]  我只是稍微補充一下
[00:00:31.500 --> 00:00:34.500]  第一篇是講一個人
[00:00:34.500 --> 00:00:41.500]  比較那些惡人、罪人和傲慢人來做一個對比
[00:00:41.500 --> 00:00:50.500]  有一個人不是那些惡人、傲慢人、罪人
[00:00:50.500 --> 00:00:53.500]  他是一個義人
[00:00:53.500 --> 00:00:58.500]  這個義人的腦子在想什麼呢?
[00:00:58.500 --> 00:01:03.500]  他就是唯獨喜愛耶和華的律法「晝夜思想」
[00:01:03.500 --> 00:01:06.500]  所以就說這個人是有福的
[00:01:06.500 --> 00:01:10.500]  他喜愛耶和華的律法「晝夜思想」是他選擇來做的
[00:01:10.500 --> 00:01:12.500]  你逼也沒用的
[00:01:12.500 --> 00:01:17.500]  多少小孩你逼他讀書,逼也行嗎?
[00:01:17.500 --> 00:01:20.500]  當他真的愛上讀書的時候
[00:01:20.500 --> 00:01:23.500]  你不讓他讀書也不行
[00:01:23.500 --> 00:01:25.500]  我腦子想起一件事
[00:01:25.500 --> 00:01:26.500]  本來想跟你們說的
[00:01:26.500 --> 00:01:30.500]  就是我上個星期去了深圳兩次
[00:01:30.500 --> 00:01:33.500]  我發覺神給我一種,我不想用恩賜
[00:01:33.500 --> 00:01:36.500]  神給我一種興趣
[00:01:36.500 --> 00:01:38.500]  就是氣別人說話
[00:01:38.500 --> 00:01:40.500]  不懂的
[00:01:40.500 --> 00:01:44.500]  而我第一句或第二句就告訴別人我是牧師
[00:01:44.500 --> 00:01:46.500]  就因為這樣就有話說了
[00:01:46.500 --> 00:01:49.500]  我講不講給你們聽呢?
[00:01:49.500 --> 00:01:51.500]  講給你們聽
[00:01:51.500 --> 00:01:54.500]  話說我上個星期去了深圳
[00:01:54.500 --> 00:01:56.500]  其實我覺得這個名字講得很差
[00:01:56.500 --> 00:01:58.500]  深圳
[00:01:58.500 --> 00:01:59.500]  我真的震的
[00:01:59.500 --> 00:02:01.500]  為什麼?我沒做錯事
[00:02:01.500 --> 00:02:04.500]  但你知道這個世界不是你做對事還是沒對事
[00:02:04.500 --> 00:02:07.500]  你可以被做錯的
[00:02:07.500 --> 00:02:11.500]  總之總是不太舒服去深圳
[00:02:11.500 --> 00:02:14.500]  其實我以前在九百年前
