
[00:00:00.000 --> 00:00:04.160]  我們上禮拜講到這個新天新地的盼望
[00:00:04.160 --> 00:00:06.680]  在啟示錄這個地方
[00:00:06.680 --> 00:00:11.960]  第一章20章第一節到第五節
[00:00:11.960 --> 00:00:13.680]  講到這個盼望
[00:00:13.680 --> 00:00:16.560]  這個盼望要繼續講好幾次
[00:00:16.560 --> 00:00:19.200]  我們上禮拜講到新天新地的盼望
[00:00:19.200 --> 00:00:22.400]  那我今天要講到新耶路撒冷的盼望
[00:00:22.400 --> 00:00:24.080]  盼望非常的重要
[00:00:24.080 --> 00:00:27.400]  跟你旁邊說盼望非常的重要
[00:00:27.400 --> 00:00:30.760]  親愛的同志們 一個人必須要有盼望
[00:00:30.760 --> 00:00:34.680]  是不是 必須要有盼望
[00:00:34.680 --> 00:00:38.600]  這個在天路歷程
[00:00:38.600 --> 00:00:42.280]  有沒有人應該可能信主久的
[00:00:42.280 --> 00:00:45.280]  可能都知道有天路歷程這本書
[00:00:45.280 --> 00:00:49.360]  這本書是一個非常暢銷的一本書
[00:00:49.360 --> 00:00:55.240]  據說它曾經是除了聖經之外最暢銷的一本書
[00:00:55.240 --> 00:00:58.520]  天路歷程是本人耶翰所寫的
[00:00:58.520 --> 00:01:00.920]  那麼他在這個本書裡面
[00:01:00.920 --> 00:01:04.840]  他就講到有兩個人 兩個基督徒在對話
[00:01:04.840 --> 00:01:06.920]  兩個人都是在往天路路上走
[00:01:06.920 --> 00:01:08.920]  那麼其中就一個問就問說
[00:01:08.920 --> 00:01:12.320]  在什麼時候你會覺得自己最精神飽滿
[00:01:12.320 --> 00:01:15.360]  靈性狀態最活潑呢
[00:01:15.360 --> 00:01:19.440]  在什麼時候
[00:01:19.440 --> 00:01:21.760]  那另外一位回答就說
[00:01:21.760 --> 00:01:28.880]  他說當我想到我現在要去的地方的時候
[00:01:28.880 --> 00:01:31.600]  比如說他要去哪裡
[00:01:31.600 --> 00:01:34.280]  他要去哪裡
[00:01:34.280 --> 00:01:37.080]  天路歷程嘛 是不是 他要去哪裡
[00:01:37.080 --> 00:01:38.960]  他知道他目標要去哪裡嗎
[00:01:38.960 --> 00:01:41.880]  他知道 他知道他要去那個地方
[00:01:41.880 --> 00:01:44.960]  所以當他想到他要去的那個地方的時候
[00:01:44.960 --> 00:01:47.080]  他說這是我精神最飽滿的時候
[00:01:47.080 --> 00:01:49.240]  這是我靈性狀態最活潑的時候
[00:01:49.240 --> 00:01:52.640]  現在就是說祝福你旁邊的弟兄姊妹
[00:01:52.640 --> 00:02:02.240]  跟他說 往天路去是最好的
[00:02:02.240 --> 00:02:07.800]  不認識主的人會說 你這是幹嘛
[00:02:07.800 --> 00:02:10.320]  但是我們認識主的人知道
[00:02:10.320 --> 00:02:12.680]  這是盼望
[00:02:12.680 --> 00:02:17.240]  很多人想到將來要去的地方的時候是絕望
[00:02:17.240 --> 00:02:20.720]  但是我們基督徒我們想到將來要去的地方的時候
[00:02:20.720 --> 00:02:23.080]  我們是有盼望
[00:02:23.080 --> 00:02:30.880]  而且那個盼望應該是我們在地上活著的一個動力
[00:02:30.880 --> 00:02:33.120]  新天新地
[00:02:33.120 --> 00:02:37.200]  我們上禮拜講了新天新地
[00:02:37.200 --> 00:02:40.360]  那親愛的同志們 你看啟示錄在這裡講了說
[00:02:40.360 --> 00:02:42.680]  我又看見一個新天新地
[00:02:42.680 --> 00:02:45.520]  然後第二節接著就提到說
