
[00:00:00.000 --> 00:00:05.040]  今天的題目很簡單
[00:00:05.040 --> 00:00:07.580]  簡單之餘也有些特別
[00:00:07.580 --> 00:00:10.400]  所以、所以、所以
[00:00:10.400 --> 00:00:13.340]  大家如果看聖經
[00:00:13.340 --> 00:00:15.180]  差不多的日子
[00:00:15.180 --> 00:00:18.200]  一講到所以就會想起一兩段經文
[00:00:18.200 --> 00:00:20.440]  也有幾個原因
[00:00:20.440 --> 00:00:21.900]  我就定了這個題目
[00:00:21.900 --> 00:00:23.760]  第一個原因也是
[00:00:23.760 --> 00:00:27.300]  因為近幾個月都提過
[00:00:27.300 --> 00:00:29.680]  一兩次關乎這段經文
[00:00:29.680 --> 00:00:33.080]  也剛好在剛剛的茶經班
[00:00:33.080 --> 00:00:35.240]  我們又讀到另一段經文
[00:00:35.240 --> 00:00:39.260]  也是有這樣的意思在當中
[00:00:39.260 --> 00:00:42.480]  我覺得也趁這個機會
[00:00:42.480 --> 00:00:46.060]  將這幾個經文集中在一起
[00:00:46.060 --> 00:00:48.800]  希望能夠更加的
[00:00:48.800 --> 00:00:53.540]  讓你們記得
[00:00:53.540 --> 00:00:55.100]  因為你記得的時候
[00:00:55.100 --> 00:00:58.840]  你就能夠從當中得到力量
[00:00:58.840 --> 00:01:02.080]  去面對你要面對的生活
[00:01:02.080 --> 00:01:04.360]  第一個所以
[00:01:04.360 --> 00:01:06.060]  應該大家都會很熟悉的
[00:01:06.060 --> 00:01:07.480]  就是《羅馬書》
[00:01:07.480 --> 00:01:09.720]  十二章一節那一段
[00:01:09.720 --> 00:01:11.360]  有一個所以
[00:01:11.360 --> 00:01:15.720]  這個《羅馬書》十二章一節的所以很出名
[00:01:15.720 --> 00:01:18.480]  我應該也跟不少弟兄姊妹說過
[00:01:18.480 --> 00:01:22.780]  說我幾十年前聽一個當時的傳道人說
[00:01:22.780 --> 00:01:26.180]  所以這兩個字說了一堂道
[00:01:26.180 --> 00:01:28.800]  令我非常深刻的印象
[00:01:28.800 --> 00:01:32.460]  所以我希望用這個所以說一堂道
[00:01:32.460 --> 00:01:35.940]  不過我講一個所以講不完這麼久
[00:01:35.940 --> 00:01:37.160]  怕悶壞了你
[00:01:37.160 --> 00:01:41.640]  因為現在的人不像以前
[00:01:41.640 --> 00:01:44.040]  所以你要講三個所以
[00:01:44.040 --> 00:01:45.500]  才不會這麼悶
[00:01:45.500 --> 00:01:47.800]  第一個所以仍然是《羅馬書》
[00:01:47.800 --> 00:01:51.340]  《羅馬書》十二章一節的所以很出名
[00:01:51.340 --> 00:01:52.840]  因為這個所以
[00:01:52.840 --> 00:01:55.900]  很多讀經的人、前輩都告訴我們
[00:01:55.900 --> 00:01:58.760]  是在前面第一章講
[00:01:58.760 --> 00:02:01.800]  講了很多關於福音的事情
[00:02:01.800 --> 00:02:05.880]  然後這個所以就帶到後面
[00:02:05.880 --> 00:02:10.900]  讓我們有很多具體生活上的應用
[00:02:10.900 --> 00:02:13.440]  讓我們能夠知道怎麼行善為仁
[00:02:13.440 --> 00:02:15.840]  所以這兩個所以是很重要的
[00:02:15.840 --> 00:02:18.140]  不僅是聖經說
[00:02:18.140 --> 00:02:19.400]  總之勸你行善
[00:02:19.400 --> 00:02:22.400]  勸你做好自己這麼簡單
[00:02:22.400 --> 00:02:25.260]  而是有一些原因在前面
[00:02:25.260 --> 00:02:28.600]  讓你有一個很好的基礎
[00:02:28.600 --> 00:02:30.800]  要你接著這麼做
[00:02:30.800 --> 00:02:35.300]  所以這個所以是發揮了擱置前後的作用
[00:02:35.300 --> 00:02:40.400]  前面十一章的東西講了這麼久
[00:02:40.400 --> 00:02:41.440]  才講所以
[00:02:41.440 --> 00:02:42.760]  那十一章講什麼呢?
[00:02:42.760 --> 00:02:46.480]  前面十一章《羅馬書》講什麼呢?
[00:02:46.480 --> 00:02:51.320]  讓我用一分多鐘講完十一章
[00:02:51.320 --> 00:02:53.140]  其實很簡單而已
[00:02:53.140 --> 00:02:58.320]  《羅馬書》就是保羅寫信給羅馬教會的信徒
[00:02:58.320 --> 00:03:01.800]  向他們去解釋
[00:03:01.800 --> 00:03:05.880]  或者很有系統地講福音是什麼
[00:03:05.880 --> 00:03:10.680]  然後他其實希望藉著《羅馬書》給羅馬教會
[00:03:10.680 --> 00:03:15.160]  他將來能夠有機會去到羅馬這個地方
[00:03:15.160 --> 00:03:18.320]  好像一個介紹的信件
[00:03:18.320 --> 00:03:21.780]  所以《羅馬書》是很有系統地去展述福音
[00:03:21.780 --> 00:03:23.060]  一開始的時候
[00:03:23.060 --> 00:03:27.420]  《羅馬書》講的是神向人啟示他自己
[00:03:27.420 --> 00:03:29.420]  在創造天地萬物的時候
[00:03:29.420 --> 00:03:31.240]  當中是啟示他自己
[00:03:31.240 --> 00:03:32.440]  多麼偉大
[00:03:32.440 --> 00:03:34.680]  但是人很奇怪
[00:03:34.680 --> 00:03:36.000]  不當這個神是神
[00:03:36.000 --> 00:03:38.060]  喜歡自己去挑剔偶像
[00:03:38.060 --> 00:03:40.160]  拜石頭、月亮
[00:03:40.160 --> 00:03:41.320]  都不敬拜這個神
[00:03:41.320 --> 00:03:43.280]  這個神就任由他
[00:03:43.660 --> 00:03:45.960]  啟示了告訴你們
[00:03:45.960 --> 00:03:48.040]  你們也不肯這樣接受的
[00:03:48.040 --> 00:03:51.400]  是要按照自己的意思來走
[00:03:51.400 --> 00:03:54.080]  人與人之間不停地犯罪
[00:03:54.080 --> 00:03:55.080]  神由得你
[00:03:55.080 --> 00:03:57.120]  任憑他們這樣
[00:03:57.120 --> 00:03:58.640]  但是呢
[00:03:58.640 --> 00:03:59.960]  《羅馬書》接著說
[00:03:59.960 --> 00:04:01.080]  神這樣任憑你
[00:04:01.080 --> 00:04:02.640]  不過神會審判人的
[00:04:02.640 --> 00:04:04.960]  神是會按照每一個人
[00:04:04.960 --> 00:04:06.260]  你做過什麼
[00:04:06.260 --> 00:04:07.780]  按照你的行為來審判
[00:04:07.780 --> 00:04:08.660]  外邦人
[00:04:08.660 --> 00:04:09.620]  就是不信主的人
[00:04:09.620 --> 00:04:10.160]  就是這樣
[00:04:10.160 --> 00:04:12.280]  按照你的行為來審判你
[00:04:12.280 --> 00:04:14.480]  猶太人也是按照你的行為
[00:04:14.480 --> 00:04:16.160]  不過再加上有律法
[00:04:16.160 --> 00:04:18.740]  因為猶太人是蒙神
[00:04:18.740 --> 00:04:20.280]  讓他們有律法
[00:04:20.280 --> 00:04:22.720]  他們不按照神的律法而行
[00:04:22.720 --> 00:04:25.500]  神也用律法來審判他們
[00:04:25.500 --> 00:04:27.860]  就是說所有人都要被審判
[00:04:27.860 --> 00:04:30.960]  人不能夠守這個律法
[00:04:30.960 --> 00:04:31.840]  守不完的
[00:04:31.840 --> 00:04:33.080]  因為律法很多
[00:04:33.080 --> 00:04:34.280]  人很軟弱
[00:04:34.280 --> 00:04:36.720]  所以《羅馬書》很重要的
[00:04:36.720 --> 00:04:38.600]  去到中間的部分就是說
[00:04:38.600 --> 00:04:41.120]  猶太人有了神的律法
[00:04:41.400 --> 00:04:43.280]  其實律法是幫不了他們的
[00:04:43.280 --> 00:04:45.640]  律法其實不斷證明
[00:04:45.640 --> 00:04:46.880]  你是不行的
[00:04:46.880 --> 00:04:48.460]  所以
[00:04:48.460 --> 00:04:50.420]  猶太人以前認為
[00:04:50.420 --> 00:04:54.800]  守好律法是必須要做的事情
[00:04:54.800 --> 00:04:56.860]  就是討神喜悅的唯一途徑
[00:04:56.860 --> 00:04:59.000]  換句話說
[00:04:59.000 --> 00:05:02.020]  按照你自己能夠做多少事情
[00:05:02.020 --> 00:05:03.620]  去得到神的喜悅
[00:05:03.620 --> 00:05:04.760]  那麼
[00:05:04.760 --> 00:05:06.940]  保羅在這本書很出名的告訴大家
[00:05:06.940 --> 00:05:08.240]  不是這樣的
[00:05:08.980 --> 00:05:13.580]  "能夠被神稱義,赦免你的罪,是因為信"
[00:05:13.580 --> 00:05:16.200]  我們的祖宗阿伯拉罕
[00:05:16.200 --> 00:05:17.580]  其實也是因為信
[00:05:17.580 --> 00:05:19.700]  所以神才稱他為義
[00:05:19.700 --> 00:05:21.400]  因此
[00:05:21.400 --> 00:05:23.480]  《羅馬書》很重要的就是
[00:05:23.480 --> 00:05:26.420]  叫人知道是因信稱義
[00:05:26.420 --> 00:05:28.200]  大家聽過《羅馬書》教人
[00:05:28.200 --> 00:05:29.780]  是因信稱義
[00:05:29.780 --> 00:05:30.380]  那麼
[00:05:30.380 --> 00:05:31.500]  舊約的時候
[00:05:31.500 --> 00:05:33.840]  原來阿伯拉罕的年代已經是因信稱義了
