
[00:00:00.000 --> 00:00:04.420]  臨近新年,我有一班老朋友,很老的了
[00:00:04.420 --> 00:00:06.900]  但大家都不怕的,是不是
[00:00:06.900 --> 00:00:12.640]  我們就整天在WhatsApp群組裏面,說著說著
[00:00:12.640 --> 00:00:15.260]  其中有一個就說,哇,新年開始了
[00:00:15.260 --> 00:00:18.900]  新事物,新氣象,新風采,新思維,嘟嘟嘟
[00:00:18.900 --> 00:00:21.200]  是不是,那就沒多新了,是不是
[00:00:21.200 --> 00:00:22.220]  真是挺好的
[00:00:22.220 --> 00:00:25.040]  接著說什麼,不要老毛病
[00:00:25.040 --> 00:00:28.940]  不要老毛病,不要老頑固,不要老花眼
[00:00:28.940 --> 00:00:30.720]  不要恃老賣老
[00:00:30.720 --> 00:00:35.300]  更加不要老人癡呆
[00:00:35.300 --> 00:00:37.300]  是不是很好
[00:00:37.300 --> 00:00:39.760]  所有不要都說了
[00:00:39.760 --> 00:00:42.440]  但是,有些老是最好的
[00:00:42.440 --> 00:00:44.440]  你有沒有想過什麼是最好的
[00:00:44.440 --> 00:00:47.680]  他說老伴,老本,老有忌
[00:00:47.680 --> 00:00:50.940]  我心想,是嗎
[00:00:50.940 --> 00:00:54.020]  我真想問一下他
[00:00:54.020 --> 00:00:56.560]  你的老伴跟你有多好
[00:00:56.560 --> 00:01:02.300]  你好像上次才在我面前罵了他的餐館
[00:01:02.300 --> 00:01:03.680]  有多好
[00:01:03.680 --> 00:01:07.640]  老本,可能明天就變廢紙
[00:01:07.640 --> 00:01:09.140]  是不是
[00:01:09.140 --> 00:01:11.140]  老有忌就好一點
[00:01:11.140 --> 00:01:11.920]  是不是
[00:01:11.920 --> 00:01:15.180]  老有忌好一點,遠距離一點,對不對
[00:01:15.180 --> 00:01:17.780]  老有忌都可以翻臉成什麼
[00:01:17.780 --> 00:01:19.780]  成仇
[00:01:19.780 --> 00:01:21.780]  那我潤他們幾句
[00:01:21.780 --> 00:01:23.780]  其實沒說的那麼清楚
[00:01:23.780 --> 00:01:27.820]  我還有老兒不老
[00:01:27.820 --> 00:01:30.740]  你是老兒嗎
[00:01:30.740 --> 00:01:32.980]  你是不是老兒
[00:01:32.980 --> 00:01:34.980]  你是老兒
[00:01:34.980 --> 00:01:39.040]  現在過了十八歲,你開始什麼
[00:01:39.040 --> 00:01:42.040]  邁向老了
[00:01:42.040 --> 00:01:44.320]  眼睜睜地看著我
[00:01:44.320 --> 00:01:47.960]  雖然你跟我認識你的樣子一樣
[00:01:47.960 --> 00:01:50.820]  就是沒有老
[00:01:50.820 --> 00:01:52.660]  不過都是老了
[00:01:52.660 --> 00:01:57.060]  不過老兒不老
[00:01:57.060 --> 00:01:58.400]  然後接著說
[00:01:58.400 --> 00:02:02.220]  老是老是不倒
[00:02:02.220 --> 00:02:03.540]  明白嗎
[00:02:03.540 --> 00:02:05.540]  老人家其中一個就是什麼
[00:02:05.540 --> 00:02:07.640]  走路經常會跌
[00:02:07.640 --> 00:02:10.580]  那我現在就說老是不倒
[00:02:10.580 --> 00:02:12.820]  就是不知為何走路都不倒
[00:02:12.820 --> 00:02:13.420]  是不是
[00:02:13.420 --> 00:02:15.240]  在各樣的事上都怎樣
[00:02:15.240 --> 00:02:16.660]  不倒,好不好
[00:02:16.660 --> 00:02:19.100]  不倒用,關機了
[00:02:19.100 --> 00:02:21.860]  第三個老是老來
[00:02:21.860 --> 00:02:23.300]  老是不是來
[00:02:23.300 --> 00:02:24.220]  正在來
[00:02:24.220 --> 00:02:25.900]  開腦
[00:02:25.900 --> 00:02:27.540]  開你的腦了
[00:02:27.540 --> 00:02:29.140]  是不是,為什麼
[00:02:29.140 --> 00:02:30.380]  有什麼原因
[00:02:30.380 --> 00:02:32.860]  下面這句精警簡直是
[00:02:32.860 --> 00:02:34.300]  聖靈的感動
[00:02:34.300 --> 00:02:39.380]  我說因為聖靈總是翻身
[00:02:39.380 --> 00:02:40.820]  是不是,這間屋舊
[00:02:40.820 --> 00:02:42.380]  我室友搬走
[00:02:42.380 --> 00:02:44.500]  撿屋撿到很慘
[00:02:44.500 --> 00:02:47.140]  然後發現原來兩個成年人
[00:02:47.140 --> 00:02:49.780]  不是,兩個邁向老年的人
[00:02:49.780 --> 00:02:52.940]  住都弄到屋子變成這樣
[00:02:52.940 --> 00:02:55.380]  要翻身
[00:02:55.380 --> 00:02:57.420]  嘩,吸塵,撿東西
[00:02:57.420 --> 00:02:59.420]  嘩,原來這麼辛苦
[00:02:59.420 --> 00:03:02.580]  所以我相信鏡華搬屋一定很慘
[00:03:02.580 --> 00:03:03.220]  是不是
[00:03:03.220 --> 00:03:05.060]  還是大屋搬小屋
[00:03:05.060 --> 00:03:07.460]  真的都不知怎樣搞
[00:03:07.460 --> 00:03:09.620]  不見了幾籮穀
[00:03:09.620 --> 00:03:11.300]  除了翻身之外
[00:03:11.300 --> 00:03:12.900]  聖靈除了翻身之外
[00:03:12.900 --> 00:03:14.860]  第二個感動我的就是
[00:03:14.860 --> 00:03:17.500]  聖靈總是更新
[00:03:17.500 --> 00:03:18.500]  是不是
[00:03:18.500 --> 00:03:21.660]  翻身就是掃一掃灰水
[00:03:21.660 --> 00:03:25.860]  即是你內部的東西都OK的
[00:03:25.860 --> 00:03:27.500]  更新是什麼
[00:03:27.500 --> 00:03:29.660]  即是你有些東西壞了
[00:03:29.660 --> 00:03:31.380]  才要什麼
[00:03:31.380 --> 00:03:32.420]  要更新
[00:03:32.420 --> 00:03:33.420]  對不對
[00:03:33.420 --> 00:03:35.060]  他還來一個
[00:03:35.060 --> 00:03:37.580]  我自己寫完都覺得很有意思
[00:03:37.580 --> 00:03:41.500]  生生再生個
[00:03:41.500 --> 00:03:42.740]  明白嗎
[00:03:42.740 --> 00:03:45.500]  嘩,原來我們在主的裏面
[00:03:45.500 --> 00:03:47.220]  是可以日以繼夜
[00:03:47.220 --> 00:03:49.060]  被翻身,被更新
[00:03:49.060 --> 00:03:50.060]  還有什麼
[00:03:50.060 --> 00:03:51.620]  生生
[00:03:51.620 --> 00:03:53.460]  行不行
[00:03:53.460 --> 00:03:55.220]  嘩,我就這樣跟鏡華分享
[00:03:55.220 --> 00:03:56.620]  我沒想過跟你們分享的
[00:03:56.620 --> 00:03:57.700]  他鼓勵我
[00:03:57.700 --> 00:04:00.140]  跟我們家庭去分享
[00:04:00.140 --> 00:04:01.660]  很需要
[00:04:01.660 --> 00:04:03.260]  你要不要
[00:04:03.260 --> 00:04:06.020]  要的舉手來看看
[00:04:06.020 --> 00:04:07.340]  感謝主
[00:04:07.340 --> 00:04:10.180]  主阿凡舉手都給他
[00:04:10.180 --> 00:04:11.700]  阿們,是不是
[00:04:11.700 --> 00:04:12.420]  好好
[00:04:12.420 --> 00:04:13.300]  你跟隔壁說
[00:04:13.300 --> 00:04:17.460]  I got it
[00:04:17.460 --> 00:04:18.420]  是不是
[00:04:18.420 --> 00:04:18.940]  行了
[00:04:18.940 --> 00:04:20.020]  你要就行了
[00:04:20.020 --> 00:04:22.220]  因為剛才廟宇告訴我們
[00:04:22.220 --> 00:04:23.860]  我們學武就行了
[00:04:23.860 --> 00:04:25.380]  對不對
[00:04:25.380 --> 00:04:26.500]  感謝主
[00:04:26.500 --> 00:04:33.020]  上一次跟大家分享CATLAB的事情
[00:04:33.020 --> 00:04:34.700]  在這個分享之前
[00:04:34.700 --> 00:04:35.660]  我跟大家說過
[00:04:35.660 --> 00:04:38.300]  我去青年區講道
[00:04:38.300 --> 00:04:40.700]  真的我昨天都告訴他
[00:04:40.700 --> 00:04:44.140]  這是我二十年來沒試過
[00:04:44.140 --> 00:04:45.060]  講完道出去
[00:04:45.060 --> 00:04:46.700]  有些depression
[00:04:46.700 --> 00:04:47.740]  就是很沮喪的
[00:04:47.740 --> 00:04:49.140]  就是對著他們
[00:04:49.140 --> 00:04:51.340]  但是他們昨天全部什麼
[00:04:51.340 --> 00:04:53.260]  生生
[00:04:53.260 --> 00:04:56.740]  嘩,全場做了CATLAB
[00:04:56.740 --> 00:04:58.460]  嘩,很醒神
[00:04:58.460 --> 00:04:59.420]  很棒
[00:04:59.420 --> 00:04:59.940]  為什麼呢
[00:04:59.940 --> 00:05:01.820]  我用了半個小時告訴他
[00:05:01.820 --> 00:05:03.940]  你怎樣聽道
[00:05:03.940 --> 00:05:06.620]  就是你怎樣才叫聽道
[00:05:06.620 --> 00:05:09.500]  就是講道跟聽道是什麼一回事
[00:05:09.500 --> 00:05:10.300]  是不是
[00:05:10.300 --> 00:05:13.220]  就用半個小時跟他說
[00:05:13.220 --> 00:05:15.500]  CATLAB其實是誰來的
[00:05:15.500 --> 00:05:16.660]  因為他們
[00:05:16.660 --> 00:05:17.700]  你知不知道
[00:05:17.700 --> 00:05:19.780]  現在那些人的學歷
[00:05:19.780 --> 00:05:21.340]  其實是比我們以前高的
[00:05:21.340 --> 00:05:22.220]  是不是
[00:05:22.220 --> 00:05:23.380]  你覺不覺得
[00:05:23.380 --> 00:05:24.140]  是吧
[00:05:24.140 --> 00:05:25.380]  韋梁都額頭
[00:05:25.380 --> 00:05:27.740]  你都好像master
