
[00:00:00.000 --> 00:00:05.760]  多謝你,我和我太太初到貴境了,在結婚之後
[00:00:05.760 --> 00:00:08.800]  今天也是我第一次結婚之後講的
[00:00:08.800 --> 00:00:13.520]  關於婚姻愛情的,所以要講好一點
[00:00:13.520 --> 00:00:16.480]  時間就容許我講一個鐘頭
[00:00:16.480 --> 00:00:20.880]  不過很多謝前面新來的兩位好朋友夫婦
[00:00:20.880 --> 00:00:23.920]  今早聽我講到現在
[00:00:23.920 --> 00:00:28.160]  今早我在聖山一堂講這個衙關的聚會
[00:00:28.160 --> 00:00:31.360]  其實剛才我看到代討事項裡面
[00:00:31.360 --> 00:00:34.240]  很多夫妻都經歷一個很大的考驗
[00:00:34.240 --> 00:00:39.600]  其中一個病了,另一個人成為他的助力
[00:00:39.600 --> 00:00:43.120]  有多少呢?今早我們講了很久這個問題
[00:00:43.120 --> 00:00:45.280]  其實今天是一個很有情的
[00:00:45.280 --> 00:00:48.960]  三十多年前我在特殊學校做社工的時候
[00:00:48.960 --> 00:00:54.480]  有一位智商比較低的同學
[00:00:54.480 --> 00:00:57.360]  今天就是他的安息禮拜
[00:00:57.360 --> 00:01:02.000]  很可惜我去不到,他的家人請我講慰勉
[00:01:02.000 --> 00:01:04.640]  因為我答應了聖山一堂講衙關
[00:01:04.640 --> 00:01:08.000]  同時也是上午十點至十二點
[00:01:08.000 --> 00:01:10.880]  但我托了一位傳道人代我講
[00:01:10.880 --> 00:01:14.720]  但我心情其實一直都在想這個同學
[00:01:14.720 --> 00:01:16.160]  為什麼呢?
[00:01:16.160 --> 00:01:19.120]  就是因為他死了之後
[00:01:19.120 --> 00:01:22.800]  他的媽媽,他的哥哥在電話跟我說
[00:01:22.800 --> 00:01:27.440]  我們從來都不知道我們的兒子
[00:01:27.440 --> 00:01:29.760]  原來是一個很快樂的十分仔
[00:01:29.760 --> 00:01:31.200]  他從來都不知道
[00:01:31.200 --> 00:01:33.760]  原來這個同學死了之後
[00:01:33.760 --> 00:01:38.880]  他的媽媽在他的抽屜裡找到很多照片
[00:01:38.880 --> 00:01:41.760]  是他在外面上班的地方
[00:01:41.760 --> 00:01:45.440]  跟很多朋友笑哈哈地拍的照片
[00:01:45.440 --> 00:01:48.080]  但他這個樣子在家裡是沒有出現過的
[00:01:48.080 --> 00:01:51.200]  我一生的遺憾就是我們的兒子
[00:01:51.200 --> 00:01:53.040]  在這麼開心的時間裡
[00:01:53.040 --> 00:01:54.560]  我們是不知道的
[00:01:54.560 --> 00:01:55.920]  我們是沒有見過的
[00:01:55.920 --> 00:01:58.480]  原來我的兒子是這麼開心在外面的
[00:01:58.480 --> 00:02:01.920]  這句話令我很快人心醒
[00:02:01.920 --> 00:02:06.160]  你老公老婆在外面不是很開心嗎?
[00:02:06.160 --> 00:02:09.440]  哈哈你到現在都不知道
[00:02:09.440 --> 00:02:11.680]  他這個樣子很莫辯
[00:02:11.680 --> 00:02:14.800]  可能今天要從頭再想愛是什麼
[00:02:14.800 --> 00:02:16.560]  所以今天內容很好
[00:02:16.560 --> 00:02:18.000]  我就想過愛有七個like
[00:02:18.000 --> 00:02:22.080]  如果你看聖經愛是什麼真的有七個
[00:02:22.080 --> 00:02:24.240]  但今天就不是這麼嚴肅講
[00:02:24.240 --> 00:02:26.080]  但也很嚴肅看
[00:02:26.080 --> 00:02:28.240]  你有沒有經驗過這些東西
[00:02:28.240 --> 00:02:29.520]  如果你經驗過這些東西
[00:02:29.520 --> 00:02:32.320]  我想你這個婚姻這個結婚
[00:02:32.320 --> 00:02:34.800]  是真的很精彩很精彩
[00:02:34.800 --> 00:02:36.560]  未遲未遲
[00:02:36.560 --> 00:02:38.560]  現在開始再試一下看看怎樣
[00:02:38.560 --> 00:02:40.160]  我分了三部份講
[00:02:40.160 --> 00:02:42.880]  一部份講一下愛這七個like
[00:02:42.880 --> 00:02:47.600]  第二就是其實愛情可不可以改變人
[00:02:47.600 --> 00:02:49.760]  婚姻裏面最難的一件事
[00:02:49.760 --> 00:02:51.360]  一會兒我講最難的是什麼
[00:02:51.360 --> 00:02:53.440]  我想有個證據講出來給你聽
[00:02:53.440 --> 00:02:55.840]  是聖經不是我講的
[00:02:55.840 --> 00:02:58.320]  第三就是做一個實習
[00:02:58.320 --> 00:03:00.880]  我知道下次再來講
[00:03:00.880 --> 00:03:03.680]  但都有個保佑日期你走了
[00:03:03.680 --> 00:03:06.480]  我就想在下次再見你之前
[00:03:06.480 --> 00:03:07.600]  你做好這些東西
[00:03:07.600 --> 00:03:10.320]  下次再見你就是沒有穿沒爛很好
[00:03:10.320 --> 00:03:13.040]  這個就是我功成身退了今天講完之後
[00:03:13.040 --> 00:03:15.920]  但如果不行就不要找我算帳
[00:03:15.920 --> 00:03:17.920]  你看看聖經
