
[00:00:00.000 --> 00:00:05.000]  地球人姐妹朋友們早安
[00:00:05.000 --> 00:00:11.400]  今天這個禮拜就是感恩節
[00:00:11.400 --> 00:00:15.800]  但是我們對感恩節認識有多少呢
[00:00:15.800 --> 00:00:18.600]  讓我把感恩節的來歷
[00:00:18.600 --> 00:00:21.400]  跟各位解釋一下
[00:00:21.400 --> 00:00:24.800]  我們先說在當初
[00:00:24.800 --> 00:00:27.600]  最起初1779年
[00:00:27.600 --> 00:00:29.800]  美國總統華盛頓
[00:00:29.800 --> 00:00:32.200]  他發表了一篇叫做
[00:00:32.200 --> 00:00:35.200]  美國感恩宣言
[00:00:35.200 --> 00:00:39.000]  The National Thanksgiving Proclamation
[00:00:39.000 --> 00:00:43.000]  這是蠻有名的一個宣言
[00:00:43.000 --> 00:00:46.600]  後來到了1963年
[00:00:46.600 --> 00:00:52.400]  美國又出了一篇啓示文明的禱告
[00:00:52.400 --> 00:00:54.200]  這個禱告是說
[00:00:54.200 --> 00:00:57.600]  We thank you for the flowers so sweet
[00:00:57.600 --> 00:01:01.800]  我們感謝神花這麼美麗
[00:01:01.800 --> 00:01:05.200]  We thank you for the food we eat
[00:01:05.200 --> 00:01:09.400]  我們謝謝神供應我們糧食
[00:01:09.400 --> 00:01:12.600]  還有We thank you for the birds that sing
[00:01:12.600 --> 00:01:16.600]  我們謝謝神鳥會唱歌
[00:01:16.600 --> 00:01:19.600]  We thank you Lord for everything
[00:01:19.600 --> 00:01:24.000]  謝謝神供應我們的一切
[00:01:24.000 --> 00:01:25.600]  這篇禱告呢
[00:01:25.600 --> 00:01:28.800]  之所以有名是因爲
[00:01:28.800 --> 00:01:33.200]  後來被最高法院判定爲不合法
[00:01:33.200 --> 00:01:36.400]  所以這篇禱告後來就從校園中
[00:01:36.400 --> 00:01:38.000]  被剔除了
[00:01:38.000 --> 00:01:39.600]  一直到現在
[00:01:39.600 --> 00:01:43.400]  沒有在校園中禱告過了
[00:01:43.400 --> 00:01:47.200]  爲什麼會有這樣子的恩將仇報呢
[00:01:47.200 --> 00:01:49.600]  如果說我們謝謝神給我們食物
[00:01:49.600 --> 00:01:52.800]  我們謝謝神甚至於給我們空氣
[00:01:52.800 --> 00:01:55.800]  我們謝謝神甚至於給我們生命
[00:01:55.800 --> 00:01:58.800]  我們謝謝神甚至保守我們
[00:01:58.800 --> 00:02:01.800]  平安順利快樂幸福美滿健康
[00:02:01.800 --> 00:02:07.000]  甚至於允許我們有永生的盼望
[00:02:07.000 --> 00:02:09.000]  有什麼不好呢
[00:02:09.000 --> 00:02:12.800]  但是爲什麼我們會恩將仇報呢
[00:02:12.800 --> 00:02:16.400]  不準人家這樣子的禱告呢
