
[00:00:00.000 --> 00:00:02.000]  好,鄧小妹
[00:00:02.000 --> 00:00:03.720]  你好嗎?
[00:00:03.720 --> 00:00:04.520]  (好)
[00:00:04.520 --> 00:00:06.520]  真是,哇,好啊
[00:00:06.520 --> 00:00:07.980]  聽到大家
[00:00:07.980 --> 00:00:11.940]  這麼雄壯的回應,真是知道大家的狀態不錯
[00:00:11.940 --> 00:00:16.440]  阿們,阿們,大家這麼說
[00:00:16.440 --> 00:00:19.240]  好啊,鄧小妹你最近呢
[00:00:19.240 --> 00:00:23.160]  你的心呢,有沒有被一些人或者一些事呢
[00:00:23.160 --> 00:00:25.160]  抓住了?
[00:00:25.160 --> 00:00:28.560]  你被些什麼事,被些什麼人抓住了?
[00:00:30.560 --> 00:00:33.640]  呃,被自己的子女抓住了?
[00:00:33.640 --> 00:00:35.640]  (笑)
[00:00:35.640 --> 00:00:39.640]  呃,啊,什麼什麼,被什麼人抓住了?
[00:00:39.640 --> 00:00:41.640]  (笑)
[00:00:41.640 --> 00:00:43.640]  不知道10月
[00:00:43.640 --> 00:00:45.640]  10月初呢
[00:00:45.640 --> 00:00:47.640]  這個南丫四號的海難呢
[00:00:47.640 --> 00:00:49.640]  你有沒有被這件事抓住了?
[00:00:49.640 --> 00:00:53.640]  哇,我想我當時呢,是心裡面呢
[00:00:53.640 --> 00:00:55.640]  是,整天看著
[00:00:55.640 --> 00:00:57.640]  整天看著,就是
[00:00:57.640 --> 00:01:00.600]  一直看到那個景象呢,是覺得
[00:01:00.600 --> 00:01:02.600]  哇,真是好激烈啊
[00:01:02.600 --> 00:01:04.600]  這個海難真是好慘烈啊
[00:01:04.600 --> 00:01:06.600]  後來呢,還知道,原來
[00:01:06.600 --> 00:01:08.600]  原來我的兒子,我女兒呢
[00:01:08.600 --> 00:01:10.600]  就是有舊同學呢
[00:01:10.600 --> 00:01:12.600]  在這件事裡面呢
[00:01:12.600 --> 00:01:14.600]  是受傷啊,遇難啊
[00:01:14.600 --> 00:01:16.600]  哇,心呢,是更加
[00:01:16.600 --> 00:01:18.600]  更加不舒服啊
[00:01:18.600 --> 00:01:20.600]  那麼
[00:01:20.600 --> 00:01:22.600]  早一陣子大家就被這個國民教育
[00:01:22.600 --> 00:01:24.600]  就,就是
[00:01:24.600 --> 00:01:26.600]  拿了焦點啊,是不是?
[00:01:26.600 --> 00:01:28.600]  又平靜了,那麼最近
[00:01:28.600 --> 00:01:30.600]  大家有沒有被一些事呢
[00:01:30.600 --> 00:01:32.600]  抓住了你的心呢?
[00:01:32.600 --> 00:01:34.600]  那麼其實呢,我最近呢
[00:01:34.600 --> 00:01:36.600]  有一段時間,都挺長的
[00:01:36.600 --> 00:01:38.600]  其實還沒,還沒過的
[00:01:38.600 --> 00:01:40.600]  我呢,就被一,被兩個字呢
