
[00:00:00.000 --> 00:00:04.480]  人生是一條前進的路
[00:00:04.480 --> 00:00:08.160]  走過的回不去
[00:00:08.160 --> 00:00:11.320]  所以以下可能是彼得的心事
[00:00:11.320 --> 00:00:14.240]  你也試試代入
[00:00:14.240 --> 00:00:16.400]  當彼得一路走來
[00:00:16.400 --> 00:00:18.160]  步步驚心
[00:00:18.160 --> 00:00:20.560]  先前主耶穌釘了十字架
[00:00:20.560 --> 00:00:22.720]  奇蹟復活了
[00:00:22.720 --> 00:00:24.960]  主耶穌又顯現過
[00:00:24.960 --> 00:00:30.080]  今日是第三次了
[00:00:30.080 --> 00:00:33.680]  這是彼得心中的敏感詞
[00:00:33.680 --> 00:00:34.560]  這一天
[00:00:34.560 --> 00:00:38.080]  原本從粗故業打發去等待主的時間
[00:00:38.080 --> 00:00:39.200]  賺點生活費
[00:00:39.200 --> 00:00:41.360]  沒想過三年前
[00:00:41.360 --> 00:00:45.440]  主指點我們這些專業漁夫打魚的一幕
[00:00:45.440 --> 00:00:47.520]  在岸上一起吃早餐
[00:00:47.520 --> 00:00:50.160]  煮遞魚過來的一幕
[00:00:50.160 --> 00:00:52.880]  然後飯後在火爐邊
[00:00:52.880 --> 00:00:56.080]  開始問話的一幕
[00:00:56.080 --> 00:00:59.600]  每一幕
[00:00:59.600 --> 00:01:02.160]  彷彿是似曾相識
[00:01:02.160 --> 00:01:03.520]  每一幕
[00:01:03.520 --> 00:01:06.000]  都可以令彼得這個我
[00:01:06.000 --> 00:01:08.080]  忐忑不安
[00:01:08.080 --> 00:01:09.680]  不知不覺間
[00:01:09.680 --> 00:01:11.680]  復活的主耶穌
[00:01:11.680 --> 00:01:12.880]  和我這個彼得
[00:01:12.880 --> 00:01:16.000]  在湖邊散起步離
[00:01:16.000 --> 00:01:18.960]  大概是主越問
[00:01:18.960 --> 00:01:21.280]  我越不自覺想走
[00:01:21.280 --> 00:01:24.640]  到了第三次問我
[00:01:24.640 --> 00:01:26.000]  三次
[00:01:26.000 --> 00:01:28.560]  又是這個敏感詞
[00:01:28.560 --> 00:01:29.760]  這個約翰
[00:01:29.760 --> 00:01:33.760]  為何跟著在後面
[00:01:33.760 --> 00:01:38.960]  以上是我們代入彼得心情的一個嘗試
[00:01:38.960 --> 00:01:40.080]  不過彼得
[00:01:40.080 --> 00:01:44.240]  在他人生路上有一個不光彩的過去
[00:01:44.240 --> 00:01:45.520]  這是事實
[00:01:45.520 --> 00:01:47.600]  至少每一年
[00:01:47.600 --> 00:01:50.160]  來到壽苦節我們都會講一次
[00:01:50.160 --> 00:01:52.480]  講了他二千多年
[00:01:52.480 --> 00:01:54.400]  其實誰沒有一段
[00:01:54.400 --> 00:01:55.760]  想起的過去
[00:01:55.760 --> 00:02:00.000]  想撼掉重練的過去呢?
[00:02:00.000 --> 00:02:01.840]  未來
[00:02:01.840 --> 00:02:03.760]  是否能夠走下去呢?
[00:02:03.760 --> 00:02:05.440]  而今天這條人生路
[00:02:05.440 --> 00:02:09.600]  又有甚麼等著我呢?
[00:02:09.600 --> 00:02:11.520]  今天我們都藉著彼得的經歷
[00:02:11.520 --> 00:02:12.640]  去想一想
[00:02:12.640 --> 00:02:15.680]  自己和主耶穌的關係
[00:02:15.680 --> 00:02:16.800]  過去的
[00:02:16.800 --> 00:02:18.400]  有甚麼要對付
[00:02:18.400 --> 00:02:20.560]  未來的有甚麼要承擔
[00:02:20.560 --> 00:02:23.840]  今天會面對怎樣的衝擊
[00:02:23.840 --> 00:02:27.840]  我們再一次將這段時間交託給主
[00:02:27.840 --> 00:02:28.560]  主啊
[00:02:28.560 --> 00:02:31.200]  當我們打開祢聖經的話語
[00:02:31.200 --> 00:02:33.040]  無論我們在家中
[00:02:33.040 --> 00:02:35.760]  或是在一個安靜的地方
[00:02:35.760 --> 00:02:39.440]  求祢讓我們心裏有平靜
[00:02:39.440 --> 00:02:41.760]  求祢讓我們能夠專注
[00:02:41.760 --> 00:02:44.320]  專注在祢聖經的話語裏面
[00:02:44.320 --> 00:02:46.320]  領受聖靈的引導
[00:02:46.320 --> 00:02:47.760]  讓我們明白
[00:02:47.760 --> 00:02:50.800]  祢要我們學曉的真理
[00:02:50.800 --> 00:02:51.760]  多謝主
[00:02:51.760 --> 00:02:53.200]  祈禱奉主耶穌基督
[00:02:53.200 --> 00:02:55.040]  得聖名至祈求
[00:02:55.040 --> 00:02:57.040]  阿們
[00:03:17.760 --> 00:03:19.520]  主對彼得原本的全名
[00:03:19.520 --> 00:03:21.120]  彼得是後來
[00:03:21.120 --> 00:03:22.480]  呼召他作為門徒的時候
[00:03:22.480 --> 00:03:24.080]  耶穌幫他改的名
[00:03:24.080 --> 00:03:25.280]  他原本的名字是
[00:03:25.280 --> 00:03:27.920]  約翰的兒子西門
[00:03:27.920 --> 00:03:30.800]  當你要叫一個孩子的全名
[00:03:30.800 --> 00:03:34.320]  又或者你太太叫你的全名
[00:03:34.320 --> 00:03:36.560]  大概是要你聽清楚一些東西
[00:03:36.560 --> 00:03:38.560]  或者要警告你一些東西
[00:03:38.560 --> 00:03:42.160]  總之都是認真模式
[00:03:42.160 --> 00:03:45.360]  主對彼得發出的問題
[00:03:45.360 --> 00:03:48.320]  你愛我比這些更深嗎?
[00:03:48.320 --> 00:03:50.560]  可以有兩個解讀
[00:03:50.560 --> 00:03:52.080]  第一
[00:03:52.080 --> 00:03:53.840]  彼得,你愛耶穌
[00:03:53.840 --> 00:03:56.560]  是否比愛這些漁船和漁網
[00:03:56.560 --> 00:04:00.160]  這些謀生的工具、生財的工具更加深呢?
[00:04:00.160 --> 00:04:02.960]  甚至是否愛這些漁獲呢?
[00:04:02.960 --> 00:04:04.560]  前文就說到
[00:04:04.560 --> 00:04:06.560]  當主指示他們去打魚的時候
[00:04:06.560 --> 00:04:07.840]  他們又撈到很多魚
[00:04:07.840 --> 00:04:10.160]  153條大魚
[00:04:10.160 --> 00:04:12.720]  這是約翰的記底
[00:04:12.720 --> 00:04:16.320]  153條大魚賣到挺好的錢
[00:04:16.320 --> 00:04:19.280]  可以是一個不錯的避險基金
[00:04:19.280 --> 00:04:21.280]  有什麼險要避呢?
[00:04:21.280 --> 00:04:25.680]  耶穌剛才在上兩個星期才被人捉拿去釘十字架
[00:04:25.680 --> 00:04:29.920]  現在他們暫時從耶路撒冷撤離
[00:04:29.920 --> 00:04:31.120]  那裡
[00:04:31.120 --> 00:04:34.720]  宗教領袖彼拉多的軍隊還沒有追到來
[00:04:34.720 --> 00:04:36.000]  但是要逃難
[00:04:36.000 --> 00:04:38.240]  要資金
[00:04:38.240 --> 00:04:39.440]  我們也反省一下
[00:04:39.440 --> 00:04:41.120]  主耶穌對彼得的提問
[00:04:41.120 --> 00:04:46.960]  歷代以來都是對所有聲稱相信耶穌的人說的
[00:04:46.960 --> 00:04:51.120]  你愛我比這些更深
[00:04:51.120 --> 00:04:54.080]  今天有什麼事物
[00:04:54.080 --> 00:04:58.080]  你愛得很深呢?
[00:04:58.080 --> 00:05:02.560]  愛得比主更深呢?
