
[00:00:00.000 --> 00:00:01.960]  好 弟兄姊妹平安
[00:00:01.960 --> 00:00:03.720]  很高興再一次見到大家
[00:00:03.720 --> 00:00:06.720]  特別是我們真的都要
[00:00:06.720 --> 00:00:09.160]  可能這裡比較遙遠的地方
[00:00:09.160 --> 00:00:10.560]  可能都是隔週日
[00:00:10.560 --> 00:00:13.120]  我們能夠比較多的機會見面聊聊天
[00:00:13.120 --> 00:00:16.600]  所以也感恩我們可以駕車回來當中
[00:00:16.600 --> 00:00:19.200]  一起去敬拜上帝給我們的恩典
[00:00:19.200 --> 00:00:20.880]  我們一起我們有個祈禱
[00:00:20.880 --> 00:00:21.640]  天父我們多謝祢
[00:00:21.640 --> 00:00:24.680]  讓我們能夠回到祢的教會裡面
[00:00:24.680 --> 00:00:26.480]  藉著祢的信息 藉著祢的話語
[00:00:26.480 --> 00:00:29.680]  藉著祢的詩歌去啟發我們的生命
[00:00:29.680 --> 00:00:32.840]  讓我們能夠知道如何在這個世代裡面
[00:00:32.840 --> 00:00:35.400]  我們可以做一個跟隨主祢的人
[00:00:35.400 --> 00:00:37.720]  也成為一個傳福音的人
[00:00:37.720 --> 00:00:38.960]  求主祢幫助我們
[00:00:38.960 --> 00:00:41.560]  讓我們去明白祢自己的說話
[00:00:41.560 --> 00:00:44.680]  聽我們祈禱奉耶穌名字而求
[00:00:44.680 --> 00:00:45.600]  阿們
[00:00:45.600 --> 00:00:49.480]  好 今天和大家繼續去思考福音廣傳菲臘比
[00:00:49.480 --> 00:00:55.440]  因為事實上我們很想我們一起去看菲臘比書
[00:00:55.440 --> 00:00:58.280]  但是菲臘比書裡面其中一些背景
[00:00:58.280 --> 00:01:00.760]  就來自《史讀行傳》第十六章
[00:01:00.760 --> 00:01:03.800]  就是說保羅第一次去到菲臘比裡面
[00:01:03.800 --> 00:01:07.560]  如何開始傳福音 如何開始建立教會
[00:01:07.560 --> 00:01:09.600]  也在當中你會知道
[00:01:09.600 --> 00:01:12.240]  如何保羅認定了菲臘比教會
[00:01:12.240 --> 00:01:15.800]  從頭一天直到如今都是同心合意
[00:01:15.800 --> 00:01:17.480]  興旺福音
[00:01:17.480 --> 00:01:19.680]  事實上看得到他們菲臘比教會裡面
[00:01:19.680 --> 00:01:21.080]  對福音那種熱誠
[00:01:21.080 --> 00:01:22.360]  那種承擔 那種開放
[00:01:22.360 --> 00:01:24.400]  那種願意去接受
[00:01:24.400 --> 00:01:26.720]  以致他們有很大的生命改變
[00:01:26.720 --> 00:01:28.440]  甚至建立了一間教會
[00:01:28.440 --> 00:01:30.520]  都是有很多的啟發
[00:01:30.520 --> 00:01:31.800]  特別我們要想一下
[00:01:31.800 --> 00:01:35.360]  如何將福音能夠傳到不同的地方
[00:01:35.360 --> 00:01:38.120]  我們都藉著我們這兩次的講道裡面
[00:01:38.120 --> 00:01:41.000]  去看看保羅有什麼方式
[00:01:41.000 --> 00:01:46.800]  去激勵我們知道我們如何逐步去學習
[00:01:46.800 --> 00:01:50.200]  傳福音一些方式 一些秘訣
