
[00:00:00.000 --> 00:00:04.920]  我們雖然有些教會沒有用教會年這個情況
[00:00:04.920 --> 00:00:09.680]  但是其實我們會知道耶穌降生之前四十天
[00:00:09.680 --> 00:00:11.800]  被稱為將臨期
[00:00:11.800 --> 00:00:15.440]  就是耶穌也將要降臨在我們當中
[00:00:15.440 --> 00:00:18.380]  那時候將臨期如果他們教會的佈置
[00:00:18.380 --> 00:00:20.840]  是會用紫色來做代表的
[00:00:20.840 --> 00:00:23.080]  所以我今天特意穿一件紫色的衣服
[00:00:23.080 --> 00:00:24.680]  打一條紫色的領帶
[00:00:24.680 --> 00:00:25.760]  再配在這裡
[00:00:25.760 --> 00:00:26.840]  不知道會不會黏在一起
[00:00:26.840 --> 00:00:31.380]  紫色的背景可能已經看不見我的樣子了
[00:00:31.380 --> 00:00:34.640]  去配合這個訊息
[00:00:34.640 --> 00:00:38.600]  在現在應該來講叫做將臨期
[00:00:38.600 --> 00:00:40.360]  等候耶穌回來
[00:00:40.360 --> 00:00:46.680]  我想跟大家分享昔日的將臨期是什麼情況
[00:00:46.680 --> 00:00:48.520]  我們如果看聖經
[00:00:48.520 --> 00:00:50.200]  舊約是《馬拉基書》
[00:00:50.200 --> 00:00:52.440]  遣過去新約《馬太福音》
[00:00:52.440 --> 00:00:54.600]  只是一頁很快就遣了
[00:00:54.600 --> 00:00:57.280]  大家知不知道當中原來有四百年
[00:00:57.280 --> 00:00:59.520]  就叫做黑暗時期
[00:00:59.520 --> 00:01:03.760]  這四百年裡面神完全沒有跟他們講任何的說話
[00:01:03.760 --> 00:01:06.640]  神跟他們好像隔絕了那個關係
[00:01:06.640 --> 00:01:07.640]  其實神一直看著
[00:01:07.640 --> 00:01:09.600]  但是神沒有再向他們顯示
[00:01:09.600 --> 00:01:10.360]  為什麼呢?
[00:01:10.360 --> 00:01:12.800]  我們要看看之前發生什麼事
[00:01:12.800 --> 00:01:14.400]  以色列人背叛神
[00:01:14.400 --> 00:01:17.200]  神透過先知多次提醒警告
[00:01:17.200 --> 00:01:18.560]  但是他都不聽的時候
[00:01:18.560 --> 00:01:20.080]  神讓他們滅亡
[00:01:20.080 --> 00:01:22.560]  他們的國家被巴比倫滅了
[00:01:22.560 --> 00:01:25.360]  但是神仍然有憐憫七十年之後他們歸回
[00:01:25.360 --> 00:01:27.920]  當他們回到自己的故鄉的時候
[00:01:27.920 --> 00:01:29.440]  他們會重建聖殿
[00:01:29.440 --> 00:01:31.120]  他們沒有再拜偶像
[00:01:31.120 --> 00:01:34.040]  他們甚至會來到有宗教的禮儀會
[00:01:34.040 --> 00:01:37.120]  去聖殿裡面獻祭
[00:01:37.120 --> 00:01:38.640]  但是神說
[00:01:38.640 --> 00:01:40.960]  你們只是有外在的行動
[00:01:40.960 --> 00:01:42.840]  沒有真正的心態
[00:01:42.840 --> 00:01:47.480]  於是差遣先知馬拉基去提醒他們
[00:01:47.480 --> 00:01:48.840]  但是很可悲
[00:01:48.840 --> 00:01:50.360]  當先知提醒他們
[00:01:50.360 --> 00:01:53.560]  他們依然互惡充耳不聞
