
[00:00:00.000 --> 00:00:07.600]  李卓人:我們再一齊去聆聽陳的話語
[00:00:07.600 --> 00:00:12.400]  當我每次講道,我都想用一個比較吸引一點的引言
[00:00:12.400 --> 00:00:16.800]  去得到大家的投入或者關注
[00:00:16.800 --> 00:00:20.800]  最好應該講一下時事的事情
[00:00:20.800 --> 00:00:24.800]  譬如財政預算案,或者之前的大埔車禍
[00:00:24.800 --> 00:00:29.400]  衍生到有巴士司機罷工等等
[00:00:29.400 --> 00:00:32.200]  或者我們的急症室被迫爆
[00:00:32.200 --> 00:00:37.400]  我覺得都很難,因為一來我都不是很掌握事實的全部
[00:00:37.400 --> 00:00:41.600]  如果將一些東西就這樣講出來,好像將事情太過表面化
[00:00:41.600 --> 00:00:44.000]  甚至乎我又怕講多錯多
[00:00:44.000 --> 00:00:49.000]  二來我又怕我講的時候很容易會注入一些自己主觀的意見
[00:00:49.000 --> 00:00:51.000]  如果萬一遇到一些跟我相反意見的人
[00:00:51.000 --> 00:00:57.000]  又可能造成一些情緒衝突、矛盾、紛爭等等
[00:00:57.000 --> 00:00:59.200]  所以還是不講
[00:00:59.200 --> 00:01:07.400]  但是回到教會,是不是我們避開了六日世上的禪理
[00:01:07.400 --> 00:01:10.400]  隔開一切的分論和評論
[00:01:10.400 --> 00:01:13.800]  退下火線,平心靜氣地坐在禮堂那裡
[00:01:13.800 --> 00:01:18.600]  聽聽詩歌、聽聽道,就滿足了我們基督徒的責任?
[00:01:18.600 --> 00:01:23.200]  甚至乎是否像我們的家長那樣,帶小朋友來那邊
[00:01:23.200 --> 00:01:26.000]  聽聽我們的兒童導師教聖經
[00:01:26.000 --> 00:01:30.600]  那麼家長就可以在一個半小時裡,在這裡有些安靜的時間
[00:01:30.600 --> 00:01:32.400]  私人的時間
[00:01:32.400 --> 00:01:34.000]  我真的接受不了
[00:01:34.000 --> 00:01:36.600]  我想我們的崇拜不是這樣
[00:01:36.600 --> 00:01:40.000]  我每次預備講道,我都會求問上帝
[00:01:40.000 --> 00:01:44.400]  神啊,祢想我今天為我的弟兄姊妹
[00:01:44.400 --> 00:01:50.400]  為教會祢的,為上迂屬接上帝的教會講些什麼信息呢?
[00:01:50.400 --> 00:01:53.600]  是否真的講一下聖經,解釋一下原文
[00:01:53.600 --> 00:01:57.000]  或者邀請大家進行上帝的道
[00:01:57.000 --> 00:02:00.600]  我也滿足了神的心意呢?
[00:02:00.600 --> 00:02:04.000]  在這段時間,很多團契都邀請我到不同的州會
[00:02:04.000 --> 00:02:06.400]  去講我們的土葬崇拜宣言
[00:02:06.400 --> 00:02:10.400]  特別當我去到第六句崇拜宣言的時候
[00:02:10.400 --> 00:02:12.000]  這一句紅色的話
[00:02:12.000 --> 00:02:16.400]  在聚集時的敬拜和分散之後的在世生活
[00:02:16.400 --> 00:02:23.400]  再次清晰我對教會或崇拜的一個很重要的觀念
