
[00:00:00.000 --> 00:00:03.040]  在正道之前,你去同心,去祈禱
[00:00:03.040 --> 00:00:08.200]  神的獨生兒子,耶穌基督,求你施恩,可憐這個罪人
[00:00:08.200 --> 00:00:15.080]  願與這個不配的人,在主的面前,示立宣講主的恩怨
[00:00:15.080 --> 00:00:20.240]  求主耶穌基督的保血,再一次洗淨孩子的罪
[00:00:20.240 --> 00:00:25.400]  讓神你的話語,來藉著這個不配的人,來宣講
[00:00:25.400 --> 00:00:29.280]  以真理聖靈,來開我們茅塞
[00:00:29.280 --> 00:00:32.960]  讓我們進入真理,恭敬的獻上祈禱
[00:00:32.960 --> 00:00:39.280]  是靠主基督耶穌聖命祈禱,阿們
[00:00:39.280 --> 00:00:44.280]  有人說,人生是不斷地作出選擇
[00:00:44.280 --> 00:00:51.120]  付出和捨棄,擁有和收穫
[00:00:51.120 --> 00:00:56.760]  即是在這個選擇之間,我們有取有捨
[00:00:56.760 --> 00:01:00.040]  多年前,一位弟兄來到我的辦公室
[00:01:00.040 --> 00:01:03.720]  他面對人生重要的抉擇
[00:01:03.720 --> 00:01:08.240]  他來跟我說,他說已經做了決定
[00:01:08.240 --> 00:01:15.200]  他是做零售生意,在店舖做主管
[00:01:15.200 --> 00:01:21.200]  他上司說,這間公司會開一間新舖
[00:01:21.200 --> 00:01:27.520]  這間新舖會有店長,店長內部提升
[00:01:27.520 --> 00:01:31.320]  我屬於你去做這個職位
[00:01:31.320 --> 00:01:40.160]  你需要寫信申請,申請就做到了
[00:01:40.160 --> 00:01:44.040]  薪金不止多一倍
[00:01:44.040 --> 00:01:49.840]  因為計算佣金
[00:01:49.840 --> 00:01:56.120]  店長比主管更多
[00:01:56.120 --> 00:02:04.080]  這個難得的機會,打工仔當然希望出人頭地
[00:02:04.080 --> 00:02:06.000]  問落是怎樣呢?
[00:02:06.000 --> 00:02:08.280]  他說代價是
[00:02:08.280 --> 00:02:13.240]  主管當然要風吹雨打都要回去
[00:02:13.240 --> 00:02:18.760]  可能其他職員都可以沒有什麼
[00:02:18.760 --> 00:02:25.520]  但可能打風落雨,或是警鐘響,都是你撲回去的
[00:02:25.520 --> 00:02:28.360]  還有什麼呢?代價就是一年
[00:02:28.360 --> 00:02:32.800]  即是五十多個星期,一年最多有七個星期
[00:02:32.800 --> 00:02:36.760]  六或者日可以放假
[00:02:36.760 --> 00:02:41.480]  五十多個星期裏面,只可以有七次
[00:02:41.480 --> 00:02:45.480]  其中是日和六加上七次,可以放假
[00:02:45.480 --> 00:02:50.040]  因為你是店長,這個零售業最多人的時間是什麼?
[00:02:50.040 --> 00:02:53.000]  就是星期六、日
[00:02:53.000 --> 00:02:57.760]  身邊的人不斷勸他,勸他什麼?
[00:02:57.760 --> 00:03:02.280]  當然是上位,入址申請
[00:03:02.280 --> 00:03:07.440]  但他很掙扎,這個黃金機會快要結婚了
[00:03:07.440 --> 00:03:13.040]  組織家庭之後,一闊三大開始,多了很多
[00:03:13.040 --> 00:03:16.800]  不過做代價,回不了教會
[00:03:16.800 --> 00:03:21.360]  缺少了和肢體的相交,參與事負的機會
[00:03:21.360 --> 00:03:29.080]  亦都是沒什麼時間和女朋友或者將來的太太相聚
[00:03:29.080 --> 00:03:31.600]  那你會怎樣選擇?
[00:03:31.600 --> 00:03:34.520]  一邊好像平步青雲
[00:03:34.520 --> 00:03:38.720]  一邊繼續在這裡,去原有崗位
[00:03:38.720 --> 00:03:44.720]  看著別人上位,那你會怎樣選擇?
[00:03:44.720 --> 00:03:48.080]  他來到之前跟我說,已經決定了
[00:03:48.080 --> 00:03:52.120]  已經跟老闆說,他拒絕了
[00:03:52.120 --> 00:03:55.240]  他上司拒絕了,接受了
[00:03:55.240 --> 00:04:00.440]  他上司還很努力地鼓勵他,要求他
[00:04:00.440 --> 00:04:03.000]  不如你去吧,不要放棄這個機會
[00:04:03.000 --> 00:04:06.640]  這個機會難得沒有了
[00:04:06.640 --> 00:04:09.040]  蘇州過後就沒有艇搭了
[00:04:09.040 --> 00:04:10.680]  下次人家都不會再找你
[00:04:10.680 --> 00:04:15.680]  因為你怎樣?你都拒絕,當然不會再叫你
[00:04:15.680 --> 00:04:19.000]  但我鄭重地向同事和老闆,即是上司說
[00:04:19.000 --> 00:04:22.720]  不要再勸了,我是不會入紙申請的
[00:04:22.720 --> 00:04:24.000]  這個是我的選擇
[00:04:24.000 --> 00:04:26.240]  其他人怎樣做?我不管
[00:04:26.240 --> 00:04:28.720]  不過我怎樣?這個是我的選擇
[00:04:28.720 --> 00:04:31.280]  我就不申請
[00:04:31.280 --> 00:04:37.360]  同事都說,你真是個傻子
[00:04:37.360 --> 00:04:40.600]  我說,這樣也不是?
[00:04:40.600 --> 00:04:44.480]  這麼好的機會,升職加薪
[00:04:44.480 --> 00:04:47.080]  他說其實後面是有代價的
[00:04:47.080 --> 00:04:50.280]  好看又好風光,但其實
[00:04:50.280 --> 00:04:53.840]  看回背後,升職加薪是有代價的
[00:04:53.840 --> 00:04:57.360]  好像風光了,好像有多人工,不過怎樣呢?
[00:04:57.360 --> 00:05:06.400]  他說不成比例地付出收入和代價
[00:05:06.400 --> 00:05:09.640]  由於缺乏的出現,這個是經濟學家
[00:05:09.640 --> 00:05:13.680]  人是需要作出選擇
[00:05:13.680 --> 00:05:18.640]  選擇才是滿足某些慾望
[00:05:18.640 --> 00:05:23.480]  當要選擇的時間,都會涉及機會成本
[00:05:23.480 --> 00:05:25.680]  既然選擇了某些東西
[00:05:25.680 --> 00:05:28.440]  那他就需要付出成本
[00:05:28.440 --> 00:05:30.840]  在眾多放棄的選擇裏面
[00:05:30.840 --> 00:05:34.160]  價值最高的一個,就是機會成本
[00:05:34.160 --> 00:05:36.360]  假如在你面前有三個水果
[00:05:36.360 --> 00:05:39.720]  橙、蘋果和香蕉
[00:05:39.720 --> 00:05:43.840]  你最喜歡的次序就是橙、蘋果和香蕉
[00:05:43.840 --> 00:05:45.520]  你選擇了橙
[00:05:45.520 --> 00:05:49.320]  那就是你放棄了蘋果和香蕉
[00:05:49.320 --> 00:05:52.680]  意思可能是靠賣力
[00:05:52.680 --> 00:05:58.320]  也有機會你吃不完,你吃橙已經吃不到蘋果和香蕉
[00:05:58.320 --> 00:06:01.360]  這個機會成本,就是在決策過程裏面
[00:06:01.360 --> 00:06:05.440]  面對選擇當中放棄最高價值的選擇
[00:06:05.440 --> 00:06:07.680]  這個是代替性的成本
[00:06:07.680 --> 00:06:12.920]  俗語說,有得,就有失
[00:06:12.920 --> 00:06:16.600]  選橙的話,機會的成本就是蘋果
[00:06:16.600 --> 00:06:26.480]  我剛才在《林則》時所讀經文,以色列人推卻重建聖殿的命令的理據是非常另類的
[00:06:26.480 --> 00:06:29.560]  從頭到尾他都沒有說不重建的
[00:06:29.560 --> 00:06:32.280]  他說的是什麼?
[00:06:32.280 --> 00:06:35.880]  「時候未到」
[00:06:35.880 --> 00:06:39.840]  這個「時候未到」是很大的想像空間,可圈可點
[00:06:39.840 --> 00:06:41.800]  我不是說不做,不過是怎樣?
[00:06:41.800 --> 00:06:43.200]  「時候未到」
[00:06:43.200 --> 00:06:48.400]  這個是可能對於這群百姓來說
[00:06:48.400 --> 00:06:51.600]  他覺得這個對他們來說是「時候未到」
[00:06:51.600 --> 00:06:56.160]  對於神來說,都是未到時間
[00:06:56.160 --> 00:07:03.440]  不是不重建,只是「時候未到」時機未成熟
[00:07:03.440 --> 00:07:07.240]  這些很官腔的說話
[00:07:07.240 --> 00:07:09.720]  你的投訴已經被接納了
[00:07:09.720 --> 00:07:15.920]  已經交由相關的部門跟進和處理
[00:07:15.920 --> 00:07:19.280]  不過,怎樣跟進?不告訴你
[00:07:19.280 --> 00:07:22.800]  什麼時候行動?又沒有說
[00:07:22.800 --> 00:07:27.600]  剛才他收了你的投訴就完了
[00:07:27.600 --> 00:07:32.520]  一句「循序漸進,萬丈高樓,從地起」
[00:07:32.520 --> 00:07:34.880]  不能夠一步到位,不可以急進
[00:07:34.880 --> 00:07:37.520]  不可以急進,不可以急進
[00:07:37.520 --> 00:07:40.960]  要按指引,要按程序做事
[00:07:40.960 --> 00:07:43.920]  問題就是重建聖殿這麼重要的事
[00:07:43.920 --> 00:07:48.520]  可以一而再,再而三,這樣拖延
[00:07:48.520 --> 00:07:55.520]  我們說,經文是怎樣勸喻以色列人
[00:07:55.520 --> 00:07:58.640]  是成為我們尷尬和提醒
[00:07:58.640 --> 00:08:02.800]  其實「未是時候」是一個萬能關鍵
[00:08:02.800 --> 00:08:04.880]  今天我們在家裡經常
[00:08:04.880 --> 00:08:08.920]  或者在我們生活裡經常遇到
