
[00:00:00.000 --> 00:00:02.700]  是這個主題 搖滑的手
[00:00:02.700 --> 00:00:05.000]  我們最近都很興奮
[00:00:05.000 --> 00:00:08.000]  因為有四年一度 突然間隔了一年
[00:00:08.000 --> 00:00:10.100]  看奧運 我們都有follow
[00:00:10.100 --> 00:00:14.400]  都會跟蹤那些奧運選手的故事
[00:00:14.400 --> 00:00:16.100]  包括香港 包括美國
[00:00:16.100 --> 00:00:18.700]  我們喜好的奧運項目
[00:00:18.700 --> 00:00:20.400]  我自己喜歡看游說
[00:00:20.400 --> 00:00:21.900]  我弟弟也喜歡看游說
[00:00:21.900 --> 00:00:23.800]  速度上比賽
[00:00:23.800 --> 00:00:30.600]  當中的 即使在這種奧運會
[00:00:30.600 --> 00:00:32.200]  是7月23日舉行
[00:00:32.200 --> 00:00:35.600]  就算香港也有超過40多位的運動員參加
[00:00:35.600 --> 00:00:37.300]  他們真的都擺了很多的
[00:00:37.300 --> 00:00:40.000]  各個的奧運選手都有個奧運夢
[00:00:40.000 --> 00:00:43.700]  去用他很多的時間去培訓 訓練
[00:00:43.700 --> 00:00:48.400]  有些就索性是自己的全職都會暫時停下來
[00:00:48.400 --> 00:00:50.200]  來去全心去訓練
[00:00:50.200 --> 00:00:53.400]  去跑這個奧運的項目
[00:00:53.400 --> 00:00:57.600]  有個就好像香港代表隊 有個是跨欄
[00:00:57.600 --> 00:00:59.300]  其實我們的屬靈生命上
[00:00:59.300 --> 00:01:01.500]  都好像有跨欄跑步
[00:01:01.500 --> 00:01:03.300]  每個障礙的時候
[00:01:03.300 --> 00:01:05.800]  撒旦作為在破壞我們
[00:01:05.800 --> 00:01:07.400]  搞亂我們的生活的時候
[00:01:07.400 --> 00:01:11.500]  我們都好像跨欄的這種障礙賽
[00:01:11.500 --> 00:01:14.200]  在絕境裏面繼續奔跑
[00:01:14.200 --> 00:01:17.000]  我們基督徒的人生 生命 生活
[00:01:17.000 --> 00:01:18.300]  在上個主日的時候
[00:01:18.300 --> 00:01:23.300]  我們看了《撒慕爾記》上的第四章
[00:01:23.300 --> 00:01:28.100]  我們看到以色列人
[00:01:28.100 --> 00:01:32.000]  因為他們虧欠了神的榮耀
[00:01:32.000 --> 00:01:34.500]  所以在戰爭上 在以便以謝
[00:01:34.500 --> 00:01:38.800]  那場戰爭和菲律賓人作戰的時候
[00:01:38.800 --> 00:01:43.300]  他們大敗
