
[00:00:00.000 --> 00:00:05.000]  向家裡的弟兄姊妹問安
[00:00:05.000 --> 00:00:11.400]  願耶穌基督的恩惠和平安與你們同在
[00:00:11.400 --> 00:00:15.200]  十誡第五言
[00:00:15.200 --> 00:00:25.160]  如果我們把十誡的前五句說話分為一組的話
[00:00:25.160 --> 00:00:29.680]  十誡第五言可以說是前五句說話的一個總結
[00:00:29.680 --> 00:00:33.720]  十誡第五言可以作為前五言的一個總結
[00:00:33.720 --> 00:00:37.120]  前四句說話是以上主為中心點
[00:00:37.120 --> 00:00:39.960]  前四句是以上主為中心點
[00:00:39.960 --> 00:00:43.960]  是提到上主將人從埃及維羅之家釋放出來
[00:00:43.960 --> 00:00:47.720]  是提到上帝把埃及人從維羅之家釋放出來
[00:00:47.720 --> 00:00:51.680]  在一份救贖恩情裡面我們認定祂是唯一的主
[00:00:51.680 --> 00:00:55.360]  在一份救贖關係下如何認定祂是唯一的主
[00:00:55.360 --> 00:01:03.960]  提醒我們如何按祂的心意去敬拜祂
[00:01:03.960 --> 00:01:06.440]  不是一種束縛
[00:01:06.440 --> 00:01:13.360]  而是享受在上主的恩典和自由
[00:01:13.360 --> 00:01:19.560]  十誡第五言是從天上父親的關係延伸到地上父母的關係
[00:01:19.560 --> 00:01:25.760]  十誡第五言是從天上父親的關係延伸到地上父母的關係
[00:01:25.760 --> 00:01:29.840]  當孝敬父母原來的意思是要敬重我們的父母
[00:01:29.840 --> 00:01:33.480]  當孝敬父母原來的意思是要敬重我們的父母
[00:01:33.480 --> 00:01:38.760]  大家知不知道這個字原來在聖經裡面是很少用在稱呼人的上面
[00:01:38.760 --> 00:01:43.080]  這個詞語在聖經上其實很少形容在人的身上
[00:01:43.080 --> 00:01:45.360]  大部分都用在上帝的身上
[00:01:45.360 --> 00:01:48.400]  大部分都是應用在上帝的身上
[00:01:48.400 --> 00:01:52.360]  祂是表達我們對上帝的尊崇和榮耀祂
[00:01:52.360 --> 00:01:55.280]  祂是表達我們對上帝的尊崇和榮耀祂
[00:01:55.280 --> 00:01:59.760]  如果我們可以這樣去理解十誡第五言
[00:01:59.760 --> 00:02:02.480]  如果我們這樣理解十誡第五言的話
[00:02:02.480 --> 00:02:08.040]  意思是父母是上主在個人家中所設立的代表
[00:02:08.040 --> 00:02:12.600]  意思是父母是上主在個人家中所設立的代表
[00:02:12.600 --> 00:02:17.480]  我們為人子女應該以尊崇上主的態度去孝敬父母
[00:02:17.480 --> 00:02:22.920]  我們為人子女應該以尊崇上主的態度去孝敬父母
[00:02:22.920 --> 00:02:27.280]  這個學習去尊崇上主所設立地上的代表
[00:02:27.280 --> 00:02:31.720]  我們以此來學習尊崇上主所設立的地上的代表
[00:02:31.720 --> 00:02:33.880]  上帝為我們設立了父母
[00:02:33.880 --> 00:02:35.600]  上帝為我們設立了父母
[00:02:35.600 --> 00:02:37.560]  但將孝敬父母
[00:02:37.560 --> 00:02:39.040]  當孝敬父母
[00:02:39.040 --> 00:02:44.840]  聯想到讓我們在在世的日子可以得福和長壽
[00:02:44.840 --> 00:02:48.880]  聯想到讓我們在在地上的日子可以得福和長壽
[00:02:48.880 --> 00:02:50.800]  會不會覺得有些奇怪呢?
[00:02:50.800 --> 00:02:52.480]  會不會覺得有些奇怪呢?
[00:02:52.480 --> 00:02:54.520]  孝順父母是天經地義的事情
[00:02:54.520 --> 00:02:56.760]  孝順父母是天經地義的事情
[00:02:56.760 --> 00:03:00.920]  為何唯獨十誡這一言是帶有應許的誡明呢?
[00:03:00.920 --> 00:03:04.840]  為何唯獨十誡這一言是帶有應許的誡明呢?
[00:03:04.840 --> 00:03:09.040]  如果孝敬父母只不過淪為我們要換取上帝的祝福
[00:03:09.040 --> 00:03:13.320]  如果孝敬父母只是淪為我們得到上帝的祝福的話
[00:03:13.320 --> 00:03:16.160]  或者自私一點希望我們的壽數可以長壽
[00:03:16.160 --> 00:03:19.280]  或者自私一點希望我們的壽數可以長壽一點
[00:03:19.280 --> 00:03:21.600]  請問這種孝順是否真正的孝順呢?
[00:03:21.600 --> 00:03:23.840]  請問這種孝順是真的孝順嗎?
[00:03:23.840 --> 00:03:27.160]  或者這種孝順只不過淪為一種祝福的交易
[00:03:27.160 --> 00:03:30.440]  或者這種孝順只是淪為一種祝福的交易呢?
[00:03:30.440 --> 00:03:34.120]  上帝又為何會隆重歧視要將它放在十誡裏面呢?
[00:03:34.120 --> 00:03:37.720]  上帝為何要隆重歧視把它放在十誡當中呢?
[00:03:37.720 --> 00:03:44.080]  我相信或者至少我的研讀孝敬的重點仍然指向上帝
[00:03:44.080 --> 00:03:47.760]  在我的研讀當中這個孝敬仍然是指向上帝
