
[00:00:00.000 --> 00:00:02.520]  傳道書講到現在
[00:00:02.520 --> 00:00:05.220]  如果我問你,你聽了這麼久
[00:00:05.220 --> 00:00:06.860]  你有什麼最記得的?
[00:00:06.860 --> 00:00:10.740]  虛空,沒錯,一直都是講虛空
[00:00:10.740 --> 00:00:13.620]  我不知道你聽完之後會不會覺得
[00:00:13.620 --> 00:00:16.320]  牧師,又是虛空,帶著虛空
[00:00:16.320 --> 00:00:18.860]  來離開這個窩福堂
[00:00:18.860 --> 00:00:21.900]  不過有一樣東西我想問,你先問問你
[00:00:21.900 --> 00:00:24.360]  你們有多少個一直這麼多年
[00:00:24.360 --> 00:00:26.840]  回窩福以來都是走樓梯上來的?
[00:00:26.840 --> 00:00:28.260]  走那條樓梯呢?
[00:00:28.900 --> 00:00:30.920]  很難得
[00:00:30.920 --> 00:00:34.880]  你有沒有留意今天在崇拜裡面
[00:00:34.880 --> 00:00:36.920]  那兩張大張的海報
[00:00:36.920 --> 00:00:40.700]  有什麼特別的意義,有什麼啟示在當中
[00:00:40.700 --> 00:00:45.080]  今天兩個牧師的講道
[00:00:45.080 --> 00:00:47.480]  陳牧師講什麼?
[00:00:47.480 --> 00:00:49.800]  主題是什麼?
[00:00:49.800 --> 00:00:52.320]  一條不易走的路
[00:00:52.320 --> 00:00:55.520]  我的主題是什麼呢?
[00:00:56.520 --> 00:01:00.720]  堅持,堅持走這條不容易的樓梯
[00:01:00.720 --> 00:01:01.720]  你們走了多少年?
[00:01:01.720 --> 00:01:06.560]  十幾年了,有沒有人走了二十年的樓梯?
[00:01:06.560 --> 00:01:08.580]  很厲害,我們鼓掌一下
[00:01:08.580 --> 00:01:13.200]  其實你想想,其實不容易
[00:01:13.200 --> 00:01:16.540]  堅持走這條路有什麼含義?
[00:01:16.540 --> 00:01:21.420]  堅持跟隨耶穌就是一個含義
[00:01:21.420 --> 00:01:22.760]  是不是?
[00:01:22.760 --> 00:01:26.200]  走上來窩福容易
[00:01:26.520 --> 00:01:30.160]  但背後帶來的意思,意義深重
[00:01:30.160 --> 00:01:32.500]  你一直跟隨著主
[00:01:32.500 --> 00:01:35.800]  可能是十年、二十年、三十年
[00:01:35.800 --> 00:01:41.040]  什麼讓你能夠繼續堅持下去呢?
[00:01:41.040 --> 00:01:46.800]  特別是我們從傳道書一直講這個現實世界
[00:01:46.800 --> 00:01:48.800]  可能
[00:01:48.800 --> 00:01:53.600]  你心裡面可能有一個感慨,就是不容易
[00:01:54.000 --> 00:01:58.540]  特別是今天我們面對著充滿了混亂的這個世代
[00:01:58.540 --> 00:02:02.840]  後現代的個人主義一直強調了自己
[00:02:02.840 --> 00:02:05.740]  自己是最重要的,一個這樣的世界
[00:02:05.740 --> 00:02:11.320]  我們又發覺,很多東西我們是越來越不懂的了
[00:02:11.320 --> 00:02:15.080]  我這個稱之為IT訓練的人
[00:02:15.080 --> 00:02:18.000]  讀電子機械的人
[00:02:18.000 --> 00:02:21.000]  現在看著手機那些什麼封7、封8那些
[00:02:21.000 --> 00:02:22.600]  根本我自己都封了
[00:02:23.560 --> 00:02:26.660]  很多東西你不知道,你不能夠掌握
[00:02:26.660 --> 00:02:30.080]  甚至你發覺,很荒謬的世界
[00:02:30.080 --> 00:02:32.120]  很多東西你都不能夠掌握得到
[00:02:32.120 --> 00:02:36.180]  公平、公義似乎令我們越來越懸
[00:02:36.180 --> 00:02:39.000]  甚至有些什麼叫做正確
[00:02:39.000 --> 00:02:42.420]  不正確,我們又越來越不能夠掌握
[00:02:42.420 --> 00:02:46.160]  生與死不斷在交替
[00:02:46.160 --> 00:02:50.640]  禍與福也不斷地轉變
[00:02:51.500 --> 00:02:55.000]  就在那一刻,不斷地去變化
[00:02:55.000 --> 00:02:57.240]  有一個無常的世界
[00:02:57.240 --> 00:02:59.080]  但是
[00:02:59.080 --> 00:03:02.880]  在這個混亂裡面
[00:03:02.880 --> 00:03:05.760]  我們為什麼要持守我們的信仰呢?
[00:03:05.760 --> 00:03:10.180]  正正就是傳道書向我們一個很重要的提醒
[00:03:10.180 --> 00:03:15.220]  讓我們一起同心離去祈禱,開始我們今天的分享
[00:03:15.220 --> 00:03:20.500]  擦脂求尼的說話成為我們的力量
[00:03:20.500 --> 00:03:24.280]  讓我們在這個充滿了混亂的世代裡面
[00:03:24.280 --> 00:03:27.900]  帶著信仰給我們的能力走向這個秩序
[00:03:27.900 --> 00:03:31.140]  又讓我們從這個很多不知道
[00:03:31.140 --> 00:03:33.540]  不確定的現實世界裡面
[00:03:33.540 --> 00:03:37.080]  去到一個肯定,肯定主祢的真實
[00:03:37.080 --> 00:03:41.120]  甚至願意讓我們在這個無常
[00:03:41.120 --> 00:03:43.480]  萬變不定的世界裡面
[00:03:43.480 --> 00:03:46.320]  看到祢永恆主,仍然在掌管
[00:03:46.320 --> 00:03:48.400]  求祢讓我們有祢而來的平安
[00:03:48.400 --> 00:03:51.920]  讓聖靈引導我們去明白真理,認識更多
[00:03:51.920 --> 00:03:54.220]  我們祈禱奉耶穌基督,聖靈祈求
[00:03:54.220 --> 00:04:00.020]  上兩個星期,我不知道你聽關愛年會的時候
[00:04:00.020 --> 00:04:01.740]  你有什麼感受
[00:04:01.740 --> 00:04:04.840]  兩個星期的關愛年會裡面的內容資料
[00:04:04.840 --> 00:04:06.680]  就給我一種無力的感覺
[00:04:06.680 --> 00:04:09.960]  面對著人生裡面種種的痛苦
[00:04:09.960 --> 00:04:13.280]  發覺我很有限
[00:04:13.280 --> 00:04:17.540]  我怎樣回應這個世代那種荒謬
[00:04:17.780 --> 00:04:19.380]  那種的痛苦
[00:04:19.380 --> 00:04:23.520]  我只能夠說無奈
[00:04:23.520 --> 00:04:25.120]  不知道怎麼辦
[00:04:25.120 --> 00:04:28.540]  而傳道書正正就是在這個
[00:04:28.540 --> 00:04:31.160]  這樣的現實環境裡面
[00:04:31.160 --> 00:04:33.260]  向我們提出一個很重要的訊息
[00:04:33.260 --> 00:04:37.200]  傳道書由第六章到第八章裡面
[00:04:37.200 --> 00:04:40.260]  就講了很多現實裡面
