
[00:00:00.000 --> 00:00:02.360]  於是作爲一個身體當中
[00:00:02.360 --> 00:00:03.200]  保羅這麼說
[00:00:03.200 --> 00:00:05.480]  他說要彼此同心
[00:00:05.480 --> 00:00:07.880]  不要心高氣傲
[00:00:07.880 --> 00:00:10.800]  都要苦就卑微的
[00:00:10.800 --> 00:00:13.000]  不要自以爲聰明
[00:00:13.000 --> 00:00:17.720]  保羅說你們在羅馬的這羣弟兄姊妹
[00:00:17.720 --> 00:00:19.000]  在羅馬的弟兄
[00:00:19.000 --> 00:00:21.000]  你們要苦就謙卑
[00:00:21.000 --> 00:00:23.480]  這句話很有意思
[00:00:23.480 --> 00:00:26.840]  這句話意味在羅馬教會當中
[00:00:26.840 --> 00:00:29.720]  是有很多社會經濟背景
[00:00:29.720 --> 00:00:30.800]  不一樣的人
[00:00:30.800 --> 00:00:31.640]  你明白嗎
[00:00:31.640 --> 00:00:33.080]  所以纔有卑微
[00:00:33.080 --> 00:00:35.480]  就有些高級點的
[00:00:35.480 --> 00:00:39.000]  這件事我覺得是很驚人的一件事情
[00:00:39.000 --> 00:00:41.160]  因爲如果在羅馬教會里面
[00:00:41.160 --> 00:00:43.600]  真的有些人的社會經濟背景
[00:00:43.600 --> 00:00:47.320]  或者教育背景是很不一樣的
[00:00:47.320 --> 00:00:49.000]  保羅這句話意味着
[00:00:49.000 --> 00:00:50.880]  他們沒有分家
[00:00:50.880 --> 00:00:52.120]  你明白嗎
[00:00:52.120 --> 00:00:53.280]  如果他在香港
[00:00:53.280 --> 00:00:55.120]  那就一早分了家
[00:00:55.120 --> 00:00:57.280]  一早一分而變成兩個教會
[00:00:57.280 --> 00:00:58.560]  一個叫中產
[00:00:58.560 --> 00:01:00.720]  另一個叫基層
[00:01:00.720 --> 00:01:02.640]  香港教會一是問你
[00:01:02.640 --> 00:01:03.800]  人家經常都問我
[00:01:03.800 --> 00:01:04.640]  我做牧師
[00:01:04.640 --> 00:01:07.640]  你家教會是中產還是什麼
[00:01:07.640 --> 00:01:09.720]  我說不可以兩樣都是嗎
[00:01:09.720 --> 00:01:10.680]  就是不行
[00:01:10.680 --> 00:01:12.720]  在香港人們一是中產
[00:01:12.720 --> 00:01:13.840]  一是基層
[00:01:13.840 --> 00:01:14.680]  爲什麼
[00:01:14.680 --> 00:01:18.080]  因爲這樣纔可以引起人們
[00:01:18.080 --> 00:01:20.240]  但是你有沒有想過在羅馬教會
[00:01:20.240 --> 00:01:22.240]  儘管他們有些人很不一樣
[00:01:22.240 --> 00:01:24.080]  有些人很卑微
[00:01:24.080 --> 00:01:26.920]  可能是做人家的奴隸
[00:01:26.920 --> 00:01:28.680]  有些人是高高在上
[00:01:28.680 --> 00:01:32.160]  竟然這些人可以一起
[00:01:32.160 --> 00:01:33.640]  在同一間教會里面
[00:01:33.640 --> 00:01:35.240]  以至保羅說
[00:01:35.240 --> 00:01:40.520]  你們在高位的人要輔就卑微的人
[00:01:40.520 --> 00:01:45.040]  這個福音的大能可以將兩種人放在一起
[00:01:45.040 --> 00:01:46.840]  當我們沒有福音的大能的時候
[00:01:46.840 --> 00:01:48.640]  我們最厲害就是分
[00:01:48.640 --> 00:01:49.960]  分分分
[00:01:49.960 --> 00:01:52.280]  我們在美國那時候很厲害的
[00:01:52.280 --> 00:01:53.720]  醫生有醫生的團契
[00:01:53.720 --> 00:01:54.920]  護士有護士的團契
[00:01:54.920 --> 00:01:57.520]  醫生又不可以和護士一起的,爲什麼
[00:01:57.520 --> 00:01:59.280]  不夠班
[00:01:59.280 --> 00:02:01.320]  於是醫生就做醫生團契
[00:02:01.320 --> 00:02:02.760]  護士就做護士團契
[00:02:02.760 --> 00:02:04.040]  律師有律師團契
[00:02:04.040 --> 00:02:06.960]  工程師有工程師團契
[00:02:06.960 --> 00:02:10.320]  我最記得我以前在美國那間Chinatown的教會
[00:02:10.320 --> 00:02:11.560]  有學生學者
[00:02:11.560 --> 00:02:13.360]  來美國讀PhD那些
[00:02:13.360 --> 00:02:15.920]  另外一班就是在餐館打工的
[00:02:15.920 --> 00:02:17.720]  小學都沒畢業的
[00:02:17.720 --> 00:02:19.880]  星期六教會有團契的時候
[00:02:19.880 --> 00:02:22.280]  就有人走進來教會說來團契
[00:02:22.280 --> 00:02:25.840]  於是守門口的人就從頭到尾看他一次
