
[00:00:00.000 --> 00:00:04.360]  各位弟兄姊妹,各位朋友,大家下午好!
[00:00:04.360 --> 00:00:06.160]  很高興今天能夠有機會
[00:00:06.160 --> 00:00:08.820]  能夠跟大家一起來思想這個很重要的題目
[00:00:08.820 --> 00:00:11.440]  神爲何容許苦難?
[00:00:11.440 --> 00:00:14.200]  好吧,我們先開始做一個禱告
[00:00:14.200 --> 00:00:16.280]  愛我們天物上帝,我們滿心感謝禰
[00:00:16.280 --> 00:00:19.080]  感謝禰讓我們今天有機會能夠來到主禰面前
[00:00:19.080 --> 00:00:21.520]  來朝見禰,來敬拜禰
[00:00:21.520 --> 00:00:25.320]  主啊,因爲唯有禰是我們生命中唯一的喜樂
[00:00:25.320 --> 00:00:28.320]  主啊,唯有禰是我們生命中唯一的真正的滿足
[00:00:28.320 --> 00:00:31.960]  主啊,我們就求禰幫助我們來禰面前的時候
[00:00:31.960 --> 00:00:34.160]  求禰潔淨我們的心思意念
[00:00:34.160 --> 00:00:38.200]  主啊,幫助我們讓我們能夠來擔當仰望耶穌
[00:00:38.200 --> 00:00:41.320]  主啊,當我們仰望耶穌的時候讓我們得到潔淨
[00:00:41.320 --> 00:00:44.880]  主啊,當我們仰望耶穌的時候我們生命再次得到滿足
[00:00:44.880 --> 00:00:47.800]  主啊,求禰藉着禰的話與禰的真理來教導我們
[00:00:47.800 --> 00:00:52.440]  主啊,讓我們無論在苦難中或者在順境中
[00:00:52.440 --> 00:00:56.280]  主啊,都能夠經歷禰的同在,經歷禰的幫助
[00:00:56.280 --> 00:01:01.080]  經歷禰的安慰,經歷禰的恩典,經歷禰的能力
[00:01:01.080 --> 00:01:06.960]  主啊,讓我們的生命被禰的真理,被禰自己來改變
[00:01:06.960 --> 00:01:10.600]  主啊,讓我們今天每個人,我們的心都向禰來敞開
[00:01:10.600 --> 00:01:14.200]  主啊,讓禰都得着我們每個人的心
[00:01:14.200 --> 00:01:17.840]  主啊,完全得着我們每個人的生命
[00:01:17.840 --> 00:01:22.600]  主啊,我們把這段時間完全交託,求禰來幫助我們
