
[00:00:00.000 --> 00:00:06.000]  今天我想藉著一段經文,指出另外一項我們需要認真思考的工程
[00:00:06.000 --> 00:00:12.000]  還有就是我們藉著今天的經文,我們要思考一件更認真要思考一件的工程
[00:00:12.000 --> 00:00:15.000]  但這項工程不是物質的工程
[00:00:15.000 --> 00:00:17.000]  但這個工程並不是一個物質上的工程
[00:00:17.000 --> 00:00:20.000]  而是一項眼睛看不到
[00:00:20.000 --> 00:00:22.000]  而是一件眼睛看不到
[00:00:22.000 --> 00:00:28.000]  但是卻又可以看得到,可以經歷得到的屬靈工程
[00:00:29.000 --> 00:00:33.000]  也是可以確實感受得到屬靈的工程
[00:00:33.000 --> 00:00:36.000]  今天我們會看彼得前書
[00:00:36.000 --> 00:00:38.000]  今天我們看看彼得前書
[00:00:38.000 --> 00:00:40.000]  一段的經文
[00:00:40.000 --> 00:00:44.000]  首先讓我交代一下彼得前書的寫作背景是怎樣
[00:00:44.000 --> 00:00:48.000]  首先讓我們交代一下彼得前書寫作的背景是怎樣
[00:00:48.000 --> 00:00:57.000]  彼得前書估計是第一世紀,即是主後57至96年寫成的
[00:00:58.000 --> 00:01:02.000]  這封信是寫給一些散居於小亞細亞的基督徒
[00:01:02.000 --> 00:01:07.000]  這封信是寫給一些散居於小亞細亞的基督徒
[00:01:07.000 --> 00:01:11.000]  這封信是寫給一些散居於小亞細亞的基督徒
[00:01:11.000 --> 00:01:17.000]  這班是被形容為寄居的信徒
[00:01:17.000 --> 00:01:21.000]  這班人就是被形容為寄居的基督徒
[00:01:21.000 --> 00:01:24.000]  後來亦都說他們是客類
[00:01:25.000 --> 00:01:28.000]  後來亦都說他們是客類
[00:01:28.000 --> 00:01:35.000]  意思就是說這班人是寄居在小亞細亞各處的人
[00:01:35.000 --> 00:01:39.000]  意思就是說這群人就是寄居在小亞細亞的一群人
[00:01:39.000 --> 00:01:42.000]  他們是外來的異鄉客
[00:01:42.000 --> 00:01:44.000]  他們是外來的異鄉客
[00:01:44.000 --> 00:01:48.000]  一般都是居住在內陸鄉村的地方做農夫
[00:01:48.000 --> 00:01:53.000]  一般是在內陸地方鄉村裏面做農夫
[00:01:54.000 --> 00:01:58.000]  他們是受到當時社會的主流文化的排斥和歧視
[00:01:58.000 --> 00:02:03.000]  他們是受到當時社會的主流文化的排斥和歧視
[00:02:03.000 --> 00:02:07.000]  例如由於他們是外來者
[00:02:07.000 --> 00:02:09.000]  由於他們是外來者
[00:02:09.000 --> 00:02:13.000]  所以他們不能夠享受選舉權
[00:02:13.000 --> 00:02:15.000]  所以他們並沒有享受到選舉的權利
[00:02:15.000 --> 00:02:20.000]  又喪失了置業和承受產業的權利
[00:02:21.000 --> 00:02:25.000]  又喪失了置業和承受產業的權利
