
[00:00:00.000 --> 00:00:02.000]  各位好嗎?
[00:00:02.000 --> 00:00:04.000]  (主席)
[00:00:04.000 --> 00:00:13.000]  Hello everyone, it's great to be here. Thank you for the invitation, Clarence. I am really looking forward to sharing with you from Revelation.
[00:00:13.000 --> 00:00:18.000]  (主席)
[00:00:18.000 --> 00:00:19.000]  Let me pray.
[00:00:19.000 --> 00:00:21.000]  (主席)
[00:00:21.000 --> 00:00:26.000]  Heavenly Father, we thank you for your word and thank you that you speak to us.
[00:00:26.000 --> 00:00:28.000]  (主席)
[00:00:28.000 --> 00:00:33.000]  Please give us wisdom as we seek to know you more deeply.
[00:00:33.000 --> 00:00:36.000]  (主席)
[00:00:36.000 --> 00:00:37.000]  Amen.
[00:00:37.000 --> 00:00:38.000]  (主席)
[00:00:38.000 --> 00:00:42.000]  On the way in today, you would have received a piece of a puzzle.
[00:00:42.000 --> 00:00:46.000]  (主席)
[00:00:46.000 --> 00:00:50.000]  Now can you tell from your small piece what the big picture is?
[00:00:50.000 --> 00:00:57.000]  (主席)
[00:00:57.000 --> 00:00:59.000]  Raise your hand if you know what the puzzle is.
[00:00:59.000 --> 00:01:03.000]  (主席)
[00:01:03.000 --> 00:01:05.000]  Raise your hand if you have a little idea.
[00:01:05.000 --> 00:01:09.000]  (主席)
[00:01:09.000 --> 00:01:13.000]  Anyone? Look at your neighbour's piece. Can you tell together?
[00:01:13.000 --> 00:01:17.000]  (主席)
[00:01:17.000 --> 00:01:19.000]  I'll give you a hint. It's a map.
[00:01:19.000 --> 00:01:22.000]  (主席)
[00:01:22.000 --> 00:01:23.000]  With lots of ocean.
[00:01:23.000 --> 00:01:24.000]  (主席)
[00:01:24.000 --> 00:01:30.000]  No, that's a good guess. It's a map of New Zealand.
[00:01:30.000 --> 00:01:32.000]  (主席)
[00:01:32.000 --> 00:01:35.000]  There you go. You have a little piece of it.
[00:01:35.000 --> 00:01:37.000]  (主席)
[00:01:37.000 --> 00:01:43.000]  See, when you see the box, you have the whole picture and it's easy to know what it is.
[00:01:43.000 --> 00:01:47.000]  (主席)
[00:01:47.000 --> 00:01:52.000]  Now many people read Revelation a bit like a puzzle.
[00:01:52.000 --> 00:01:57.000]  (主席)
[00:01:57.000 --> 00:02:09.000]  People take the pieces of Revelation, they put it together and they try to make sense of it and guess and translate and make theories and speculations and those sorts of guesses.
[00:02:09.000 --> 00:02:22.000]  (主席)
[00:02:22.000 --> 00:02:29.000]  But the book of Revelation is actually the whole picture of the Bible, not a piece of the puzzle.
[00:02:29.000 --> 00:02:35.000]  (主席)
[00:02:35.000 --> 00:02:43.000]  Revelation gives us a picture of the whole Bible, past, present and future.
[00:02:43.000 --> 00:02:51.000]  (主席)
[00:02:51.000 --> 00:02:56.000]  And it gives us a picture of the spiritual and the physical world together.
[00:02:56.000 --> 00:03:00.000]  (主席)
[00:03:00.000 --> 00:03:11.000]  It's difficult for our eyes to take it all in at once, so it's a book we need to read in the context of the whole Bible and the context of the past, present and future.
[00:03:11.000 --> 00:03:27.000]  (主席)
[00:03:27.000 --> 00:03:36.000]  And the word Revelation comes from the Greek word Apocalypse which simply means unveiling or revealing.
[00:03:36.000 --> 00:03:44.000]  (主席)
[00:03:44.000 --> 00:03:50.000]  And Revelation is the unveiling of the whole picture, the picture on the box.
[00:03:50.000 --> 00:04:04.000]  (主席)
[00:04:04.000 --> 00:04:20.000]  And Revelation is the unveiling of the whole picture, the picture on the box.
[00:04:20.000 --> 00:04:30.000]  (主席)
