
[00:00:00.000 --> 00:00:02.000]  各位觀眾早安
[00:00:02.000 --> 00:00:04.000]  今天是2017年最後一天
[00:00:04.000 --> 00:00:06.000]  也是我們叫除夕
[00:00:06.000 --> 00:00:08.000]  每逢到這些日子
[00:00:08.000 --> 00:00:10.000]  教會有一個習慣
[00:00:10.000 --> 00:00:12.000]  也有一個傳統
[00:00:12.000 --> 00:00:14.000]  我們稱之為屬靈的傳統
[00:00:14.000 --> 00:00:16.000]  來數算過去一年的感恩的事
[00:00:16.000 --> 00:00:18.000]  以致呈現一個感恩的祭給上帝
[00:00:18.000 --> 00:00:20.000]  不知你會
[00:00:20.000 --> 00:00:22.000]  怎樣來數算呢
[00:00:22.000 --> 00:00:24.000]  為何教會也會有
[00:00:24.000 --> 00:00:26.000]  這樣的做法呢
[00:00:26.000 --> 00:00:28.000]  當然都是聖經的說話
[00:00:28.000 --> 00:00:30.000]  大家讀一讀這節聖經
[00:00:30.000 --> 00:00:32.000]  貼前五章十六至十七節
[00:00:32.000 --> 00:00:34.000]  預備起
[00:00:34.000 --> 00:00:36.000]  要上上喜樂
[00:00:36.000 --> 00:00:38.000]  不住地禱告
[00:00:38.000 --> 00:00:40.000]  凡事者因
[00:00:40.000 --> 00:00:42.000]  因為這是神在基督耶穌裡
[00:00:42.000 --> 00:00:44.000]  向你們所定的旨意
[00:00:44.000 --> 00:00:46.000]  這個就是神
[00:00:46.000 --> 00:00:48.000]  向一些在耶穌基督裡面的人
[00:00:48.000 --> 00:00:50.000]  信耶穌基督的人
[00:00:50.000 --> 00:00:52.000]  定了一個旨意
[00:00:52.000 --> 00:00:54.000]  一個吩咐
[00:00:54.000 --> 00:00:56.000]  這個吩咐有三樣東西
[00:00:56.000 --> 00:00:58.000]  上上的喜樂
[00:00:58.000 --> 00:01:00.000]  不住地禱告
[00:01:00.000 --> 00:01:02.000]  凡事者因
[00:01:02.000 --> 00:01:04.000]  凡事者因提醒我們
[00:01:04.000 --> 00:01:06.000]  在很多事情上要感謝上帝
[00:01:06.000 --> 00:01:08.000]  所以教會
[00:01:08.000 --> 00:01:10.000]  漸漸形成了這個傳統
[00:01:10.000 --> 00:01:12.000]  每年到年底的時候
[00:01:12.000 --> 00:01:14.000]  我們要去數算主因
[00:01:14.000 --> 00:01:16.000]  鼓勵我們
[00:01:16.000 --> 00:01:18.000]  凡事者因
[00:01:18.000 --> 00:01:20.000]  不過聖經提了一句
[00:01:20.000 --> 00:01:22.000]  要上上的喜樂
[00:01:22.000 --> 00:01:24.000]  首先問問大家
[00:01:24.000 --> 00:01:26.000]  你是否一個很上上喜樂的人
[00:01:26.000 --> 00:01:30.000]  你又覺得
[00:01:30.000 --> 00:01:32.000]  有時候我真的不是很上上喜樂
[00:01:32.000 --> 00:01:34.000]  有什麼難阻到你
[00:01:34.000 --> 00:01:36.000]  會喜樂的呢
[00:01:36.000 --> 00:01:38.000]  你試一下
[00:01:38.000 --> 00:01:40.000]  跟隔壁的人說
[00:01:40.000 --> 00:01:42.000]  問一下他
[00:01:42.000 --> 00:01:44.000]  你是不是一個上上喜樂的人
[00:01:44.000 --> 00:01:46.000]  什麼難阻你不能夠上上都開心的呢
[00:01:46.000 --> 00:01:48.000]  你試一下跟隔壁的人說
[00:01:48.000 --> 00:01:50.000]  你問一下他
