
[00:00:00.000 --> 00:00:05.040]  我們讀一段聖經在天主教家前書第五章第十八節
[00:00:05.040 --> 00:00:07.800]  只有一節的聖經 我們一同來唸來
[00:00:07.800 --> 00:00:11.200]  凡是謝恩 因爲這是神在基督耶穌裏
[00:00:11.200 --> 00:00:12.840]  向你們所定的旨意
[00:00:12.840 --> 00:00:14.160]  我們再讀一遍來
[00:00:14.160 --> 00:00:17.480]  凡是謝恩 因爲這是神在基督耶穌裏
[00:00:17.480 --> 00:00:19.960]  向你們所定的旨意
[00:00:19.960 --> 00:00:21.880]  今天是感恩節的主日
[00:00:21.880 --> 00:00:24.080]  再一次跟你旁邊弟兄姐妹說
[00:00:24.080 --> 00:00:29.520]  感恩節非常非常非常快樂 跟他說
[00:00:29.520 --> 00:00:31.720]  保羅在天主教家前書第五章第十八節
[00:00:31.720 --> 00:00:35.160]  很清楚教導我們說要凡是謝恩
[00:00:35.160 --> 00:00:37.040]  因爲這是神在基督耶穌裏
[00:00:37.040 --> 00:00:39.920]  向我們所定的旨意
[00:00:39.920 --> 00:00:43.520]  換句話說 神在我們身上是有個心意
[00:00:43.520 --> 00:00:48.560]  那個心意就是要我們做一個心存感恩的人
[00:00:48.560 --> 00:00:52.040]  爲什麼要做一個心存感恩的人呢?
[00:00:52.040 --> 00:00:53.840]  因爲如果我們不感恩的話
[00:00:53.840 --> 00:00:57.320]  我們很容易就忘記神的恩典
[00:00:57.320 --> 00:00:59.400]  一旦我們忘記神的恩典
[00:00:59.400 --> 00:01:03.080]  我們會逐漸的就忘記了神
[00:01:03.080 --> 00:01:05.920]  這好像今天美國的光景一樣
[00:01:05.920 --> 00:01:10.920]  當初的美國是以基督教的信仰爲立國的根基的
[00:01:10.920 --> 00:01:12.440]  但現在我們看見
[00:01:12.440 --> 00:01:17.000]  美國已經越來越遠離基督教的價值觀了
[00:01:17.000 --> 00:01:20.320]  雖然美國人還是在過感恩節
[00:01:20.320 --> 00:01:24.400]  但多半感恩節都是在喫火雞大餐
