
[00:00:00.000 --> 00:00:04.360]  今天是Billy 和 Melanie 的大喜日子
[00:00:04.360 --> 00:00:08.320]  在這裡除了恭喜和祝福他們以外
[00:00:08.320 --> 00:00:14.120]  我還是特別賞識他們的勇氣和決心
[00:00:14.120 --> 00:00:18.440]  首先他們選擇了在10月10日舉行婚禮
[00:00:18.440 --> 00:00:21.000]  是不是有一點敏感呢
[00:00:21.000 --> 00:00:25.840]  第二他們選擇在疫情之中拉上天窗
[00:00:25.840 --> 00:00:28.320]  是不是有一點危險呢
[00:00:28.320 --> 00:00:30.320]  第三
[00:00:30.320 --> 00:00:36.480]  在一個連很多金童玉女都無法白頭到老的世界裏面
[00:00:36.480 --> 00:00:41.440]  Billy 和 Melanie 這個凡夫俗子平民百姓
[00:00:41.440 --> 00:00:46.880]  居然夠膽在上帝和我們眾人的面前海誓山盟
[00:00:46.880 --> 00:00:49.840]  你說他們是不是勇氣可嘉呢
[00:00:49.840 --> 00:00:52.480]  當你想到這一切的時候
[00:00:52.480 --> 00:01:00.120]  你開始想我今天講這一段簽紙之前的最後一面是不是很重要呢
[00:01:00.120 --> 00:01:04.920]  他們以後吃粥吃飯都是看我這篇導的了
[00:01:04.920 --> 00:01:09.680]  我想帶大家回到《創世紀》第二章
[00:01:09.680 --> 00:01:14.240]  人類歷史當中的第一段婚姻
[00:01:14.240 --> 00:01:18.120]  第一對夫婦相低為媒的婚姻
[00:01:18.120 --> 00:01:21.440]  相低絕合的新人
[00:01:21.440 --> 00:01:23.640]  《創世紀》第二章第十八節這樣講
[00:01:23.640 --> 00:01:28.000]  亦有話相低宣那人單獨一個不好
[00:01:28.000 --> 00:01:31.120]  我要為他做一個配偶幫助他
[00:01:31.120 --> 00:01:36.120]  那人是亞當是人類的始祖
[00:01:36.120 --> 00:01:38.280]  相低所做的第一個人
[00:01:38.280 --> 00:01:42.760]  這裏說那人單獨一個不好
[00:01:42.760 --> 00:01:47.920]  我想大家不要誤會以為相低創造亞當的時候
[00:01:47.920 --> 00:01:52.840]  是出了一些問題於是亞當有一點瑕疵有一點缺乏
[00:01:52.840 --> 00:01:59.320]  我也不想你以為當時的亞當可能經過了一段單身狗的生活
[00:01:59.320 --> 00:02:02.360]  變成了宅男幻想了抑鬱
[00:02:02.360 --> 00:02:06.120]  如果你這樣想的時候你完全想錯了
[00:02:06.120 --> 00:02:07.600]  如果你有看過聖經
[00:02:07.600 --> 00:02:10.280]  如果你有看過《創世紀》第一章的時候
[00:02:10.280 --> 00:02:13.240]  你會發現上帝創造這個世界的時候
[00:02:13.240 --> 00:02:18.680]  每一天、每一件事、每一樣東西都是極其的美好
[00:02:18.680 --> 00:02:22.880]  完全沒有任何的瑕疵
[00:02:22.880 --> 00:02:27.600]  這裏說亞當單獨一個人不好
[00:02:27.600 --> 00:02:31.480]  不是在說亞當有缺陷
[00:02:31.480 --> 00:02:35.880]  而是在說上帝對當時的亞當有一個心意
[00:02:35.880 --> 00:02:40.400]  是一個必須要有配偶幫助才可以完成的使命
[00:02:40.400 --> 00:02:44.120]  是一個很巨大的使命
[00:02:44.120 --> 00:02:45.840]  這個使命是甚麼?
[00:02:45.840 --> 00:02:48.800]  這個使命是《創世紀》第一章第28節
[00:02:48.800 --> 00:02:52.120]  上帝對他們說要生養眾多
[00:02:52.120 --> 00:02:57.400]  遍滿這地治理他要管理海裡的魚
[00:02:57.400 --> 00:02:58.560]  天空的鳥
[00:02:58.560 --> 00:03:02.400]  地上各樣活動的生物
[00:03:02.400 --> 00:03:05.400]  上帝給了一個很巨大的使命
[00:03:05.400 --> 00:03:10.200]  叫他們生養眾多遍滿全地要治理大地
[00:03:10.200 --> 00:03:11.920]  簡單來說
[00:03:11.920 --> 00:03:18.480]  找配偶、需要配偶的目的是要一加一大過二
[00:03:18.480 --> 00:03:21.200]  要好生養
[00:03:21.200 --> 00:03:23.000]  第二章第十九節
[00:03:23.000 --> 00:03:27.840]  要和上帝造了野地各樣的走獸和天空各樣的飛鳥
[00:03:27.840 --> 00:03:32.360]  都帶到那人面前看他叫甚麼
[00:03:32.360 --> 00:03:35.520]  那人怎樣叫各樣的動物
[00:03:35.520 --> 00:03:38.640]  那就是他的名字了
[00:03:38.640 --> 00:03:41.960]  我們見到亞當已經開始履行他的使命
[00:03:41.960 --> 00:03:44.720]  但他一個人其實應付不來
[00:03:44.720 --> 00:03:46.000]  他需要幫手
[00:03:46.000 --> 00:03:51.800]  需要很多很多的幫手
[00:03:51.800 --> 00:03:54.440]  說到這裏我需要澄清一下
[00:03:54.440 --> 00:03:57.680]  我們的Billy就不是叫做亞當
[00:03:57.680 --> 00:04:00.760]  Melanie也不是叫做夏娃
[00:04:00.760 --> 00:04:02.640]  所以你們不需要太緊張
[00:04:02.640 --> 00:04:06.920]  你們今生人的使命就不是生養眾多
[00:04:06.920 --> 00:04:10.400]  在新約時代裏面的基督徒
[00:04:10.400 --> 00:04:11.760]  Billy和Melanie
[00:04:11.760 --> 00:04:18.320]  我們的使命並不一定是在肉身繁衍上生養眾多
[00:04:18.320 --> 00:04:22.360]  而是在基督福音上生養眾多
