
[00:00:00.000 --> 00:00:07.440]  (主席)我想問問大家有沒有試過苦中作樂?
[00:00:07.440 --> 00:00:11.820]  (主席)大家有甚麼方法?
[00:00:11.820 --> 00:00:15.600]  (主席)有些人很大壓力的時候就會吃些甜食
[00:00:15.600 --> 00:00:18.440]  (主席)買些雪糕吃、買些蛋糕吃
[00:00:18.440 --> 00:00:22.780]  (主席)越吃越憂愁
[00:00:22.780 --> 00:00:25.040]  (主席)去增肥
[00:00:25.040 --> 00:00:31.640]  (主席)小時候中學生好像很鬱悶
[00:00:31.640 --> 00:00:35.400]  (主席)喜歡用籃球打籃球
[00:00:35.400 --> 00:00:39.240]  (主席)很喜歡用力扔在板上彈回來
[00:00:39.240 --> 00:00:41.000]  (主席)不知道大家有沒有其他的方式?
[00:00:41.000 --> 00:00:43.480]  (主席)有些人可能聽聽音樂
[00:00:43.480 --> 00:00:46.600]  (主席)有些人可能出去跑步
[00:00:46.600 --> 00:00:47.880]  (主席)流一身汗
[00:00:47.880 --> 00:00:49.400]  (主席)苦中作樂
[00:00:49.400 --> 00:00:54.640]  (主席)事實上有時我們都在生活一個困難的時候
[00:00:54.640 --> 00:00:59.800]  (主席)但是我們怎樣去幫助自己
[00:00:59.800 --> 00:01:03.480]  (主席)能夠去面對困境呢?
[00:01:03.480 --> 00:01:05.960]  (主席)我們人用了很多不同的方法
[00:01:05.960 --> 00:01:08.640]  (主席)但當然不是每一個方法都是有用
[00:01:08.640 --> 00:01:11.040]  (主席)或者是正面的
[00:01:11.040 --> 00:01:14.760]  (主席)剛才主席盧偉生執持讀了經文
[00:01:14.760 --> 00:01:19.280]  (主席)歷代志下二十章十三到二十二節裡面
[00:01:19.280 --> 00:01:25.760]  (主席)我們對經文上次我講「單單仰望神」這個題目
[00:01:25.760 --> 00:01:26.480]  (主席)有些印象
[00:01:26.480 --> 00:01:29.920]  (主席)因為我們上次是講一到十二節
[00:01:29.920 --> 00:01:38.240]  (主席)裡面提及到當時三國聯軍擊打猶大國
[00:01:38.240 --> 00:01:41.680]  (主席)而猶大國的約沙伯王
[00:01:41.680 --> 00:01:45.000]  (主席)他發覺自己的國力是最小
[00:01:45.000 --> 00:01:48.640]  (主席)發覺自己的兵力又不夠
[00:01:48.640 --> 00:01:54.720]  (主席)還有面對他們幾面圍著的攻擊
[00:01:54.720 --> 00:01:56.360]  (主席)完全沒有辦法
[00:01:56.360 --> 00:01:59.120]  (主席)只有來到神的面前
[00:01:59.120 --> 00:02:02.960]  (主席)我最後講「眼光光望著神」
[00:02:02.960 --> 00:02:04.320]  (主席)眼光光望著神
[00:02:04.320 --> 00:02:06.640]  (主席)因為他要單單仰望神
[00:02:06.640 --> 00:02:09.840]  (主席)他們就是這樣仰望神
[00:02:09.840 --> 00:02:15.040]  (主席)甚至是一班百姓都來到他們面前
[00:02:15.040 --> 00:02:20.160]  (主席)所以今天跟著這段經文是講
[00:02:20.160 --> 00:02:27.840]  (主席)怎樣神帶領他們擊退這三個國家的聯軍
[00:02:27.840 --> 00:02:29.560]  (主席)擊退不可能
[00:02:29.560 --> 00:02:35.240]  (主席)他們的兵力可以擊退這麼強大的軍隊
[00:02:35.240 --> 00:02:37.040]  (主席)所以今天我的講題是
[00:02:37.040 --> 00:02:42.200]  (主席)戰場上的敬拜讚美
[00:02:42.200 --> 00:02:45.680]  (主席)加上今天是教會的聖樂主日
[00:02:45.680 --> 00:02:49.160]  (主席)聖樂主日教會的聖樂工作
[00:02:49.160 --> 00:02:56.000]  (主席)特別是在詩歌音樂獻唱的部分
