
[00:00:00.000 --> 00:00:03.500]  很快我們又來到《馬拉基書》
[00:00:03.500 --> 00:00:07.500]  《馬拉基書》是《十二仙之書》裏面的最後一本
[00:00:07.500 --> 00:00:10.000]  全書是四章的書
[00:00:10.000 --> 00:00:11.500]  五十五節的經文
[00:00:11.500 --> 00:00:13.500]  在五十五節的經文裏面
[00:00:13.500 --> 00:00:15.500]  有四十七節的經文
[00:00:15.500 --> 00:00:19.000]  都是直接從神的口裏面講出來的話
[00:00:19.000 --> 00:00:23.000]  所以《馬拉基書》其實是很重要的一部書
[00:00:23.000 --> 00:00:29.000]  有很多人認為《馬拉基仙之》是舊約最後的一位仙之
[00:00:29.000 --> 00:00:33.000]  《馬拉基書》的確是舊約最後的一部書
[00:00:33.000 --> 00:00:37.000]  但是《馬拉基仙之》不是舊約最後的一位仙之
[00:00:37.000 --> 00:00:41.000]  耶穌基督自己在《馬太福音》十一章十三節
[00:00:41.000 --> 00:00:43.000]  在《路加福音》十六章十六節
[00:00:43.000 --> 00:00:48.000]  他說因為眾仙之和律法預言到約翰為止
[00:00:48.000 --> 00:00:50.000]  約翰就是施洗約翰
[00:00:50.000 --> 00:00:53.000]  我們見到律法就是律法書
[00:00:53.000 --> 00:00:56.000]  預言和仙之就是仙之書
[00:00:56.000 --> 00:01:00.000]  律法書和預言書都是代表舊約
[00:01:00.000 --> 00:01:04.000]  所以舊約是到施洗約翰為止
[00:01:04.000 --> 00:01:09.000]  《馬拉基》這個名字的意思就是神的使者
[00:01:09.000 --> 00:01:16.000]  這個是神的使者出現在《馬拉基書》的一章一節和三章一節
[00:01:16.000 --> 00:01:18.000]  也都是因為這樣
[00:01:18.000 --> 00:01:24.000]  有很多人認為《馬拉基書》不是由一位仙之叫做馬拉基而寫成
[00:01:24.000 --> 00:01:27.000]  而是由一位神的仙之
[00:01:27.000 --> 00:01:30.000]  是神的使者寫成
[00:01:30.000 --> 00:01:36.000]  甚至有人認為《馬拉基書》是由六位不同神的使者寫成
[00:01:36.000 --> 00:01:38.000]  如果大家是認識我的話
