
[00:00:00.000 --> 00:00:03.560]  現在的現代CGI特技非常之好
[00:00:03.560 --> 00:00:05.560]  大家看電影的時候
[00:00:05.560 --> 00:00:09.240]  你做任何的情景
[00:00:09.240 --> 00:00:10.640]  多大場面也好
[00:00:10.640 --> 00:00:12.600]  有什麼背景也好
[00:00:12.600 --> 00:00:13.960]  都可以做得出
[00:00:13.960 --> 00:00:17.200]  但是在二十世紀
[00:00:17.200 --> 00:00:18.360]  我們上一個世紀
[00:00:18.360 --> 00:00:20.920]  一九六幾年的時候
[00:00:20.920 --> 00:00:24.920]  那些電影製作是用真的道具的
[00:00:24.920 --> 00:00:27.720]  在一九六三年有一套電影叫做
[00:00:27.720 --> 00:00:29.480]  《埃及妖后》
[00:00:29.480 --> 00:00:31.480]  我相信大家都沒看過
[00:00:31.480 --> 00:00:34.560]  《埃及妖后》的主角叫Elizabeth Taylor
[00:00:34.560 --> 00:00:36.560]  伊麗莎白泰萊
[00:00:36.560 --> 00:00:41.040]  拍的時候導演吩咐工作人員
[00:00:41.040 --> 00:00:43.320]  你要買一塊紅地毯
[00:00:43.320 --> 00:00:44.400]  因為這場戲
[00:00:44.400 --> 00:00:50.200]  伊麗莎白泰萊要站在名貴的紅地毯上
[00:00:50.200 --> 00:00:53.920]  工作人員說不用那麼浪費錢
[00:00:53.920 --> 00:00:55.920]  我隨便買一塊紅布
[00:00:55.920 --> 00:00:58.720]  因為鏡頭有美化的作用
[00:00:58.720 --> 00:01:00.480]  你隨便鋪一塊紅布
[00:01:00.480 --> 00:01:04.200]  在鏡頭上看也像名貴的地毯一樣
[00:01:04.200 --> 00:01:06.600]  導演說不一樣
[00:01:06.600 --> 00:01:10.000]  演員站在名貴的紅地毯
[00:01:10.000 --> 00:01:13.400]  和演員站在一塊普通的紅布上
[00:01:13.400 --> 00:01:15.920]  自我的感覺是很不同的
[00:01:15.920 --> 00:01:19.520]  自我的形象也很不同
[00:01:19.520 --> 00:01:22.480]  我很久之前認識了一位姐妹
[00:01:22.480 --> 00:01:26.200]  這位姐妹在信耶穌之前是一個尼姑
[00:01:26.200 --> 00:01:31.400]  由尼姑信耶穌變為神的兒女
[00:01:31.400 --> 00:01:34.880]  這位姐妹做尼姑的時候
[00:01:34.880 --> 00:01:36.880]  是沉默寡言的
[00:01:36.880 --> 00:01:38.120]  一聲不吭
[00:01:38.120 --> 00:01:39.480]  很害羞
[00:01:39.480 --> 00:01:40.880]  沒有什麼說話
[00:01:40.880 --> 00:01:42.760]  你不知道她懂得說話
[00:01:42.760 --> 00:01:44.920]  但自從她信了耶穌之後
[00:01:44.920 --> 00:01:47.040]  就變成很多話
[00:01:47.040 --> 00:01:48.880]  不斷有人說話
[00:01:48.880 --> 00:01:49.720]  活潑好動
[00:01:49.720 --> 00:01:50.960]  炸跳
[00:01:50.960 --> 00:01:53.840]  認識她的人就覺得好像兩個人
[00:01:53.840 --> 00:01:55.640]  完全不同了
[00:01:55.640 --> 00:01:57.280]  為什麼會這樣呢
[00:01:57.280 --> 00:02:00.480]  因為自我形象不同了
[00:02:00.480 --> 00:02:02.800]  有些專家說
[00:02:02.800 --> 00:02:06.880]  自我形象就像歷史的檔案櫃一樣
[00:02:06.880 --> 00:02:10.880]  記錄了一個人從小到大成長的時候
[00:02:10.880 --> 00:02:13.480]  有很多失敗的經驗
[00:02:13.480 --> 00:02:16.440]  在經歷裡面可能有很多面孔
[00:02:16.440 --> 00:02:17.760]  面色
[00:02:17.760 --> 00:02:19.200]  眼神
[00:02:19.200 --> 00:02:20.800]  批評
[00:02:20.800 --> 00:02:23.720]  這些批評就記錄在
[00:02:23.720 --> 00:02:26.600]  人心裡面的檔案櫃裡
[00:02:26.600 --> 00:02:29.840]  這些失敗的經歷往往令到一些人
[00:02:29.840 --> 00:02:33.560]  這些人經歷了一些不開心的事件
[00:02:33.560 --> 00:02:35.640]  他慢慢就會
[00:02:35.640 --> 00:02:37.040]  失去了自信
[00:02:37.040 --> 00:02:38.760]  看不到自己的長處
[00:02:38.760 --> 00:02:40.840]  看不到自己的強項
[00:02:40.840 --> 00:02:41.720]  慢慢
[00:02:41.720 --> 00:02:45.560]  這個人就在別人面前抬不起頭
[00:02:45.560 --> 00:02:48.400]  今天我們講到的主角大衛
[00:02:48.400 --> 00:02:49.760]  理論上
[00:02:49.760 --> 00:02:52.880]  應該是有這些相類似的經歷的
[00:02:52.880 --> 00:02:56.040]  我們一起看看大衛的成長是怎樣
[00:02:56.040 --> 00:02:57.240]  大衛的
[00:02:57.240 --> 00:02:58.920]  小朋友的時間
[00:02:58.920 --> 00:03:00.720]  就不見得特別幸福
[00:03:00.720 --> 00:03:02.000]  為什麼不幸福呢
[00:03:02.000 --> 00:03:04.360]  我們先看薩姆爾記上
[00:03:04.360 --> 00:03:06.600]  薩姆爾記上十六章
[00:03:06.600 --> 00:03:07.640]  六至十一節
[00:03:07.640 --> 00:03:09.960]  聖經比較長我們一起讀
[00:03:09.960 --> 00:03:11.400]  一二三
[00:03:11.400 --> 00:03:13.040]  他們來的時候
[00:03:13.040 --> 00:03:15.600]  薩姆爾看見以利亞
[00:03:15.600 --> 00:03:16.920]  就心裡說
[00:03:16.920 --> 00:03:20.960]  耶和華的受高者必定在他面前
[00:03:20.960 --> 00:03:23.480]  耶和華卻對薩姆爾說
[00:03:23.480 --> 00:03:25.520]  不要看他的外貌
[00:03:25.520 --> 00:03:27.840]  和他身材的高大
[00:03:27.840 --> 00:03:29.560]  我不敢選他
[00:03:29.560 --> 00:03:32.640]  因為耶和華不像人看人
[00:03:32.640 --> 00:03:34.320]  人是看外貌
[00:03:34.320 --> 00:03:36.920]  耶和華是看內心
[00:03:36.920 --> 00:03:39.440]  耶穌要阿彼納達
[00:03:39.440 --> 00:03:42.240]  從薩姆爾面前經過
[00:03:42.240 --> 00:03:43.400]  薩姆爾說
[00:03:43.400 --> 00:03:46.160]  耶和華也不敢選他
[00:03:46.160 --> 00:03:50.680]  耶和華又叫薩姆爾面前經過
[00:03:50.680 --> 00:03:51.880]  薩姆爾說
[00:03:51.880 --> 00:03:54.240]  耶和華也不敢選他
[00:03:54.240 --> 00:03:56.040]  繼續
[00:03:56.040 --> 00:03:58.480]  耶西叫了七個兒子
[00:03:58.480 --> 00:04:01.520]  都從薩姆爾面前經過
[00:04:01.520 --> 00:04:02.760]  薩姆爾說
[00:04:02.760 --> 00:04:06.120]  這都不是耶和華所選的
[00:04:06.120 --> 00:04:08.200]  薩姆爾對耶西說
[00:04:08.200 --> 00:04:11.000]  你的兒子都在這裡嗎
[00:04:11.000 --> 00:04:12.320]  他回答說
[00:04:12.320 --> 00:04:14.200]  還有個小的
[00:04:14.200 --> 00:04:15.880]  現在放羊
[00:04:15.880 --> 00:04:17.840]  薩姆爾對耶西說
[00:04:17.840 --> 00:04:20.240]  你打發人去叫他來
[00:04:20.240 --> 00:04:21.480]  他若不來
[00:04:21.480 --> 00:04:24.360]  我必不助席
[00:04:24.360 --> 00:04:26.800]  大家看到什麼呢
[00:04:26.800 --> 00:04:28.920]  耶西有七個兒子
[00:04:28.920 --> 00:04:31.120]  全部的哥哥都到了
[00:04:31.120 --> 00:04:33.240]  但是老爸
[00:04:33.240 --> 00:04:37.600]  叫了一些大哥出來
[00:04:37.600 --> 00:04:40.640]  但是一點都不記得
[00:04:40.640 --> 00:04:42.480]  有大維這個人
[00:04:42.480 --> 00:04:46.080]  留意耶西怎麼說他的兒子
[00:04:46.080 --> 00:04:49.960]  還有個小的現在放羊
[00:04:49.960 --> 00:04:53.280]  好像有個小的
[00:04:53.280 --> 00:04:54.880]  好像還有個小的
[00:04:54.880 --> 00:04:57.600]  在廚房洗碗
[00:04:57.600 --> 00:05:01.000]  老爸不提他的名字
[00:05:01.000 --> 00:05:02.680]  在猶太人來說
[00:05:02.680 --> 00:05:05.320]  不提別人的名字是非常嚴重的
[00:05:05.320 --> 00:05:06.800]  因為對猶太人來說
[00:05:06.800 --> 00:05:09.360]  名字是代表整個人的
[00:05:09.360 --> 00:05:12.320]  譬如阿輝
[00:05:12.320 --> 00:05:14.280]  阿輝是代表一個人的
[00:05:14.280 --> 00:05:16.360]  是整個人由頭到腳的
[00:05:16.360 --> 00:05:18.400]  老爸不提自己的名字
[00:05:18.400 --> 00:05:19.880]  代表很多東西
[00:05:19.880 --> 00:05:21.480]  在老爸的心裡
[00:05:21.480 --> 00:05:24.840]  根本大維一點都不重要
[00:05:24.840 --> 00:05:25.800]  到最後
[00:05:25.800 --> 00:05:27.080]  撒姆爾會發脾氣
[00:05:27.080 --> 00:05:29.480]  你不叫你兒子出來
[00:05:29.480 --> 00:05:30.800]  我不吃飯的
[00:05:30.800 --> 00:05:33.200]  不會跟你一起吃飯的
[00:05:33.200 --> 00:05:37.400]  但你知道你有沒有試過
[00:05:37.400 --> 00:05:39.520]  沒有人記得你
[00:05:39.520 --> 00:05:41.920]  人遺忘了你
[00:05:41.920 --> 00:05:43.520]  可能你的父母
[00:05:43.520 --> 00:05:45.480]  可能你的親人
[00:05:45.480 --> 00:05:46.800]  你的朋友
[00:05:46.800 --> 00:05:48.880]  完全忘記了你
[00:05:48.880 --> 00:05:50.000]  當這樣的情況
[00:05:50.000 --> 00:05:51.560]  你的感覺會是怎樣
[00:05:51.560 --> 00:05:54.960]  覺得自己可有可無
[00:05:54.960 --> 00:05:56.600]  在少年時間的大維
[00:05:56.600 --> 00:05:58.640]  又不見得特別幸福
[00:05:58.640 --> 00:06:00.200]  他一直長大
[00:06:00.200 --> 00:06:02.240]  大維一開始很成功的
[00:06:02.240 --> 00:06:03.640]  他打敗巨人哥利亞
[00:06:03.640 --> 00:06:06.120]  接著打贏很多仗
[00:06:06.120 --> 00:06:07.600]  大家都很開心
[00:06:07.600 --> 00:06:08.760]  很讚他
[00:06:08.760 --> 00:06:11.160]  說蘇羅殺死千千
[00:06:11.160 --> 00:06:13.120]  大維殺死萬萬
[00:06:13.120 --> 00:06:14.320]  但結果呢
[00:06:14.320 --> 00:06:15.720]  結果他的老闆
[00:06:15.720 --> 00:06:19.240]  即是當時的國王超級妒忌
[00:06:19.240 --> 00:06:20.680]  沒有安全感
[00:06:20.680 --> 00:06:24.320]  於是極用盡一切方法去迫害他
[00:06:24.320 --> 00:06:26.120]  於是大維要逃跑了
[00:06:26.120 --> 00:06:27.280]  要逃跑了
[00:06:27.280 --> 00:06:28.560]  要去曠野那裡
[00:06:28.560 --> 00:06:29.560]  躲在山洞裡
[00:06:29.560 --> 00:06:30.960]  左躲右躲
[00:06:30.960 --> 00:06:32.040]  在這個時間
[00:06:32.040 --> 00:06:33.560]  大維現在的經歷是怎樣
[00:06:33.560 --> 00:06:35.160]  沒有面子
[00:06:35.160 --> 00:06:36.560]  沒有身份
[00:06:36.560 --> 00:06:37.920]  沒有尊嚴
[00:06:37.920 --> 00:06:39.640]  去到任何一個地方
[00:06:39.640 --> 00:06:42.360]  備受奚落
[00:06:42.360 --> 00:06:47.000]  我們人生活在一個充滿罪的世界裡
[00:06:47.000 --> 00:06:50.400]  可能是人的罪傷害了自己
[00:06:50.400 --> 00:06:52.760]  又或者自己的罪傷害了自己
[00:06:52.760 --> 00:06:55.960]  又或者其他人的罪去傷害你
[00:06:55.960 --> 00:06:57.240]  結果呢
[00:06:57.240 --> 00:06:57.880]  結果怎樣呢
[00:06:57.880 --> 00:06:59.800]  這些痛苦的經歷
[00:06:59.800 --> 00:07:02.080]  往往會造成在我們生命裡
[00:07:02.080 --> 00:07:04.880]  一種扭曲的自我形象
[00:07:04.880 --> 00:07:06.720]  什麼扭曲的自我形象
[00:07:06.720 --> 00:07:07.800]  有三個特點
[00:07:07.800 --> 00:07:08.560]  第一
[00:07:08.560 --> 00:07:10.760]  永遠不被愛
[00:07:10.760 --> 00:07:13.320]  全世界的人都不喜歡我
[00:07:13.320 --> 00:07:14.880]  每個人都討厭我
[00:07:14.880 --> 00:07:16.720]  沒有人喜歡我
[00:07:16.720 --> 00:07:17.600]  第二個特點
[00:07:17.600 --> 00:07:18.920]  永遠是失敗
[00:07:18.920 --> 00:07:20.560]  我在全世界裡面
[00:07:20.560 --> 00:07:22.280]  最沒用的那個
[00:07:22.280 --> 00:07:24.440]  我永遠比不上別人
[00:07:24.440 --> 00:07:27.880]  又或者甘於覺得自己沒辦法
[00:07:27.880 --> 00:07:29.080]  沒希望
[00:07:29.080 --> 00:07:29.880]  這個罪
[00:07:29.880 --> 00:07:31.840]  那些個個都不知道
[00:07:31.840 --> 00:07:32.680]  但是我自己知道
[00:07:32.680 --> 00:07:33.640]  聖靈都知道
[00:07:33.640 --> 00:07:34.400]  那些是罪
[00:07:34.400 --> 00:07:35.520]  那些是捆綁
[00:07:35.520 --> 00:07:36.280]  那些是壞習慣
[00:07:36.280 --> 00:07:37.280]  永遠撕不掉
[00:07:37.280 --> 00:07:41.000]  於是整個人都沒有希望
[00:07:41.000 --> 00:07:42.960]  有心理學家這樣說
[00:07:42.960 --> 00:07:44.480]  他說人呢
[00:07:44.480 --> 00:07:48.640]  不是按著一個真實的情況來看自己
[00:07:48.640 --> 00:07:53.120]  他是按著自己心裡面的那個自我形象
[00:07:53.120 --> 00:07:55.760]  按著自己想的那個自我形象
[00:07:55.760 --> 00:07:57.000]  去思想
[00:07:57.000 --> 00:07:57.880]  去想事情
[00:07:57.880 --> 00:07:58.960]  去感受
[00:07:58.960 --> 00:08:00.040]  去說話
[00:08:00.040 --> 00:08:02.000]  去表現他的行為
[00:08:02.000 --> 00:08:03.200]  去行動出來
[00:08:03.200 --> 00:08:04.320]  而其他人呢
[00:08:04.320 --> 00:08:07.280]  都按著他這個表現去看他
[00:08:07.280 --> 00:08:08.680]  就是說什麼
[00:08:08.680 --> 00:08:11.960]  就是說如果你的自我形象是負面
[00:08:11.960 --> 00:08:17.080]  你的人生很自動地會成為一個負面的人生
[00:08:17.080 --> 00:08:20.160]  如果你自己覺得自己是一個失敗者
[00:08:20.160 --> 00:08:21.320]  一個不被愛
[00:08:21.320 --> 00:08:23.320]  一個被人欺負的人
[00:08:23.320 --> 00:08:27.720]  你的人生就會很自動地活出一個失敗者
