
[00:00:00.000 --> 00:00:02.660]  今年的講題
[00:00:02.660 --> 00:00:05.940]  那個講道的方向其實跟去年是一樣的
[00:00:05.940 --> 00:00:09.680]  我們第一季仍然會講關於漢德建的愛
[00:00:09.680 --> 00:00:12.860]  我不知道記不記得今年第一堂講道是Camp 講道分享
[00:00:12.860 --> 00:00:15.320]  記不記得上一個禮拜講道的題目是什麼
[00:00:15.320 --> 00:00:16.760]  我都不記得了
[00:00:16.760 --> 00:00:18.520]  所以你不記得也不要緊的
[00:00:18.520 --> 00:00:21.140]  不過我卻是很清楚記得講道的內容
[00:00:21.140 --> 00:00:24.140]  他說要讓圍牆倒下
[00:00:24.140 --> 00:00:25.940]  他說我們生命有很多個圍牆
[00:00:25.940 --> 00:00:26.960]  我不知道你聽的時候
[00:00:26.960 --> 00:00:29.260]  聖靈有沒有提醒你有什麼圍牆
[00:00:29.260 --> 00:00:30.100]  我也有
[00:00:30.100 --> 00:00:32.060]  我發覺很多都要去拆
[00:00:32.060 --> 00:00:33.900]  有時候可能是冷漠
[00:00:33.900 --> 00:00:35.420]  對人的不接納
[00:00:35.420 --> 00:00:38.540]  記不記得Camp 分享印度人朋友的故事
[00:00:38.540 --> 00:00:39.440]  OK 是吧
[00:00:39.440 --> 00:00:42.760]  我想起我也有一些印尼人的經歷
[00:00:42.760 --> 00:00:45.520]  當然今天不多講了
[00:00:45.520 --> 00:00:47.700]  但我心想有時候的狀況是什麼
[00:00:47.700 --> 00:00:49.640]  我們不是不知道有這些圍牆
[00:00:49.640 --> 00:00:53.660]  但有時候我們知道卻是沒有能力去拆毀它
[00:00:53.660 --> 00:00:55.620]  所以我覺得上帝很好
[00:00:55.620 --> 00:00:58.580]  因為當Camp 去講上個禮拜的訊息之前
[00:00:58.580 --> 00:01:00.520]  我已經在預備今天的訊息
[00:01:00.520 --> 00:01:02.420]  我今天的訊息的講題是什麼呢
[00:01:02.420 --> 00:01:06.020]  就是「當以基督耶穌的心為心」
[00:01:06.020 --> 00:01:09.280]  我就想如果我們拆牆要有一些心法
[00:01:09.280 --> 00:01:11.280]  那個心法應該是什麼呢
[00:01:11.280 --> 00:01:14.460]  大概可能就是我們要以基督的心為心
[00:01:14.460 --> 00:01:17.360]  這些心法通常記錄在秘笈上
[00:01:17.360 --> 00:01:19.120]  如果有一本拆牆秘笈
[00:01:19.120 --> 00:01:21.120]  裡面有一些拆牆的招式
[00:01:21.120 --> 00:01:22.460]  那些招式是什麼呢
[00:01:22.460 --> 00:01:24.560]  就是今天講道的三個重點
[00:01:24.560 --> 00:01:27.300]  所以今天講道會教你三招
[00:01:27.300 --> 00:01:28.700]  拆牆的招式
[00:01:28.700 --> 00:01:30.900]  重要的三招可能很神奇
[00:01:30.900 --> 00:01:34.980]  就是那些牆能不能不拆也能倒下呢
[00:01:34.980 --> 00:01:38.660]  願意今天神繼續藉著祂的話語去幫助我們
[00:01:38.660 --> 00:01:41.220]  當我準備今天的講道的時候
[00:01:41.220 --> 00:01:43.380]  安靜下來要唱哪首回應詩呢
[00:01:43.380 --> 00:01:46.260]  上帝讓我想起何等恩典這首歌
[00:01:46.260 --> 00:01:49.020]  何等恩典大家都聽過了
[00:01:49.020 --> 00:01:50.820]  我其實初初想起來
[00:01:50.820 --> 00:01:53.300]  跟今天的訊息好像沒有什麼關係
[00:01:53.300 --> 00:01:55.480]  我再看回第一段的歌詞
[00:01:55.480 --> 00:01:56.980]  一開始祂說什麼呢
[00:01:56.980 --> 00:01:58.620]  祂說以真誠的心
[00:01:58.620 --> 00:02:00.180]  降伏在你面前
[00:02:00.180 --> 00:02:01.660]  以感恩的心
[00:02:01.660 --> 00:02:03.420]  領受生命活水
[00:02:03.420 --> 00:02:04.460]  我就想起
[00:02:04.460 --> 00:02:08.900]  當我沒有力量去拆這些圍牆的時候
[00:02:08.900 --> 00:02:12.140]  上帝彷彿透過這首歌去鼓勵我們
[00:02:12.140 --> 00:02:13.180]  其實不要緊
