
[00:00:00.000 --> 00:00:02.660]  我們今天如果按照你的讀經計劃
[00:00:02.660 --> 00:00:08.420]  應該是在讀獵王記相第七章和第八章的
[00:00:08.420 --> 00:00:15.640]  我今天想講一點這個讀經加油站的題目
[00:00:15.640 --> 00:00:18.360]  就是《所羅門的墜落》
[00:00:18.360 --> 00:00:24.360]  它的經文主要是和你一起去看一下第七章
[00:00:24.360 --> 00:00:29.240]  當然你都是要去思考前面那幾章
[00:00:29.240 --> 00:00:31.980]  講的一些什麼 尤其是我們會去看一下第二章
[00:00:31.980 --> 00:00:34.780]  第三章、第六章等等
[00:00:34.780 --> 00:00:38.300]  當然我們經常都在強調一件事
[00:00:38.300 --> 00:00:40.300]  你看獵王記的時候
[00:00:40.300 --> 00:00:44.460]  它不是一本突然間從天降下來的書
[00:00:44.460 --> 00:00:50.220]  而是它假設了你已經是熟讀了前面這麼多本書
[00:00:50.220 --> 00:00:53.520]  所以一定我們今天都要做一點溫習
[00:00:53.520 --> 00:00:58.760]  去回創出你民生的摩西五經的開始
[00:00:58.760 --> 00:01:01.580]  還有幾本書才到獵王記
[00:01:01.580 --> 00:01:05.660]  你會發現其實獵王記是真是假設
[00:01:05.660 --> 00:01:09.300]  也都是經常回到摩西五經也好
[00:01:09.300 --> 00:01:12.680]  約書亞記也好等等的一些主題
[00:01:12.680 --> 00:01:16.900]  所以是很需要我們去思想
[00:01:16.900 --> 00:01:20.480]  也都強調當中我們所見到的
[00:01:20.480 --> 00:01:22.880]  其實是基督的影子
[00:01:22.880 --> 00:01:28.780]  創世紀是創造、墮落、救贖三部曲
[00:01:28.780 --> 00:01:32.680]  初一級記是講偶像之家、逃生記
[00:01:32.680 --> 00:01:36.680]  你以後繼續看這個獵王記的時候
[00:01:36.680 --> 00:01:39.580]  你會發現其實它們走不掉
[00:01:39.580 --> 00:01:44.660]  走不離開埃及 尤其是埃及的金牛族
[00:01:44.660 --> 00:01:48.640]  利美紀是聖傑君王保衛者
[00:01:48.640 --> 00:01:54.480]  當然他們就是沒有聖傑 沒有被分別唯聖出來
[00:01:54.480 --> 00:01:56.400]  他們從另一個角度來講
[00:01:56.400 --> 00:02:01.100]  他們繼續在民宿記、曠野裡面的大叛逆
[00:02:01.100 --> 00:02:03.780]  從另一個再深一層
[00:02:03.780 --> 00:02:07.200]  他們好像生命記裡面那個呼喊
[00:02:07.200 --> 00:02:10.400]  他們需要一個深受割禮 以致他們深愛著
[00:02:10.400 --> 00:02:12.680]  因為他們心還沒有受割禮
[00:02:12.680 --> 00:02:18.760]  所以其實你看獵王記是一個挺灰的一本書
[00:02:18.760 --> 00:02:21.500]  其實有醒一學者覺得
[00:02:21.500 --> 00:02:25.540]  獵王記寫作的背景就是以色列人被擄
[00:02:25.540 --> 00:02:28.160]  甚至被擄了一段時間
[00:02:28.160 --> 00:02:31.200]  有些人說他們被擄等待回歸
[00:02:31.200 --> 00:02:33.600]  有些人甚至覺得有一些
[00:02:33.600 --> 00:02:39.880]  final editing後面的一些繼續的編輯
[00:02:39.880 --> 00:02:41.960]  講到他們可能已經被擄回歸
[00:02:41.960 --> 00:02:47.280]  當然都仍然沒有復國的
[00:02:47.280 --> 00:02:52.720]  所以整本書在講以色列人究竟為什麼被擄
[00:02:52.720 --> 00:02:54.660]  為什麼會搞成這樣
[00:02:54.660 --> 00:02:57.100]  明明進去了加拿大之地
[00:02:57.100 --> 00:02:59.820]  但是又出回加拿大之地
[00:02:59.820 --> 00:03:02.860]  因為被擄就等於好像出回了那個地
[00:03:02.860 --> 00:03:06.320]  其實和創出黎明身體是很有關係的
[00:03:06.320 --> 00:03:10.800]  就是因為他們沒有遵守這個生命記裡面的呼喊
[00:03:10.800 --> 00:03:12.180]  心守國禮、心愛主
[00:03:12.180 --> 00:03:15.500]  因為他們在繼續民訴記裡面的大叛逆
[00:03:15.500 --> 00:03:18.280]  因為他們沒有分別為聖
[00:03:18.280 --> 00:03:22.600]  因為他們沒有辦法逃離這個偶像之家
[00:03:22.600 --> 00:03:30.720]  所以等等的東西都其實和這個獵王記很有關係
[00:03:30.720 --> 00:03:36.740]  當然你出了這個創出黎明身體之後
[00:03:36.740 --> 00:03:39.080]  「摩世唔敬」我們有約書亞記
[00:03:39.080 --> 00:03:43.340]  其實你今天又會在獵王記裡面看到約書亞記的影子
[00:03:43.340 --> 00:03:47.940]  約書亞記的題目我們叫做「書劍因仇盡迦南」
[00:03:47.940 --> 00:03:53.860]  它應該是那個書就是「摩世唔敬」
[00:03:53.860 --> 00:03:56.420]  或者是尤其是生命記
[00:03:56.420 --> 00:04:00.580]  但是他們要進入應該是要遵守
[00:04:00.580 --> 00:04:04.660]  進入之後應該在獵王記上面也是要遵守
[00:04:04.660 --> 00:04:06.860]  但是他們沒有做到這件事
[00:04:06.860 --> 00:04:09.620]  接著進了迦南之後
[00:04:09.620 --> 00:04:12.660]  其實都是一個很混亂的時代
[00:04:12.660 --> 00:04:16.160]  亂世史詩真九珠 祈求真九珠
[00:04:16.160 --> 00:04:17.660]  從某個角度來說
[00:04:17.660 --> 00:04:20.920]  獵王記又是和史詩記有一種平衡
[00:04:20.920 --> 00:04:25.920]  就是說大家都是各人在做自己眼中看為對的事
