
[00:00:00.000 --> 00:00:02.200]  鳳主明問下 請問展會平安
[00:00:02.200 --> 00:00:04.200]  鳳主問下 展會平安
[00:00:04.200 --> 00:00:07.800]  我今天跟大家講的題目是
[00:00:07.800 --> 00:00:11.100]  希西加執政的紀錄第三講
[00:00:11.100 --> 00:00:15.100]  今天和大家分享的題目是希西加執政紀錄第三講
[00:00:15.100 --> 00:00:19.900]  也是希西加執政的時候面對最大的危機
[00:00:19.900 --> 00:00:22.200]  就是亞述攻擊猶大
[00:00:22.200 --> 00:00:25.700]  就是說當時是希西加面對最大的危機
[00:00:25.700 --> 00:00:27.400]  亞述攻擊猶大
[00:00:27.400 --> 00:00:30.400]  大家手上應該是有大綱的
[00:00:30.400 --> 00:00:32.200]  現在大家手上應該有大綱
[00:00:32.200 --> 00:00:36.600]  我今天講的就是第十九章一至十九節
[00:00:36.600 --> 00:00:40.600]  今天要講的是十九章一至十九節
[00:00:40.600 --> 00:00:44.400]  是很漂亮的經文
[00:00:44.400 --> 00:00:46.400]  是非常漂亮的經文
[00:00:46.400 --> 00:00:48.400]  因為裏面是有
[00:00:48.400 --> 00:00:52.200]  我剛才講過是有西拿基勒
[00:00:52.200 --> 00:00:57.800]  他怎樣來恐嚇希西加和猶大的居民
[00:00:57.800 --> 00:01:02.300]  因為當時西拿基勒怎麼恐嚇希西加和猶大居民
[00:01:02.300 --> 00:01:05.700]  同時也是最重要的有希西加的祈禱
[00:01:05.700 --> 00:01:09.600]  最重要的是有希西加的祈禱
[00:01:09.600 --> 00:01:11.200]  請準備
[00:01:11.200 --> 00:01:15.300]  在獵王記有兩個很著名的祈禱
[00:01:15.300 --> 00:01:17.700]  有兩個很著名的祈禱
[00:01:17.700 --> 00:01:18.800]  上帝聽
[00:01:18.800 --> 00:01:20.600]  第一個祈禱
[00:01:20.600 --> 00:01:24.900]  在獵王記上帝十八章
[00:01:24.900 --> 00:01:28.800]  以利亞的祈禱
[00:01:28.800 --> 00:01:32.400]  在加密山上的祈禱
[00:01:32.400 --> 00:01:34.200]  是一個很重要的祈禱
[00:01:34.200 --> 00:01:36.800]  新約的雅各書都說
[00:01:36.800 --> 00:01:39.400]  以利亞好像我們性情的人
[00:01:39.400 --> 00:01:42.400]  以最新約的雅各書都說
[00:01:42.400 --> 00:01:44.400]  以利亞是我們性情之人
[00:01:44.400 --> 00:01:47.700]  他祈禱
[00:01:47.700 --> 00:01:48.700]  上帝聽
[00:01:48.700 --> 00:01:51.500]  上帝聽
[00:01:51.500 --> 00:01:53.900]  現在來到獵王記下帝十九章
[00:01:53.900 --> 00:01:55.700]  現在來到獵王記下帝十九章
[00:01:55.700 --> 00:01:57.000]  希西加的祈禱
[00:01:57.000 --> 00:01:58.300]  希西加的祈禱
[00:01:58.300 --> 00:01:59.700]  上帝聽
[00:01:59.700 --> 00:02:02.000]  上帝也聽
[00:02:02.000 --> 00:02:02.700]  馬上有事的
[00:02:02.700 --> 00:02:04.500]  這是我下一堂的聽法
[00:02:04.500 --> 00:02:07.200]  我下一堂就會講
[00:02:07.200 --> 00:02:09.600]  上帝是怎麼去聽
[00:02:09.600 --> 00:02:11.900]  如果有人問你
[00:02:11.900 --> 00:02:15.200]  聖經裡面最有效的
[00:02:15.200 --> 00:02:18.100]  如果大家問你在聖經裡面最有效的
[00:02:18.100 --> 00:02:19.500]  最有效的祈禱
[00:02:19.500 --> 00:02:20.300]  最有效的祈禱
[00:02:20.300 --> 00:02:21.500]  獵王記有兩個
[00:02:21.500 --> 00:02:23.000]  獵王記有兩個
[00:02:23.000 --> 00:02:24.200]  記得嗎
[00:02:24.200 --> 00:02:25.300]  記得嗎
[00:02:25.300 --> 00:02:26.900]  獵王記上十八章
[00:02:26.900 --> 00:02:28.900]  獵王記上十八章
[00:02:28.900 --> 00:02:29.700]  第二個呢
[00:02:29.700 --> 00:02:30.400]  第二個
[00:02:30.400 --> 00:02:31.400]  就是在這裡
[00:02:31.400 --> 00:02:33.700]  就是這裡
[00:02:33.700 --> 00:02:35.600]  不過在這裡是很重要的
[00:02:35.600 --> 00:02:38.700]  我寫完整個講章
[00:02:38.700 --> 00:02:40.400]  我寫完整個講章以後
[00:02:40.400 --> 00:02:41.900]  我深深感到一件事
[00:02:41.900 --> 00:02:44.200]  深深感到一件事
[00:02:44.200 --> 00:02:44.900]  我們很多時候
[00:02:44.900 --> 00:02:48.300]  因為實際的問題
[00:02:48.300 --> 00:02:50.600]  就處理一個很實在的問題
[00:02:50.600 --> 00:02:52.600]  我們祈禱上帝怎麼會聽
[00:02:52.600 --> 00:02:54.000]  怎麼寫到上帝聽我們祈禱
[00:02:54.000 --> 00:02:54.500]  是不是
[00:02:54.500 --> 00:02:55.100]  我們祈禱
[00:02:55.100 --> 00:02:57.700]  怎麼會讓上帝聽我們祈禱呢
[00:02:57.700 --> 00:02:58.800]  每個人都很想是不是
[00:02:58.800 --> 00:03:00.100]  我也很想
[00:03:00.100 --> 00:03:01.100]  每個人都很想
[00:03:01.100 --> 00:03:01.900]  每個人都很想
[00:03:01.900 --> 00:03:02.700]  我祈禱
[00:03:02.700 --> 00:03:03.600]  我祈禱
[00:03:03.600 --> 00:03:04.400]  我們祈禱
[00:03:04.400 --> 00:03:05.800]  你開祈禱會
[00:03:05.800 --> 00:03:06.800]  我們開祈禱會
[00:03:06.800 --> 00:03:08.300]  是不是跟空氣講話
[00:03:08.300 --> 00:03:10.700]  是不是跟空氣講話呢
[00:03:10.700 --> 00:03:12.000]  是不是好像有這個想法
[00:03:12.000 --> 00:03:14.000]  是不是有這種想法呢
[00:03:14.000 --> 00:03:15.400]  希西加這個祈禱
[00:03:15.400 --> 00:03:16.600]  希西加這個祈禱
[00:03:16.600 --> 00:03:18.200]  請問它是不是跟空氣講話
[00:03:18.200 --> 00:03:20.400]  它是不是跟空氣講話呢
[00:03:20.400 --> 00:03:20.800]  不是
[00:03:20.800 --> 00:03:23.000]  因為有亞馬遜來講
[00:03:23.000 --> 00:03:25.300]  我們下次就會明白
