
[00:00:00.000 --> 00:00:03.600]  一個敬畏上主的人
[00:00:03.600 --> 00:00:07.400]  就會時時記住上主的話
[00:00:07.400 --> 00:00:13.200]  並且是按著上主的吩咐去做人的
[00:00:13.200 --> 00:00:18.600]  今天要考一考大家會不會背上上個星期的金句
[00:00:18.600 --> 00:00:22.800]  是《馬太福音》五章二十三至二十四節
[00:00:22.800 --> 00:00:25.600]  這兩節金句雖然是比較長
[00:00:25.600 --> 00:00:28.400]  但是是很有邏輯性的
[00:00:28.400 --> 00:00:31.600]  就是有關獻祭在祭壇上
[00:00:31.600 --> 00:00:35.000]  如果記得的話我們一起試一下
[00:00:35.000 --> 00:00:40.000]  因此你在祭壇前要獻公物給上帝的時候
[00:00:40.000 --> 00:00:44.600]  若想起有弟兄對你不滿
[00:00:44.600 --> 00:00:47.800]  你就該把祭物留在壇前
[00:00:47.800 --> 00:00:50.000]  立刻去跟他和解
[00:00:50.000 --> 00:00:53.800]  然後再回來獻公物給上帝
[00:00:53.800 --> 00:00:55.600]  是不是很有邏輯性
[00:00:55.600 --> 00:00:57.800]  你來到了要獻公物了
[00:00:57.800 --> 00:01:01.400]  突然間想起有人對你不滿
[00:01:01.400 --> 00:01:03.600]  即是你得罪了別人的意思
[00:01:03.600 --> 00:01:04.800]  有人對你不滿
[00:01:04.800 --> 00:01:06.000]  那你先不要獻了
[00:01:06.000 --> 00:01:08.600]  快點去跟那個人和好
[00:01:08.600 --> 00:01:12.000]  和好了之後當然是回來再獻
[00:01:12.000 --> 00:01:13.800]  很有邏輯性的
[00:01:13.800 --> 00:01:20.200]  這個星期我發現我可以用手機WhatsApp
[00:01:20.200 --> 00:01:24.400]  將經文傳送出去給弟兄姊妹
[00:01:24.400 --> 00:01:29.400]  讓他們在手機上都可以看到經文幫助他們背
[00:01:29.400 --> 00:01:32.000]  有人問我
[00:01:32.000 --> 00:01:36.200]  我沒有想起弟兄對我不滿
[00:01:36.200 --> 00:01:37.200]  因為我沒有得罪別人
[00:01:37.200 --> 00:01:39.800]  不過我想起弟兄對我不滿
[00:01:39.800 --> 00:01:41.400]  那怎麼辦呢
[00:01:41.400 --> 00:01:42.800]  答案很簡單
[00:01:42.800 --> 00:01:44.200]  你不要背二三四
[00:01:44.200 --> 00:01:45.600]  你背四三二
[00:01:45.600 --> 00:01:49.400]  就是已忽所書四章三十二節
[00:01:49.400 --> 00:01:52.600]  記不記得已忽所書四章三十二節
[00:01:52.600 --> 00:01:54.600]  教我們要怎樣
[00:01:54.600 --> 00:01:57.800]  要親切仁慈相對待
[00:01:57.800 --> 00:01:59.200]  然後什麼
[00:01:59.200 --> 00:02:01.200]  彼此饒恕
[00:02:01.200 --> 00:02:04.000]  要像上帝饒恕我們一樣
[00:02:04.000 --> 00:02:05.800]  去饒恕弟兄
[00:02:05.800 --> 00:02:10.000]  這兩段經文幫助我們
[00:02:10.000 --> 00:02:12.000]  在人際關係方面
[00:02:12.000 --> 00:02:14.000]  應該會處理得很好
[00:02:14.000 --> 00:02:15.200]  如果你得罪別人
[00:02:15.200 --> 00:02:16.800]  你就去向他賠罪
[00:02:16.800 --> 00:02:18.000]  別人得罪你
[00:02:18.000 --> 00:02:20.200]  你就彼此饒恕
[00:02:20.200 --> 00:02:22.400]  主耶穌教導我們
[00:02:22.400 --> 00:02:24.600]  你要饒恕七十個七字
