
[00:00:00.000 --> 00:00:01.080]  各位節目的早晨
[00:00:01.080 --> 00:00:06.320]  很高興可以在大家當中分享上帝的說話
[00:00:06.320 --> 00:00:08.880]  今天是母親節 是英國的母親節
[00:00:08.880 --> 00:00:11.320]  是一個很特別的日子
[00:00:11.320 --> 00:00:13.880]  在當中都有不少的母親
[00:00:13.880 --> 00:00:17.880]  願主的恩典在每個母親的身上
[00:00:17.880 --> 00:00:23.320]  來彰顯恩慈、信實、平安
[00:00:23.320 --> 00:00:28.160]  讓你的家庭、婚姻和個人的生活上
[00:00:28.160 --> 00:00:31.760]  都常常經歷上帝的豐盛
[00:00:31.760 --> 00:00:37.600]  香港或者其他地方的母親節是五月第二個禮拜
[00:00:37.600 --> 00:00:39.520]  英國就是今天
[00:00:39.520 --> 00:00:42.440]  我不知道在英國的母親節裏面
[00:00:42.440 --> 00:00:48.440]  有沒有一些歌曲是大家很喜歡在母親節時點播的
[00:00:48.440 --> 00:00:50.040]  我不知道
[00:00:50.040 --> 00:00:56.240]  但是香港裏面有些歌曲在母親節前後特別多人點播
[00:00:56.240 --> 00:01:02.680]  如果要在當中的你去選一首獻給天下母親的歌曲
[00:01:02.680 --> 00:01:05.120]  你會選哪一首?
[00:01:05.120 --> 00:01:07.520]  《真的愛你》 我也是選《真的愛你》
[00:01:07.520 --> 00:01:09.800]  早前第一天節目就選了另外一些
[00:01:09.800 --> 00:01:13.960]  我說我比較世俗化 聽一些流行歌
[00:01:13.960 --> 00:01:16.320]  我就選《真的愛你》
[00:01:16.320 --> 00:01:18.480]  《真的愛你》第一句歌詞是什麼?
[00:01:18.480 --> 00:01:22.160]  無法可修飾的一對手
[00:01:22.160 --> 00:01:25.520]  帶出溫暖永遠在背後
[00:01:25.520 --> 00:01:28.480]  縱使囉嗦始終關注
[00:01:28.480 --> 00:01:31.000]  不懂珍惜太內疚
[00:01:31.000 --> 00:01:36.600]  作者在當中寫歌、作曲、寫詞
[00:01:36.600 --> 00:01:40.720]  都是那個Beyond的成員
[00:01:40.720 --> 00:01:43.200]  他就想起媽媽的雙手
