
[00:00:00.000 --> 00:00:04.500]  奉先父聖子聖母聖靈的名 問後弟兄姊妹平安
[00:00:04.500 --> 00:00:08.680]  奉先父聖母聖靈的名 問弟兄姊妹平安
[00:00:08.680 --> 00:00:14.980]  在創世紀1章28節 上帝任命人治理全地
[00:00:14.980 --> 00:00:20.080]  在創世紀1章28節 上帝任命人治理全地
[00:00:20.080 --> 00:00:26.160]  在英許帝的南國猶大 上帝亦都任命大衛的後裔
[00:00:26.160 --> 00:00:28.060]  來管理他的子民
[00:00:28.060 --> 00:00:32.040]  在英許帝的南國猶大 上帝亦都任命大衛的後裔
[00:00:32.040 --> 00:00:33.780]  來管理他的子民
[00:00:33.780 --> 00:00:40.700]  但當大衛的後裔 如果按照上帝的規劃來治理的話
[00:00:40.700 --> 00:00:44.120]  如果按照上帝的規劃來治理的話呢
[00:00:44.120 --> 00:00:46.360]  百姓受惠
[00:00:46.360 --> 00:00:49.740]  我們在獵王記開頭看到所羅門
[00:00:49.740 --> 00:00:51.740]  在獵王記的開頭我們看到所羅門
[00:00:51.740 --> 00:00:56.140]  所羅門的國度就是今天以色列看回來是最光輝的
[00:00:56.140 --> 00:01:01.160]  所羅門的國度在後來來往回看是最光輝的
[00:01:01.160 --> 00:01:02.880]  如果要作比較的話呢
[00:01:02.880 --> 00:01:05.140]  如果來比較的話呢
[00:01:05.140 --> 00:01:08.320]  跟唐太宗的唐朝時代
[00:01:08.320 --> 00:01:11.120]  我們覺不覺得是不是
[00:01:11.120 --> 00:01:14.760]  中國看歷史是不是唐太宗時代是中國人最輝煌的時代
[00:01:14.760 --> 00:01:18.820]  在中國的歷史當中 唐太宗是一個輝煌的時代
[00:01:18.820 --> 00:01:22.420]  我們這樣的人 人家西人叫我們唐人
[00:01:22.420 --> 00:01:26.220]  西人稱呼我們為唐人 唐是哪個唐
[00:01:26.220 --> 00:01:28.720]  唐是哪個唐呢 唐朝的唐
[00:01:28.720 --> 00:01:30.720]  唐朝的唐
[00:01:30.720 --> 00:01:32.980]  漢人是另一個chapter我不說了
[00:01:32.980 --> 00:01:37.220]  所以唐太宗時代是著名的地方
[00:01:37.220 --> 00:01:39.720]  我們中國人被稱為唐人
[00:01:39.720 --> 00:01:45.000]  在唐太宗的時代我們中國人被稱為唐人
[00:01:45.000 --> 00:01:46.900]  所以以色列人
[00:01:46.900 --> 00:01:49.620]  所以以色列人回顧他的歷史
[00:01:49.620 --> 00:01:53.920]  我覺得最驕傲的地方是什麼呢 所羅門
[00:01:53.920 --> 00:01:56.860]  所羅門的國度呢
[00:01:56.860 --> 00:02:02.620]  是由埃及到北色小
[00:02:02.620 --> 00:02:06.380]  直到雙子河
[00:02:06.380 --> 00:02:11.020]  就是今天薩丹佛星那一帶
[00:02:11.020 --> 00:02:15.580]  阿丹姆那一帶 伊拉克那一帶
[00:02:15.580 --> 00:02:17.840]  版圖闊得這麼大
[00:02:17.840 --> 00:02:20.320]  他不一定親自去帶 每個人都要向他朝拜
[00:02:20.320 --> 00:02:23.580]  每個人都向他朝拜
[00:02:23.580 --> 00:02:28.100]  但是當君王不聽上帝的話的時候呢
[00:02:28.100 --> 00:02:31.220]  當君王不聽上帝的話的時候呢
[00:02:31.220 --> 00:02:34.100]  百姓受苦了
[00:02:34.100 --> 00:02:36.260]  甚至被擄
[00:02:36.260 --> 00:02:39.140]  聽到沒有 整個聖經很重要的
[00:02:39.140 --> 00:02:41.020]  當人聽上帝的話
[00:02:41.020 --> 00:02:44.700]  當人聽上帝的話
[00:02:44.700 --> 00:02:52.140]  上帝賜福 當人不聽上帝的話的時候呢
[00:02:52.140 --> 00:02:54.680]  上帝要懲罰
[00:02:54.680 --> 00:02:57.440]  所以這個主題
[00:02:57.440 --> 00:03:01.600]  不只是Old Testament契約
[00:03:01.600 --> 00:03:06.520]  今天我們新約時代
[00:03:06.520 --> 00:03:11.840]  如果不信耶穌
[00:03:11.840 --> 00:03:16.000]  你聽到很多了 不信耶穌會下地獄 是不是?
[00:03:16.000 --> 00:03:21.320]  這些是舊人之前 但是那個觀念是從哪裡來的呢?
[00:03:21.320 --> 00:03:28.440]  人一定要和這個創造者和諧
[00:03:28.440 --> 00:03:32.240]  其實在我們每個家庭都是出現一樣的
[00:03:32.240 --> 00:03:34.740]  在每個人的家庭中也同樣出現
[00:03:34.740 --> 00:03:38.920]  如果家中的兒女們
[00:03:38.920 --> 00:03:43.040]  不聽爸爸媽媽的話
[00:03:43.040 --> 00:03:46.920]  這是一個什麼樣的家庭呢?
[00:03:46.920 --> 00:03:48.720]  一定不好
[00:03:48.720 --> 00:03:53.480]  一般來說
[00:03:53.480 --> 00:03:57.120]  爸爸就山水侯
[00:03:57.120 --> 00:04:02.660]  封鎖經濟
[00:04:02.660 --> 00:04:09.640]  就沒有Pocket Money
[00:04:09.640 --> 00:04:12.260]  車又收回來了
[00:04:12.260 --> 00:04:15.080]  又沒有錢去入油了
[00:04:15.080 --> 00:04:17.320]  沒有地方去的 是不是?
[00:04:17.320 --> 00:04:18.480]  聽不聽得到?
[00:04:18.480 --> 00:04:21.060]  這個家庭不和諧
[00:04:21.060 --> 00:04:24.680]  爸爸山水侯
[00:04:24.680 --> 00:04:26.120]  你都怎麼樣?
[00:04:26.120 --> 00:04:28.960]  就不理爸爸了
[00:04:28.960 --> 00:04:33.160]  這個家庭是一個英文叫Disfunctional Family
[00:04:33.160 --> 00:04:36.000]  什麼叫Disfunctional?
[00:04:36.000 --> 00:04:39.360]  是一個不能正常運作的家庭
[00:04:39.360 --> 00:04:42.300]  屬於一個不正常運作的家庭
[00:04:42.300 --> 00:04:46.440]  所以你看這件事兒女要聽父母的話
[00:04:46.440 --> 00:04:47.940]  兒女要聽父母的話
[00:04:47.940 --> 00:04:49.740]  為什麼今天有母親節?
[00:04:49.740 --> 00:04:51.320]  為什麼今天有母親節呢?
[00:04:51.320 --> 00:04:53.660]  就是兒女要對母親的尊敬
[00:04:53.660 --> 00:04:54.820]  就是兒女對母親的尊敬
[00:04:54.820 --> 00:04:56.660]  世人都想到這件事
[00:04:56.660 --> 00:04:58.540]  所以定今天為母親節
[00:04:58.540 --> 00:04:59.600]  世人都想到這件事
[00:04:59.600 --> 00:05:01.400]  所以今天是母親節
[00:05:01.400 --> 00:05:03.360]  在聖經當中
[00:05:03.360 --> 00:05:08.160]  耶和華是對我們的子民
[00:05:08.160 --> 00:05:10.560]  好像父母一樣
[00:05:10.560 --> 00:05:12.960]  剛才我們讀了《以賽亞書》
