
[00:00:00.000 --> 00:00:03.840]  2016年眨下眼已經接近尾聲
[00:00:03.840 --> 00:00:06.840]  下星期回來已經進入十二月
[00:00:06.840 --> 00:00:10.300]  不知道大家有沒有開始已經為自己
[00:00:10.300 --> 00:00:13.180]  2016年做一個檢討
[00:00:13.180 --> 00:00:17.900]  或者是一些回顧
[00:00:17.900 --> 00:00:20.020]  究竟我們在神裡面
[00:00:20.020 --> 00:00:22.140]  或者我們自己的生命裡面
[00:00:22.140 --> 00:00:25.260]  今年我們達到了什麼呢?
[00:00:25.260 --> 00:00:28.860]  以前曾經有些同事跟我這樣說過
[00:00:28.860 --> 00:00:31.940]  他說,大家可能都有聽過
[00:00:31.940 --> 00:00:35.480]  多做就多錯,少做就少錯
[00:00:35.480 --> 00:00:40.780]  不做就無錯,無驚無險,由到五點
[00:00:40.780 --> 00:00:43.700]  是不是?有沒有聽過?
[00:00:43.700 --> 00:00:47.700]  你試過游泳著涼了沒有?
[00:00:47.700 --> 00:00:49.280]  試過吧,很多人說
[00:00:49.280 --> 00:00:52.740]  有沒有試過行山扭傷?
[00:00:52.740 --> 00:00:54.620]  我們會不會問自己
[00:00:54.620 --> 00:00:58.420]  我不去游泳,不去行山就沒事了
[00:00:58.420 --> 00:00:59.500]  不會吧?
[00:00:59.500 --> 00:01:01.800]  因為這些傷痕我都有很多戰績
[00:01:01.800 --> 00:01:03.680]  是一些戰績來的
[00:01:03.680 --> 00:01:05.760]  是一些生命的印記
[00:01:05.760 --> 00:01:06.880]  成長的印記
[00:01:06.880 --> 00:01:08.720]  是一些因典的記號
[00:01:08.720 --> 00:01:12.380]  有些疤痕比較酷
[00:01:12.380 --> 00:01:15.100]  就是我們成長的記號
[00:01:15.100 --> 00:01:18.180]  我自己也很喜歡駕車
[00:01:18.180 --> 00:01:20.760]  所以有機會去外地旅遊的時候
[00:01:20.760 --> 00:01:22.860]  我也嘗試越來越多機會
[00:01:22.860 --> 00:01:26.640]  自己租車去自駕遊
[00:01:26.640 --> 00:01:29.600]  但我想告訴你,我也很丟臉
[00:01:29.600 --> 00:01:35.940]  試過刮花車,買了保險也要賠幾千
[00:01:35.940 --> 00:01:39.060]  又試過不懂得看當地的語言
[00:01:39.060 --> 00:01:41.780]  有便宜就入便宜,入有
[00:01:41.780 --> 00:01:45.860]  誰知原來要入汽油,就入柴油
[00:01:45.860 --> 00:01:49.940]  結果車子走了一段路就打柴
[00:01:49.940 --> 00:01:51.140]  死在路上
[00:01:51.140 --> 00:01:54.860]  要打SOS,要找租車公司來救我
[00:01:54.860 --> 00:01:57.780]  又不見幾千
[00:01:57.780 --> 00:02:01.700]  我又試過去到陌生的地方,入錯線
[00:02:01.700 --> 00:02:04.400]  結果逆線行車
[00:02:04.400 --> 00:02:08.100]  嚇得身邊太太鼻孔都沒肉
[00:02:08.100 --> 00:02:09.820]  我會不會這樣想
[00:02:09.820 --> 00:02:13.480]  去旅行不駕車,就相安無事
[00:02:13.480 --> 00:02:15.520]  我想告訴你,不會的
[00:02:15.520 --> 00:02:18.400]  這些,英文叫做Passion
[00:02:18.400 --> 00:02:20.640]  就是熱誠
[00:02:20.640 --> 00:02:22.520]  你喜歡那件事的時候
[00:02:22.520 --> 00:02:24.820]  你會屢敗屢戰
[00:02:24.820 --> 00:02:27.900]  失敗了,會再繼續嘗試
[00:02:27.900 --> 00:02:30.100]  錯失是參與之中
[00:02:30.100 --> 00:02:32.820]  我們所經歷的一些風險
[00:02:32.820 --> 00:02:34.940]  但是當我們有神的保守
[00:02:34.940 --> 00:02:37.900]  在錯誤當中我們去安然度過的時候
[00:02:37.900 --> 00:02:40.320]  這個就成為了我們一些寶貴的經驗
[00:02:40.320 --> 00:02:41.860]  寶貴的分享
[00:02:41.860 --> 00:02:43.780]  以至於可以堅定自己
[00:02:43.780 --> 00:02:46.700]  亦都成為大家一起笑一下
[00:02:46.700 --> 00:02:50.160]  大家一起鼓勵其他人的一些分享
[00:02:50.160 --> 00:02:53.240]  當然,人越來越大越成熟
[00:02:53.240 --> 00:02:55.980]  我也學會了一些風險管理
[00:02:55.980 --> 00:03:00.360]  所以我告訴你,我不會去跳笨豬跳
[00:03:00.360 --> 00:03:02.400]  又問大家,信耶穌
[00:03:02.400 --> 00:03:08.320]  你覺得會不會失落,會不會犯錯呢
[00:03:08.320 --> 00:03:10.320]  如果覺得不會的
[00:03:10.320 --> 00:03:11.560]  我們覺得信了主之後
[00:03:11.560 --> 00:03:13.640]  一定不會行差踏錯的話
[00:03:13.640 --> 00:03:16.140]  我告訴你,我們就不需要靠耶穌
[00:03:16.140 --> 00:03:18.980]  不需要靠聖靈
[00:03:18.980 --> 00:03:20.240]  聖經不是這樣說的
[00:03:20.240 --> 00:03:23.060]  約翰一書一章八節說
[00:03:23.060 --> 00:03:25.980]  我們若說自己無罪便是自欺
[00:03:25.980 --> 00:03:29.060]  真理就不在我們生命裏面
[00:03:29.060 --> 00:03:29.940]  所以在待在當中
[00:03:29.940 --> 00:03:31.860]  如果你覺得你剛才說的
[00:03:31.860 --> 00:03:34.060]  你覺得我沒有行差踏錯
[00:03:34.060 --> 00:03:37.940]  信了主,我完全沒有再犯罪的時候
[00:03:37.940 --> 00:03:40.060]  你來找找我,和我們聊聊天
[00:03:40.060 --> 00:03:41.360]  或者找找你的區域
[00:03:41.360 --> 00:03:47.060]  讓我們和你重溫那些得勝的確據的內容
[00:03:47.060 --> 00:03:49.320]  我們會犯錯
[00:03:49.320 --> 00:03:50.360]  但是犯錯之後
[00:03:50.360 --> 00:03:52.480]  有時候會令到我們羞愧
[00:03:52.480 --> 00:03:54.720]  我們會自己躲起來
[00:03:54.720 --> 00:03:57.960]  甚至乎我們不去肯定
[00:03:57.960 --> 00:04:01.560]  我們自己是主的門徒的身份
[00:04:01.560 --> 00:04:05.660]  甚至有些我們不願意再持守我們的信仰
[00:04:05.660 --> 00:04:07.960]  我們覺得神不可信
[00:04:07.960 --> 00:04:12.060]  我們不願意再為主去作見證
[00:04:12.060 --> 00:04:13.860]  在信主這麼多年裏
[00:04:13.860 --> 00:04:19.060]  我真的親眼見過身邊很多弟兄姊妹
[00:04:19.060 --> 00:04:21.660]  有些很熱愛主的肢體
[00:04:21.660 --> 00:04:24.760]  他現在都不再回教會
[00:04:24.760 --> 00:04:30.360]  甚至他們說自己不再信耶穌了
[00:04:30.360 --> 00:04:33.460]  感覺上很可惜
[00:04:33.460 --> 00:04:35.160]  也有一些肢體告訴我
[00:04:35.160 --> 00:04:37.860]  他不願意冒險犯錯
[00:04:37.860 --> 00:04:43.760]  所以他不肯在神面前再行前一步
[00:04:43.760 --> 00:04:45.960]  今天和大家分享一個人物
[00:04:45.960 --> 00:04:48.360]  大家都很熟悉,我都很喜歡的
[00:04:48.360 --> 00:04:50.160]  是使徒彼得
[00:04:50.160 --> 00:04:53.060]  彼得常常都犯錯
[00:04:53.060 --> 00:04:57.060]  常常都有被耶穌責備,被耶穌教訓
[00:04:57.060 --> 00:04:59.560]  最嚴重的一次,今天說
[00:04:59.560 --> 00:05:02.060]  彼得三次不認主
[00:05:02.060 --> 00:05:03.360]  這段的內容
[00:05:03.360 --> 00:05:05.160]  我想由兒童主的學一直聽
[00:05:05.160 --> 00:05:08.360]  聽到現在,大家都耳熟能詳
[00:05:08.360 --> 00:05:10.960]  我今天嘗試去想的時候
[00:05:10.960 --> 00:05:13.960]  我很想為彼得翻身
[00:05:13.960 --> 00:05:22.060]  為他平反
[00:05:22.060 --> 00:05:24.860]  我們通常說彼得三次不認主
