
[00:00:00.000 --> 00:00:02.120]  想首先問大家一個問題
[00:00:02.120 --> 00:00:06.320]  想問你在你的生活裡面
[00:00:06.320 --> 00:00:09.860]  有沒有人是咬著你不放的?
[00:00:09.860 --> 00:00:11.840]  有沒有?
[00:00:11.840 --> 00:00:17.360]  相反有沒有人是被你咬著不放的呢?
[00:00:17.360 --> 00:00:20.420]  大家知道我問什麼了,是吧?
[00:00:20.420 --> 00:00:25.760]  那你心裡面知道就行了
[00:00:25.760 --> 00:00:29.980]  其實這種現象是怎樣來的呢?
[00:00:30.660 --> 00:00:36.960]  我覺得很可能是從我們一個人的妒忌心開始而來的
[00:00:36.960 --> 00:00:41.260]  相信咬著人的會很累
[00:00:41.260 --> 00:00:43.600]  被人咬的也會很痛
[00:00:43.600 --> 00:00:46.600]  所以常常令到雙方都很辛苦
[00:00:46.600 --> 00:00:50.360]  何苦阻礙了自己的人生
[00:00:50.360 --> 00:00:53.760]  又活在別人的陰影裡面
[00:00:55.160 --> 00:01:01.840]  但是嫉妒的心是不容易受到控制的
[00:01:01.840 --> 00:01:03.560]  相反呢
[00:01:03.560 --> 00:01:07.880]  如果我們沒有控制的時候,越來越厲害的時候
[00:01:07.880 --> 00:01:11.880]  是會做出一些傷害別人、傷害自己的事情
[00:01:11.880 --> 00:01:16.000]  如果在舊約聖經裡面有一個很經典的例子
[00:01:16.000 --> 00:01:20.040]  我就數一個數羅和一個大衛
[00:01:20.040 --> 00:01:21.680]  數羅和大衛
[00:01:22.200 --> 00:01:26.760]  大衛是數羅一個很好的勇士
[00:01:26.760 --> 00:01:28.760]  在國家裡面很賣力
[00:01:28.760 --> 00:01:31.760]  他很英勇
[00:01:31.760 --> 00:01:34.080]  於是有很多的粉絲
[00:01:34.080 --> 00:01:37.080]  粉絲為他作一首歌
[00:01:37.080 --> 00:01:39.720]  唱到街知巷聞
[00:01:39.720 --> 00:01:42.480]  數羅殺死千千
[00:01:42.480 --> 00:01:45.360]  大衛殺死萬萬
[00:01:45.360 --> 00:01:51.680]  搞到數羅聽到就爐火中燒
[00:01:51.680 --> 00:01:54.120]  這個窒度的火就很厲害
[00:01:54.120 --> 00:01:57.480]  雖然大衛很幫得上忙
[00:01:57.480 --> 00:01:59.480]  但是這樣比較下來
[00:01:59.480 --> 00:02:01.480]  自己好像很沒面子
[00:02:01.480 --> 00:02:04.320]  於是實行要去封殺大衛
[00:02:04.320 --> 00:02:05.880]  要追殺大衛
[00:02:05.880 --> 00:02:08.560]  這是一個很經典的例子
