
[00:00:00.000 --> 00:00:02.300]  願神的華語透過特別馬可福音
[00:00:02.300 --> 00:00:03.500]  跟我們每一個說話
[00:00:03.500 --> 00:00:05.000]  我們一同有一個禱告
[00:00:05.000 --> 00:00:08.000]  天父上帝我們感恩
[00:00:08.000 --> 00:00:11.000]  祢給我們每一個人都有恩典
[00:00:11.000 --> 00:00:14.000]  上帝讓我們能夠明白祢的恩典
[00:00:14.000 --> 00:00:16.500]  透過祢的獨生義者耶穌基督
[00:00:16.500 --> 00:00:19.500]  讓我們活出祢給我們恩典的生命
[00:00:19.500 --> 00:00:20.500]  天父上帝今天
[00:00:20.500 --> 00:00:22.500]  祢透過馬可福音第九章
[00:00:22.500 --> 00:00:24.000]  讓我們去明白
[00:00:24.000 --> 00:00:26.500]  怎樣做一個合理心意的門徒
[00:00:26.500 --> 00:00:28.500]  讓我們生命當中有艷
[00:00:28.500 --> 00:00:29.500]  主要是幫助我們
[00:00:29.500 --> 00:00:32.000]  讓說的聽的都同感一鈴
[00:00:32.000 --> 00:00:33.000]  求主帶領
[00:00:33.000 --> 00:00:35.000]  我們同心的禱告
[00:00:35.000 --> 00:00:37.000]  奉我主耶穌基督名之以求
[00:00:37.000 --> 00:00:38.000]  阿們
[00:00:38.000 --> 00:00:41.000]  如果你有聖經或者電子聖經
[00:00:41.000 --> 00:00:43.000]  你打開馬可福音第九章
[00:00:43.000 --> 00:00:44.500]  因為廣福堂給我的經文
[00:00:44.500 --> 00:00:46.500]  是馬可福音的第九章
[00:00:46.500 --> 00:00:50.000]  都有四十九節五十節的
[00:00:50.000 --> 00:00:54.000]  問林牧師五十節很難說
[00:00:54.000 --> 00:00:56.000]  他說我盡量吧
[00:00:56.500 --> 00:00:59.500]  但是今天整個講道
[00:00:59.500 --> 00:01:01.500]  都圍繞在馬可福音第九章
[00:01:01.500 --> 00:01:02.500]  所以如果你打開聖經
[00:01:02.500 --> 00:01:05.000]  馬可福音第九章讓我們同你去看
[00:01:05.000 --> 00:01:07.500]  我先從尾開始看上來
[00:01:07.500 --> 00:01:09.500]  在第四十九節這樣說
[00:01:09.500 --> 00:01:12.500]  因為必用火當炎業各人
[00:01:12.500 --> 00:01:14.500]  有古卷在此
[00:01:14.500 --> 00:01:17.500]  有梵濟物必用炎業
[00:01:17.500 --> 00:01:19.500]  炎本是好的
[00:01:19.500 --> 00:01:21.500]  若是失了味
