
[00:00:00.000 --> 00:00:03.360]  今日我哋嚟到睇《洩行傳》第九章
[00:00:03.360 --> 00:00:06.320]  呢個頭一個段落
[00:00:06.320 --> 00:00:10.960]  有個非常關鍵性嘅一個嘅記載
[00:00:10.960 --> 00:00:13.800]  呢個題目點讀呀
[00:00:13.800 --> 00:00:23.560]  反轉定翻轉呀
[00:00:31.000 --> 00:00:35.000]  反轉即係調轉頭
[00:00:35.000 --> 00:00:38.000]  咁所以呢有時神要我哋調轉行
[00:00:38.000 --> 00:00:42.600]  翻轉呢就有啲唔同喇
[00:00:42.600 --> 00:00:46.000]  翻轉呢就係神呢係改變
[00:00:46.000 --> 00:00:47.000]  呀
[00:00:47.000 --> 00:00:48.000]  呀
[00:00:48.000 --> 00:00:49.000]  呀
[00:00:49.000 --> 00:00:50.000]  呀
[00:00:50.000 --> 00:00:51.000]  呀
[00:00:51.000 --> 00:00:53.000]  翻轉呢就有啲唔同喇
[00:00:53.000 --> 00:00:56.000]  翻轉呢就係神呢係改變
[00:00:56.000 --> 00:00:57.000]  呀
[00:00:57.000 --> 00:00:58.000]  呀
[00:00:58.000 --> 00:01:02.000]  改變畀我哋一個新嘅生命
[00:01:02.000 --> 00:01:04.000]  翻轉我哋嘅人生
[00:01:04.000 --> 00:01:06.000]  咁所以呢我特別用呢個字啦
[00:01:06.000 --> 00:01:07.000]  又唔係反轉
[00:01:07.000 --> 00:01:08.000]  又唔係
[00:01:08.000 --> 00:01:09.000]  又唔係反
[00:01:09.000 --> 00:01:11.000]  反轉
[00:01:11.000 --> 00:01:12.000]  係反轉
[00:01:12.000 --> 00:01:13.000]  翻轉
[00:01:13.000 --> 00:01:15.000]  翻轉生命
[00:01:15.000 --> 00:01:17.000]  我哋睇見呢素來呢個嘅人生嘅改變呢
[00:01:17.000 --> 00:01:19.000]  係一個翻轉嘅生命嘅改變
[00:01:19.000 --> 00:01:23.000]  因為呢佢係真係經歷到耶穌復活嘅生命
[00:01:23.000 --> 00:01:25.000]  翻轉嘅人生
[00:01:25.000 --> 00:01:27.000]  咁所以我哋今日呢係嚟到睇呢個嘅記載嘅時候呢
[00:01:27.000 --> 00:01:29.000]  我哋睇見
[00:01:29.000 --> 00:01:32.000]  如果睇返上幾章我哋知道呢
[00:01:32.000 --> 00:01:36.000]  當時史提反佢哋宣道教會受到逼迫
[00:01:36.000 --> 00:01:37.000]  咁呢就
[00:01:37.000 --> 00:01:39.000]  福音呢就從耶路撒冷
[00:01:39.000 --> 00:01:42.000]  嚟到呢係被
[00:01:42.000 --> 00:01:45.000]  佢哋逃難也好
[00:01:45.000 --> 00:01:47.000]  去到唔同嘅地域也好
[00:01:47.000 --> 00:01:49.000]  佢哋呢就去到呢個撒瑪利亞嘅境界
[00:01:49.000 --> 00:01:53.000]  所以從耶穌基督嘅應許從耶路撒冷
[00:01:53.000 --> 00:01:54.000]  猶太傳遞
[00:01:54.000 --> 00:01:57.000]  同埋撒瑪利亞直到地極
[00:01:57.000 --> 00:01:59.000]  咁呢度呢我哋見到一張一張呢咁樣進展
[00:01:59.000 --> 00:02:02.000]  證明呢大使命呢係不斷推展嘅
[00:02:02.000 --> 00:02:03.000]  今日我哋呢都係
[00:02:03.000 --> 00:02:07.000]  繼續喺呢個嘅大使命人生嘅路上
[00:02:07.000 --> 00:02:11.000]  我哋睇見第八章呢就係肥利嘅傳福音嘅見證
[00:02:11.000 --> 00:02:13.000]  佢當時呢令到撒瑪利亞
[00:02:13.000 --> 00:02:16.000]  猶太傳遞嗰個地方走遍咗
[00:02:16.000 --> 00:02:19.000]  然後呢就因為佢同呢個
[00:02:19.000 --> 00:02:26.000]  埃提奧伯又或者叫做伊索比亞嘅太監
