
[00:00:00.000 --> 00:00:03.720]  你們大家平常在家裏做打掃嗎?
[00:00:03.720 --> 00:00:07.280]  你們平時在家裏會不會清潔一下家屋呢?
[00:00:07.280 --> 00:00:12.280]  我知道有的人是可能一輩子都不會做家務的
[00:00:12.280 --> 00:00:16.640]  我想其中有些人可能一輩子都不會做家務的
[00:00:16.640 --> 00:00:24.760]  你知道這個,有一天早晨,我家朝東的
[00:00:24.760 --> 00:00:28.520]  有一天早晨,我家是向着東邊的
[00:00:28.520 --> 00:00:33.440]  早晨的陽光照進房間,正好在地板上
[00:00:33.440 --> 00:00:35.080]  一個面積很亮
[00:00:35.080 --> 00:00:40.520]  早上的時候,那些陽光照在我房間的地板上
[00:00:40.520 --> 00:00:43.400]  剛好是一片光
[00:00:43.400 --> 00:00:46.880]  我就看見好多好多的髒東西
[00:00:46.880 --> 00:00:49.040]  我就看見了好多的垃圾東西在那裏
[00:00:49.040 --> 00:00:52.640]  什麼頭髮,各種渣子,還有好多灰塵
[00:00:52.640 --> 00:00:56.400]  有頭髮,有睡罩,還有好多灰塵
[00:00:56.400 --> 00:00:58.360]  然後我當時就感慨一句
[00:00:58.360 --> 00:00:59.960]  我當時就很感慨
[00:00:59.960 --> 00:01:02.640]  我說這個看不見的,還覺得挺乾淨
[00:01:02.640 --> 00:01:05.400]  看不見就覺得挺乾淨
[00:01:05.400 --> 00:01:07.520]  光一照很清楚
[00:01:07.520 --> 00:01:10.600]  光一照下來就看得很清楚
[00:01:10.600 --> 00:01:13.120]  所以你要想好好打掃
[00:01:13.120 --> 00:01:15.480]  如果你想好好地清潔一下家屋呢
[00:01:15.480 --> 00:01:17.800]  你要拉開窗簾讓陽光進來
[00:01:17.800 --> 00:01:21.440]  你要將窗簾拉開,陽光照進來
[00:01:21.440 --> 00:01:24.200]  你們大家有洗牙嗎?
[00:01:24.200 --> 00:01:26.640]  你們大家會不會去洗牙呢?
[00:01:26.640 --> 00:01:31.320]  人家洗牙呀 你看那個醫生那個燈啊 好多個頭
[00:01:31.320 --> 00:01:37.400]  你去洗牙的時候呢 你看到那個牙醫那邊的燈是很多個頭的
[00:01:37.400 --> 00:01:40.400]  這樣它才能讓你的口腔裏到處都是亮的
[00:01:40.400 --> 00:01:44.960]  那它才能照到你口腔裏面每一個角落
[00:01:44.960 --> 00:01:46.880]  所以它才不至於有陰影
[00:01:46.880 --> 00:01:48.880]  所以纔不會有陰影
[00:01:48.880 --> 00:01:50.160]  它才能給你洗得乾淨
[00:01:50.160 --> 00:01:52.760]  那它才能將你的牙洗乾淨
[00:01:52.760 --> 00:01:56.360]  剛纔說的這個光明啊 智慧 其實是一回事
[00:01:56.360 --> 00:02:01.080]  剛纔我們讀那裏說的光明 智慧 都是這樣的意思
[00:02:01.080 --> 00:02:04.280]  剛纔讀的這一段呢 我們可以把它分成兩部分
