
[00:00:00.000 --> 00:00:02.240]  突然之間回到平安
[00:00:02.240 --> 00:00:05.920]  1940年的時候發生了一件很特別的事情
[00:00:05.920 --> 00:00:10.720]  在俄羅斯 即是前蘇聯
[00:00:10.720 --> 00:00:12.080]  做了一個實驗
[00:00:12.080 --> 00:00:17.840]  當時的科學家想研究一下睡眠這個問題
[00:00:17.840 --> 00:00:21.560]  然後在監獄裡面做了一件事情
[00:00:21.560 --> 00:00:26.600]  他們說邀請五位左右的志願人士
[00:00:26.600 --> 00:00:28.040]  可以參加這個實驗
[00:00:28.040 --> 00:00:34.080]  他們需要在30天內不睡覺
[00:00:34.080 --> 00:00:37.240]  如果他們經歷完之後
[00:00:37.240 --> 00:00:39.880]  這群人就可以無罪釋放
[00:00:39.880 --> 00:00:44.840]  離開監獄 有自由的空間 自由的生活
[00:00:44.840 --> 00:00:49.280]  你猜猜有沒有人願意參加
[00:00:49.280 --> 00:00:55.240]  有 真的找到五個志願參加了這個實驗
[00:00:55.240 --> 00:00:57.560]  他們被困在密室裡
[00:00:57.560 --> 00:00:59.800]  當然裡面有很多物資給他們
[00:00:59.800 --> 00:01:01.920]  生活的物資是沒有問題的
[00:01:01.920 --> 00:01:02.800]  足夠給他們
[00:01:02.800 --> 00:01:09.000]  而且額外加了一些啤牌 書給他們看
[00:01:09.000 --> 00:01:12.440]  他們開始的時候當然很開心
[00:01:12.440 --> 00:01:15.160]  在裡面30天 目標是30天
[00:01:15.160 --> 00:01:18.320]  只要捱過這30天就可以出來
[00:01:18.320 --> 00:01:20.520]  但是慢慢一天一天的過去
[00:01:20.520 --> 00:01:24.160]  到了第四天的時候已經有點不妥了
[00:01:24.160 --> 00:01:25.360]  他們的人不睡覺
[00:01:25.360 --> 00:01:30.240]  然後慢慢他們聊天的言語裡面
[00:01:30.240 --> 00:01:32.320]  就出現了一些情緒
[00:01:32.320 --> 00:01:35.720]  有一些悲哀 有一些憤怒
[00:01:35.720 --> 00:01:39.920]  很多人想著那時候1940年打仗的時候
[00:01:39.920 --> 00:01:41.160]  前後的時間
[00:01:41.160 --> 00:01:43.480]  然後想著戰爭的過程
[00:01:43.480 --> 00:01:45.920]  那些恐怖的經歷
[00:01:45.920 --> 00:01:49.240]  還有一些過往自己的創傷
[00:01:49.240 --> 00:01:51.760]  還有對這個世界的不滿
[00:01:51.760 --> 00:01:55.280]  越來越嚴重的情況
[00:01:55.280 --> 00:01:57.480]  到了第九天的時候
[00:01:57.480 --> 00:02:00.520]  根本就去到一個不可收拾的狀況
[00:02:00.520 --> 00:02:02.240]  當然很多的細節
[00:02:02.240 --> 00:02:04.760]  因為太恐怖就不方便說
[00:02:04.760 --> 00:02:09.080]  這個故事後來就拍了一部電影
[00:02:09.080 --> 00:02:12.280]  2019年上映
[00:02:12.280 --> 00:02:14.160]  當然有人在質疑裡面
[00:02:14.160 --> 00:02:15.240]  到底這件事是不是真的
[00:02:15.240 --> 00:02:16.280]  我真的不知道
[00:02:16.280 --> 00:02:18.480]  你問我 我也查考不了
[00:02:18.480 --> 00:02:19.800]  到底是真的還是假的
[00:02:19.800 --> 00:02:24.280]  不過這個睡眠剝奪的這件事情
[00:02:24.280 --> 00:02:26.440]  的確有人是做研究的
[00:02:26.440 --> 00:02:29.080]  睡眠有人分為五個階段
[00:02:29.080 --> 00:02:30.680]  我又不是專家 我不詳細說
[00:02:30.680 --> 00:02:34.320]  不過有些人就找一些老鼠做實驗
[00:02:34.320 --> 00:02:36.360]  當他們找了一些老鼠
[00:02:36.360 --> 00:02:39.280]  老鼠一般的壽命是多少年 你知道嗎
[00:02:39.280 --> 00:02:41.000]  兩到三年壽命的
[00:02:41.000 --> 00:02:44.200]  然後他們找了老鼠不讓他們睡覺
[00:02:44.200 --> 00:02:45.160]  不讓他們吃東西
[00:02:45.160 --> 00:02:47.520]  不讓他們做任何事情 就是不讓他們睡覺
[00:02:47.520 --> 00:02:53.240]  然後中斷他們第五個階段的睡眠時間
[00:02:53.240 --> 00:02:56.560]  他們不用五個星期就死了
[00:02:56.560 --> 00:02:57.920]  接著有些更恐怖
[00:02:57.920 --> 00:02:59.720]  簡直一點睡眠都不讓他們睡覺
[00:02:59.720 --> 00:03:02.280]  全部控制住他們
[00:03:02.280 --> 00:03:03.200]  我不知道有什麼方法
[00:03:03.200 --> 00:03:05.120]  總之就不讓老鼠睡覺
[00:03:05.120 --> 00:03:06.640]  不用三個星期
[00:03:06.640 --> 00:03:09.720]  老鼠全部都離世
[00:03:09.720 --> 00:03:11.200]  讓我們看到一件事情
[00:03:11.200 --> 00:03:13.400]  當然我們不會找人去做這個實驗
[00:03:13.400 --> 00:03:14.800]  太恐怖了
[00:03:14.800 --> 00:03:20.680]  每個人都需要每天去睡覺
[00:03:20.680 --> 00:03:25.640]  知不知道我們一生人用了多少時間去睡覺
[00:03:25.640 --> 00:03:26.840]  大概吧
[00:03:26.840 --> 00:03:28.720]  你算多了 二十四個小時
[00:03:28.720 --> 00:03:30.160]  三分之一 非常好
[00:03:30.160 --> 00:03:33.800]  三分之一的時間我們用在睡覺的地方
[00:03:33.800 --> 00:03:38.040]  我們知道睡覺要維持我們身體的機能很重要
[00:03:38.040 --> 00:03:39.440]  如果睡得不好
[00:03:39.440 --> 00:03:41.520]  日常很多事情都做不到
[00:03:41.520 --> 00:03:43.680]  你聽到都會睏
[00:03:43.680 --> 00:03:46.920]  但是睡覺不單止和我們的身體有關
[00:03:46.920 --> 00:03:52.240]  還是和我們屬靈的生命同樣有很重要的關聯
[00:03:52.240 --> 00:03:54.040]  今天就想和大家分享一篇
[00:03:54.040 --> 00:03:57.640]  和睡眠有關的一個專題性的講道
[00:03:57.640 --> 00:04:01.200]  和以往的經文講道可能有些不同
[00:04:01.200 --> 00:04:02.360]  有什麼構思呢
[00:04:02.360 --> 00:04:05.600]  因為我最近有三段的經歷
[00:04:05.600 --> 00:04:08.600]  都重重複複讓我思考這個問題
[00:04:08.600 --> 00:04:11.560]  首先講第一個經歷
[00:04:11.560 --> 00:04:13.160]  過去那幾個月的時間
[00:04:13.160 --> 00:04:14.800]  我感覺自己很疲倦
[00:04:14.800 --> 00:04:16.600]  經常身體不太舒服
[00:04:16.600 --> 00:04:19.280]  睡眠狀況都時好時壞
[00:04:19.280 --> 00:04:21.840]  稍微年輕一點的時候
[00:04:21.840 --> 00:04:23.720]  那時候熬夜很快
[00:04:23.720 --> 00:04:25.400]  一天兩天就沒事了
[00:04:25.400 --> 00:04:29.240]  但是之前不是歐洲盃嗎
[00:04:29.240 --> 00:04:30.400]  有一晚
[00:04:30.400 --> 00:04:31.680]  有免費的
[00:04:31.680 --> 00:04:34.640]  某個電視台去看德國對葡萄牙
[00:04:34.640 --> 00:04:36.160]  凌晨三點
[00:04:36.160 --> 00:04:37.960]  我真的忍不住看了
[00:04:37.960 --> 00:04:39.000]  那場都挺好的
[00:04:39.000 --> 00:04:40.760]  德國贏了
[00:04:40.760 --> 00:04:44.080]  不過看完那晚之後大件事了
[00:04:44.080 --> 00:04:48.240]  連續很長的時間我睡眠都不斷重重複複
[00:04:48.240 --> 00:04:49.960]  晚上都不知道為什麼
[00:04:49.960 --> 00:04:51.720]  暖了大腦
[00:04:51.720 --> 00:04:53.640]  還有失眠的狀況
[00:04:53.640 --> 00:04:55.640]  前幾天我都失眠
[00:04:55.640 --> 00:04:58.840]  於是我就在網絡上查一些資料
[00:04:58.840 --> 00:05:00.640]  發生什麼事
[00:05:00.640 --> 00:05:02.120]  我又沒去看醫生
[00:05:02.120 --> 00:05:03.840]  艱難的階段
[00:05:03.840 --> 00:05:05.280]  發現原來
[00:05:05.280 --> 00:05:07.040]  看到一些報導講到
[00:05:07.040 --> 00:05:09.000]  原來過去
[00:05:09.000 --> 00:05:10.120]  受疫情的影響
[00:05:10.120 --> 00:05:13.760]  世界很多地方的人都有失眠的問題
[00:05:13.760 --> 00:05:15.480]  這些報導講了幾個國家
[00:05:15.480 --> 00:05:16.600]  不過舉個例子
[00:05:16.600 --> 00:05:17.720]  比如英國
[00:05:17.720 --> 00:05:19.320]  英國失眠的人數
[00:05:19.320 --> 00:05:21.280]  從原先百分之十六
[00:05:21.280 --> 00:05:23.400]  一下子跳到百分之二十五
[00:05:23.400 --> 00:05:24.320]  希臘呢
[00:05:24.320 --> 00:05:26.240]  還去到百分之四十
[00:05:26.240 --> 00:05:27.920]  是不是很重要的一個數字
[00:05:27.920 --> 00:05:30.080]  我想問一下在座的弟兄姊妹
[00:05:30.080 --> 00:05:31.680]  或者在線上的弟兄姊妹
[00:05:31.680 --> 00:05:33.760]  你們都可以去想一下這個問題
[00:05:33.760 --> 00:05:37.600]  你有沒有一些類似的睡眠的問題呢
[00:05:37.600 --> 00:05:38.920]  如果我問大家
[00:05:38.920 --> 00:05:39.920]  有問題的舉手
[00:05:39.920 --> 00:05:40.920]  大家都不會舉手
[00:05:40.920 --> 00:05:42.000]  是不是很尷尬
[00:05:42.000 --> 00:05:43.080]  我反過來問
[00:05:43.080 --> 00:05:44.240]  如果過去一年
[00:05:44.240 --> 00:05:46.800]  我完全沒有睡眠問題的
[00:05:46.800 --> 00:05:48.400]  睡得非常安穩的
[00:05:48.400 --> 00:05:50.320]  麻煩你舉一下手
[00:05:50.320 --> 00:05:51.680]  一隻手 兩隻手
[00:05:51.680 --> 00:05:53.600]  五隻以下
