
[00:00:00.000 --> 00:00:05.240]  《聖經》記載馬拿西王在十二歲的時候登基為王
[00:00:05.240 --> 00:00:10.000]  因此我們可以推算馬拿西的其他父親
[00:00:10.000 --> 00:00:13.560]  希西加王在晚年的時候所生的兒子
[00:00:13.560 --> 00:00:15.480]  上一次我也有提到
[00:00:15.480 --> 00:00:17.080]  按照《聖經》的記載
[00:00:17.080 --> 00:00:19.920]  希西加王在晚年的時候患了絕症
[00:00:19.920 --> 00:00:21.280]  無藥可救
[00:00:21.280 --> 00:00:23.480]  甚至要面對死亡
[00:00:23.480 --> 00:00:26.080]  當時先知以賽亞也提醒
[00:00:26.080 --> 00:00:28.200]  希西加王要留為名
[00:00:28.200 --> 00:00:30.800]  希西加王面對著這個絕症
[00:00:30.800 --> 00:00:33.000]  他在神面前哀哭
[00:00:33.000 --> 00:00:34.720]  求神的醫治
[00:00:34.720 --> 00:00:36.000]  而《聖經》也記述
[00:00:36.000 --> 00:00:38.880]  神答應了希西加的禱告
[00:00:38.880 --> 00:00:41.800]  讓他神跡地來康復
[00:00:41.800 --> 00:00:45.240]  並且應許將會有十五年的壽命
[00:00:45.240 --> 00:00:48.080]  所以馬拿西在十二歲的時候登基
[00:00:48.080 --> 00:00:49.680]  我們可以推算
[00:00:49.680 --> 00:00:52.960]  他是在希西加王病好了之後
[00:00:52.960 --> 00:00:54.680]  才來出世的
[00:00:54.680 --> 00:00:57.680]  馬拿西作王長達五十五年
[00:00:57.680 --> 00:01:00.480]  但馬拿西是《聖經》裡所記述
[00:01:00.480 --> 00:01:02.480]  一位很惡的王
[00:01:02.480 --> 00:01:03.760]  馬拿西作王
[00:01:03.760 --> 00:01:06.280]  雖然有一個很敬虔的父親
[00:01:06.280 --> 00:01:07.680]  希西加王
[00:01:07.680 --> 00:01:09.560]  但《聖經》讓我們看見
[00:01:09.560 --> 00:01:12.800]  他並沒有像他父親一樣敬畏神
[00:01:12.800 --> 00:01:14.480]  他父親希西加
[00:01:14.480 --> 00:01:16.960]  是《聖經》裡讚賞的一個王
