
[00:00:00.000 --> 00:00:03.560]  郭台銘前輩讓我們在聆聽上主的說話之先
[00:00:03.560 --> 00:00:05.940]  讓我們一起同心低頭禱告
[00:00:05.940 --> 00:00:07.180]  願命愛心施以來
[00:00:07.180 --> 00:00:09.980]  父臣多謝你
[00:00:09.980 --> 00:00:12.600]  讓我們能夠再次打開你的說話
[00:00:12.600 --> 00:00:14.460]  一起去研讀
[00:00:14.460 --> 00:00:19.460]  明白上主你在這個歷史當中的運作
[00:00:19.460 --> 00:00:22.460]  求你的帶領
[00:00:22.460 --> 00:00:24.960]  當我們看見這個世界
[00:00:24.960 --> 00:00:28.200]  充滿很多失望的事情的時候
[00:00:29.100 --> 00:00:33.380]  以及我們周遭所遇見很多
[00:00:33.380 --> 00:00:37.920]  盡不如人意的事情發生在我們身上的時候
[00:00:37.920 --> 00:00:40.820]  求你讓我們明白
[00:00:40.820 --> 00:00:43.860]  你仍然在掌權
[00:00:43.860 --> 00:00:48.360]  這個世界看似無神的時候
[00:00:48.360 --> 00:00:52.040]  其實上主你悄悄地
[00:00:52.040 --> 00:00:54.560]  其實正在作功夫
[00:00:54.560 --> 00:00:56.640]  求你的帶領
[00:00:56.640 --> 00:00:59.080]  讓我們今天在這堂的信息
[00:00:59.080 --> 00:01:00.680]  在這段經文的裏面
[00:01:00.680 --> 00:01:03.360]  能夠一同的去明白
[00:01:03.360 --> 00:01:05.680]  上主你的行事
[00:01:05.680 --> 00:01:08.380]  也讓我們作為屬神的子民
[00:01:08.380 --> 00:01:10.500]  如何更有智慧
[00:01:10.500 --> 00:01:11.720]  有觸覺
[00:01:11.720 --> 00:01:15.840]  能夠活在這個看似無神的世界當中
[00:01:15.840 --> 00:01:19.000]  禱告奉靠主耶穌基督
[00:01:19.000 --> 00:01:21.300]  得聖的名字而求
[00:01:21.300 --> 00:01:22.300]  阿們
[00:01:27.640 --> 00:01:29.440]  在聖經的裏面
[00:01:29.440 --> 00:01:31.940]  很多時候我們誤會了
[00:01:31.940 --> 00:01:36.420]  聖經只是教導我們有一個神滿有能力
[00:01:36.420 --> 00:01:39.600]  然後幫助我們解決問題
[00:01:39.600 --> 00:01:45.880]  而缺乏了對聖經本來的焦點
[00:01:45.880 --> 00:01:48.720]  聖經本來的焦點是什麼呢
[00:01:48.720 --> 00:01:53.880]  其實就是要讓人脫離罪的捆綁
[00:01:53.880 --> 00:01:58.560]  因為早在創世紀的裏面已經清楚明言
[00:01:58.560 --> 00:02:00.840]  但很可惜的就是
[00:02:00.840 --> 00:02:03.040]  隨著時日的改變
[00:02:03.040 --> 00:02:08.640]  教會也一直在神學上越來越走歪路
[00:02:08.640 --> 00:02:13.120]  認為信一個宗教以至於基督教
[00:02:13.120 --> 00:02:15.520]  都跟其他的宗教一樣
[00:02:15.520 --> 00:02:20.520]  只是希望求神保護保守
[00:02:20.520 --> 00:02:24.760]  如果那個神沒有效那個就沒有用了
[00:02:24.760 --> 00:02:26.520]  因此在基督教裏面
[00:02:26.520 --> 00:02:33.280]  就將大量的看似是神保守的事情成為見證
[00:02:33.280 --> 00:02:38.120]  不斷地倡議或者去推廣
[00:02:38.120 --> 00:02:43.960]  讓人以為只要信基督教的神
[00:02:43.960 --> 00:02:47.160]  耶穌你就可以得到祂的保護
[00:02:48.520 --> 00:02:53.720]  而完全缺乏了對罪的原意
[00:02:53.720 --> 00:02:56.520]  上帝要處理的那個目的
[00:02:56.520 --> 00:02:59.760]  在這樣的情況之下
[00:02:59.760 --> 00:03:04.960]  教會也有一個圍欄之處
[00:03:04.960 --> 00:03:08.120]  圍欄在什麼呢
[00:03:08.120 --> 00:03:14.520]  當如果教會只是全講針對人罪的問題的時候
[00:03:15.000 --> 00:03:18.800]  很多人就不喜歡聽
[00:03:18.800 --> 00:03:21.320]  正所謂忠言逆耳
[00:03:21.320 --> 00:03:26.280]  上帝要你正正處理核心的問題的時候
[00:03:26.280 --> 00:03:29.720]  你卻是不想去觸及這個問題
[00:03:29.720 --> 00:03:31.880]  因為你覺得很羞恥
[00:03:31.880 --> 00:03:35.960]  反而基督教就轉向於要全講
