
[00:00:00.000 --> 00:00:06.500]  今晚的題目叫「從領恩開始去探索禱告的合宜態度與模式」
[00:00:06.500 --> 00:00:10.700]  很多時候我們去談論到禱告的問題
[00:00:10.700 --> 00:00:14.200]  我們弟兄姊妹都很模糊
[00:00:14.200 --> 00:00:17.000]  不知大家在教會裏面有沒有聽過
[00:00:17.000 --> 00:00:20.000]  有人奉主耶穌基督的名禱告
[00:00:20.000 --> 00:00:21.000]  那一定有的
[00:00:21.000 --> 00:00:24.000]  因為主耶穌基督教導我們要奉祂的名去禱告
[00:00:24.000 --> 00:00:26.000]  但是最奇怪的是
[00:00:26.000 --> 00:00:30.000]  我們的禱告對象很多時候都不是耶穌基督教導的
[00:00:30.000 --> 00:00:34.000]  耶穌教導我們的禱告我們又不聽
[00:00:34.000 --> 00:00:37.000]  我們通常會跟耶穌禱告
[00:00:37.000 --> 00:00:39.000]  有時候跟聖靈禱告
[00:00:39.000 --> 00:00:41.000]  各式各樣的東西去禱告
[00:00:41.000 --> 00:00:46.000]  究竟那些是不是真是合上帝的心意的禱告呢
[00:00:46.000 --> 00:00:49.000]  今晚讓我們有些時間
[00:00:49.000 --> 00:00:54.000]  有答問的時間也可以一起思想或者去詢問一下
[00:00:54.000 --> 00:00:58.000]  究竟今天這個講座的目標是什麼呢
[00:00:58.000 --> 00:01:00.000]  首先要講清楚
[00:01:00.000 --> 00:01:03.000]  就是準確去尋求上帝的旨意
[00:01:03.000 --> 00:01:05.000]  我記得我信主一年之後
[00:01:05.000 --> 00:01:07.000]  有一位姐妹走來跟我說
[00:01:07.000 --> 00:01:10.000]  她說弟兄啊
[00:01:10.000 --> 00:01:11.000]  我想問一下你
[00:01:11.000 --> 00:01:15.000]  我們怎樣才可以尋求上帝的旨意
[00:01:15.000 --> 00:01:19.000]  因為基督徒經常都很想知道上帝想我們做什麼
[00:01:19.000 --> 00:01:20.000]  這個是正常的
[00:01:20.000 --> 00:01:22.000]  你不想就反而出問題
[00:01:22.000 --> 00:01:24.000]  不過如果你想就正確的心態
[00:01:24.000 --> 00:01:27.000]  原來在聖經裏面
[00:01:27.000 --> 00:01:29.000]  同樣都有這個期盼的
[00:01:29.000 --> 00:01:32.000]  在《馬太福音》第六章九至十節裏面
