
[00:00:00.000 --> 00:00:05.000]  我哋一齊禱告 我哋仰望神
[00:00:05.000 --> 00:00:10.000]  差天父 多謝你賜下寶貴嘅說話
[00:00:10.000 --> 00:00:13.000]  嚟到鼓勵我哋 勉勵我哋
[00:00:13.000 --> 00:00:15.000]  以致我哋喺困難嘅時候
[00:00:15.000 --> 00:00:18.000]  我哋仍然能夠站立得穩
[00:00:18.000 --> 00:00:21.000]  主呀 願你嘅聖靈喺當中
[00:00:21.000 --> 00:00:23.000]  嚟到運行 教導我哋
[00:00:23.000 --> 00:00:25.000]  讓我哋有信服嘅靈去聆聽
[00:00:25.000 --> 00:00:28.000]  祈禱奉主耶穌基督明教 阿門
[00:00:28.000 --> 00:00:32.000]  在福音第十六章二十五節
[00:00:32.000 --> 00:00:34.000]  咁樣講 佢話
[00:00:34.000 --> 00:00:38.000]  凡是想救自己命的 必喪掉生命
[00:00:38.000 --> 00:00:43.000]  但為我犧牲生命的 必得著生命
[00:00:43.000 --> 00:00:46.000]  一般我哋解釋呢一段經文嘅時候
[00:00:46.000 --> 00:00:48.000]  我哋都係話
[00:00:48.000 --> 00:00:52.000]  如果我哋要跟隨主 做主嘅門徒
[00:00:52.000 --> 00:00:54.000]  就係要負上代價嘅
[00:00:54.000 --> 00:00:59.000]  但係呢 我哋都唔想去提呢個代價
[00:00:59.000 --> 00:01:02.000]  甚至係要為主殉道
[00:01:02.000 --> 00:01:04.000]  我哋唔想去提
[00:01:04.000 --> 00:01:06.000]  我哋亦都唔會想去諗嘅
[00:01:06.000 --> 00:01:08.000]  但係今日嘅經文呢
[00:01:08.000 --> 00:01:14.000]  都讓我哋稍稍去諗一諗呢個主題
[00:01:14.000 --> 00:01:16.000]  但以你書第三章嘅內容
[00:01:16.000 --> 00:01:19.000]  我相信好多人都好熟悉啦
[00:01:19.000 --> 00:01:21.000]  如果你有細過返主日學呢
[00:01:21.000 --> 00:01:24.000]  一定會聽過呢個故事
[00:01:24.000 --> 00:01:27.000]  但以你嘅三個朋友
[00:01:27.000 --> 00:01:29.000]  面對一個好大嘅危機
[00:01:29.000 --> 00:01:34.000]  佢哋面對被冰在火窯裏嘅危機
[00:01:34.000 --> 00:01:38.000]  今日我哋讀嘅經文係下半章
[00:01:38.000 --> 00:01:41.000]  咁我哋應該係睇哂全章嘅
[00:01:41.000 --> 00:01:43.000]  如果讀經係太長
[00:01:43.000 --> 00:01:45.000]  即係讀哂全章
[00:01:45.000 --> 00:01:49.000]  我哋由第三章一節嗰度開始
[00:01:49.000 --> 00:01:53.000]  呢度講尼布甲尼薩王造咗一座金像
[00:01:53.000 --> 00:01:56.000]  高二十七公尺寬三公尺
[00:01:56.000 --> 00:02:02.000]  樹立喺巴比倫省嘅杜拉平原上
[00:02:02.000 --> 00:02:06.000]  咁呢一個像我哋睇睇
[00:02:06.000 --> 00:02:09.000]  呢個像如果用英呎去計
[00:02:09.000 --> 00:02:12.000]  就係九十呎乘九呎
[00:02:12.000 --> 00:02:15.000]  即係個比例好似唔係好啱咁樣
[00:02:15.000 --> 00:02:18.000]  即係我哋人嘅比例都唔係咁樣
[00:02:18.000 --> 00:02:23.000]  咁你可以想像九十呎高九呎闊
[00:02:23.000 --> 00:02:26.000]  好似一個尖塔一樣
[00:02:26.000 --> 00:02:28.000]  一般呢啲尖塔
[00:02:28.000 --> 00:02:32.000]  尖高塔當時係用作宣示
[00:02:32.000 --> 00:02:36.000]  嗰個權力同埋威望
[00:02:36.000 --> 00:02:39.000]  點解要建造一個金像呢
[00:02:39.000 --> 00:02:41.000]  其中一個可能性係
[00:02:41.000 --> 00:02:43.000]  喺第二章嘅時候
[00:02:43.000 --> 00:02:47.000]  係提到但爾利幫皇帝解夢
[00:02:47.000 --> 00:02:49.000]  大家都記得啦
[00:02:49.000 --> 00:02:50.000]  上個禮拜所講
[00:02:50.000 --> 00:02:52.000]  就係皇呢就係
[00:02:52.000 --> 00:02:57.000]  發夢見到一個巨像
[00:02:57.000 --> 00:03:00.000]  我哋睇一睇第二章嘅經文
[00:03:00.000 --> 00:03:01.000]  呢度話
[00:03:01.000 --> 00:03:03.000]  皇啊你是萬王之王
[00:03:03.000 --> 00:03:06.000]  天上嘅神已經將國度權兵
[00:03:06.000 --> 00:03:11.000]  能力同埋榮耀都賜給你
[00:03:11.000 --> 00:03:13.000]  也把散居在各處嘅世人
[00:03:13.000 --> 00:03:14.000]  田野嘅走獸
[00:03:14.000 --> 00:03:15.000]  空中嘅飛鳥
[00:03:15.000 --> 00:03:17.000]  都交在你手裏
[00:03:17.000 --> 00:03:19.000]  使你管理這一切
[00:03:19.000 --> 00:03:23.000]  你就是那金像
[00:03:23.000 --> 00:03:24.000]  但爾利話呢
[00:03:24.000 --> 00:03:26.000]  佢呢個夢裏面呢
[00:03:26.000 --> 00:03:28.000]  個金頭
[00:03:28.000 --> 00:03:31.000]  對唔住唔係金像係金頭
[00:03:31.000 --> 00:03:34.000]  佢就係個金頭
[00:03:34.000 --> 00:03:35.000]  所以呢
[00:03:35.000 --> 00:03:36.000]  有可能係咁樣
[00:03:36.000 --> 00:03:39.000]  佢就做一座金像
[00:03:39.000 --> 00:03:40.000]  其實巴比倫王
[00:03:40.000 --> 00:03:42.000]  佢係代表著
[00:03:42.000 --> 00:03:44.000]  佢所敬拜嘅神
[00:03:44.000 --> 00:03:46.000]  去執掌王權
[00:03:46.000 --> 00:03:48.000]  去統治呢個國度
[00:03:48.000 --> 00:03:50.000]  所以呢個金像呢
[00:03:50.000 --> 00:03:52.000]  代表著宗教合一
[00:03:52.000 --> 00:03:54.000]  萬眾一心
[00:03:54.000 --> 00:03:56.000]  我唔會即係同大家
[00:03:56.000 --> 00:03:58.000]  逐節去睇嘅
[00:03:58.000 --> 00:04:00.000]  我會一段一段咁樣
[00:04:00.000 --> 00:04:02.000]  即係嚟到係講一講
[00:04:02.000 --> 00:04:05.000]  第二至第七節呢一段呢
[00:04:05.000 --> 00:04:06.000]  係講到呢
[00:04:06.000 --> 00:04:09.000]  皇帝呢係召集高官
[00:04:09.000 --> 00:04:11.000]  同埋各省嘅官員
[00:04:11.000 --> 00:04:13.000]  到達平原
[00:04:13.000 --> 00:04:15.000]  去到像嘅面前
[00:04:15.000 --> 00:04:17.000]  就參加一個揭幕嘅儀式
[00:04:17.000 --> 00:04:18.000]  咁呢
[00:04:18.000 --> 00:04:21.000]  你留意係有一隊嘅樂隊嘅
[00:04:21.000 --> 00:04:23.000]  有個orchestra
[00:04:23.000 --> 00:04:24.000]  咁呢就
[00:04:24.000 --> 00:04:27.000]  王就命令佢哋一聽到樂器嘅獻奏呢
[00:04:27.000 --> 00:04:30.000]  就要向個像下拜
[00:04:30.000 --> 00:04:32.000]  留意第四節
[00:04:32.000 --> 00:04:33.000]  嗰度講到話
[00:04:33.000 --> 00:04:37.000]  各國各族各種語言嘅人
[00:04:37.000 --> 00:04:39.000]  因為當時巴比倫呢
[00:04:39.000 --> 00:04:41.000]  係征服咗不同嘅民族
[00:04:41.000 --> 00:04:43.000]  佢哋嘅版圖都好大
[00:04:43.000 --> 00:04:44.000]  所以呢
[00:04:44.000 --> 00:04:49.000]  要各族嘅領袖去誣拜佢嘅像呢
