
[00:00:00.000 --> 00:00:02.880]  我們在《生命記》的時候
[00:00:02.880 --> 00:00:08.000]  我們會說跟查大衛很不同
[00:00:08.000 --> 00:00:10.460]  我自己都覺得很大挑戰
[00:00:10.460 --> 00:00:12.960]  我不知道我們當中有多少基督徒
[00:00:12.960 --> 00:00:16.800]  是很完整地看完整卷的《生命記》
[00:00:16.800 --> 00:00:19.340]  因為當我們剛剛信主的時候
[00:00:19.340 --> 00:00:20.680]  包括我在內
[00:00:20.680 --> 00:00:22.680]  我們看《創世記》也還好
[00:00:22.680 --> 00:00:24.840]  接著看《出埃及記》
[00:00:24.840 --> 00:00:26.300]  但是就好像那些以色列人一樣
[00:00:26.300 --> 00:00:27.840]  我們出不了埃及的
[00:00:27.840 --> 00:00:30.980]  《創世記》、《利未記》、《文數記》、《生命記》
[00:00:30.980 --> 00:00:32.980]  那些「乜濟乜濟」
[00:00:32.980 --> 00:00:35.180]  還有看《誡命》我們看得很悶
[00:00:35.180 --> 00:00:37.760]  結果可能我們就會跳掉它了
[00:00:37.760 --> 00:00:40.720]  但是《生命記》其實是很重要的
[00:00:40.720 --> 00:00:44.300]  但是跟大衛查大衛又很不同
[00:00:44.300 --> 00:00:47.100]  大衛的經文《十六二記》上下
[00:00:47.100 --> 00:00:49.300]  是一些技術性的經文
[00:00:49.300 --> 00:00:52.640]  它的轉變是很多的
[00:00:52.640 --> 00:00:57.140]  可能大衛由他做牧童到後來做官
[00:00:57.140 --> 00:00:59.140]  後來做數羅的女婿
[00:00:59.140 --> 00:01:00.600]  後來就要逃亡
[00:01:00.600 --> 00:01:04.180]  整個過程上有很多不同的轉折位
[00:01:04.180 --> 00:01:07.680]  所以我們看上來就會容易一點
[00:01:07.680 --> 00:01:10.440]  要解釋的時候都容易很多
[00:01:10.440 --> 00:01:11.980]  但是《生命記》就不是了
[00:01:11.980 --> 00:01:14.440]  全部都是講律法的
[00:01:14.440 --> 00:01:16.360]  所以對我們來說
[00:01:16.360 --> 00:01:19.240]  要查考絕對不容易
[00:01:19.240 --> 00:01:22.180]  而使我們查的時候都不悶的話
[00:01:22.180 --> 00:01:23.520]  都不容易的
[00:01:23.520 --> 00:01:27.260]  《生命記》對很多基督徒來說
[00:01:27.260 --> 00:01:30.480]  都不是那麼容易去認識的
[00:01:30.480 --> 00:01:33.100]  很陌生 因為是講律法
[00:01:33.100 --> 00:01:38.300]  好像還是向猶太人所講的律法
[00:01:38.300 --> 00:01:40.140]  你會感到很枯燥的
[00:01:40.140 --> 00:01:41.940]  甚至會覺得有點過時
[00:01:41.940 --> 00:01:43.640]  跟我們沒什麼關係的
[00:01:43.640 --> 00:01:46.340]  很簡單舉一個例子
[00:01:46.340 --> 00:01:48.140]  我們來看看
[00:01:48.140 --> 00:01:52.440]  有一些律法跟我們沒什麼關係的
[00:01:52.440 --> 00:01:53.840]  例如抓小鳥
[00:01:53.840 --> 00:01:57.640]  可以說抓那些小鳥的律法是怎麼樣的呢?
[00:01:57.640 --> 00:02:01.540]  我們來看看《生命記》22章第6到第7節
[00:02:01.540 --> 00:02:04.180]  「你若路上遇見鳥窩
[00:02:04.180 --> 00:02:06.720]  或在樹上或在地上
[00:02:06.720 --> 00:02:09.140]  裡頭有磋或有蛋
[00:02:09.140 --> 00:02:12.340]  無鳥伏在磋上或在蛋上
[00:02:12.340 --> 00:02:15.380]  你不可連母帶磋一併取去
[00:02:15.380 --> 00:02:17.900]  總要放母 只可取磋
[00:02:17.900 --> 00:02:19.800]  這樣你就可以享福
[00:02:19.800 --> 00:02:22.180]  日子得而長久」
[00:02:22.180 --> 00:02:27.100]  第一就是現在我們不會在路上遇到有鳥巢的
