
[00:00:00.000 --> 00:00:03.940]  約瑟爾基第三章第四節
[00:00:03.940 --> 00:00:06.460]  這一節的聖經我們一同來讀
[00:00:06.460 --> 00:00:09.760]  只是你們和約櫃相離要兩千軸
[00:00:09.760 --> 00:00:11.540]  不可與約櫃相近
[00:00:11.540 --> 00:00:13.640]  使你們知道所當走的路
[00:00:13.640 --> 00:00:17.540]  因為這條路你們向來沒有走過
[00:00:17.540 --> 00:00:19.100]  我們就讀到這裡
[00:00:19.100 --> 00:00:22.700]  每年一到七月就忽然想起來
[00:00:22.700 --> 00:00:24.360]  時間過得真快
[00:00:24.360 --> 00:00:26.940]  這一年已經過了一半了
[00:00:26.940 --> 00:00:28.860]  特別是今年
[00:00:28.860 --> 00:00:30.900]  回想這前六個月
[00:00:30.900 --> 00:00:35.360]  我告訴你,我們教會真的空前的忙碌
[00:00:35.360 --> 00:00:38.100]  我就特別列出來
[00:00:38.100 --> 00:00:42.560]  今年教會從年初一直到現在
[00:00:42.560 --> 00:00:47.300]  已經發生或正在進行的新的事情
[00:00:47.300 --> 00:00:50.240]  我列出十大新事
[00:00:50.240 --> 00:00:52.300]  真的有十件大,可能還有更多
[00:00:52.300 --> 00:00:56.440]  第一個,我們看見三月份我們有聖靈週
[00:00:56.440 --> 00:00:57.360]  直到如今
[00:00:57.360 --> 00:01:00.200]  打出來好不好
[00:01:00.200 --> 00:01:01.440]  聖靈週直到如今
[00:01:01.440 --> 00:01:04.740]  很多弟兄姊妹都說非常得到幫助
[00:01:04.740 --> 00:01:08.360]  第二個,我們看見分區靈良特會
[00:01:08.360 --> 00:01:10.260]  從四月底到五月
[00:01:10.260 --> 00:01:12.260]  我們連續在溫哥華
[00:01:12.260 --> 00:01:13.360]  在渥太華
[00:01:13.360 --> 00:01:14.560]  在紐約
[00:01:14.560 --> 00:01:16.840]  連續辦了三場靈良特會
[00:01:16.840 --> 00:01:21.000]  我們看見每一場都為各地帶來屬靈的震撼力
[00:01:21.000 --> 00:01:25.240]  第三個,我們看見教務領袖學院跟 Kingsway 的結盟
[00:01:25.240 --> 00:01:28.940]  我們感謝神經過長期的溝通跟協調
[00:01:28.940 --> 00:01:31.240]  我們獲得了 Kingsway 神學院
[00:01:31.240 --> 00:01:33.260]  給我們一個認可加盟
[00:01:33.260 --> 00:01:37.560]  現在我們的教務領袖學院可以正式頒發碩士學位了
[00:01:37.560 --> 00:01:38.660]  Hallelujah
[00:01:38.660 --> 00:01:41.240]  第四個,生命和教育學院
[00:01:41.240 --> 00:01:47.960]  這是一個以基督教教育跟中文教育為主的一個課後輔導學校
[00:01:47.960 --> 00:01:51.200]  我們已經租下天天超級市長旁邊一個單位
[00:01:51.200 --> 00:01:55.800]  而且感謝神,目前已經拿到所有市政府核准的執照
[00:01:55.800 --> 00:01:56.800]  Hallelujah
[00:01:56.800 --> 00:01:59.200]  (掌聲)
[00:01:59.200 --> 00:02:00.940]  正在全力趕工
[00:02:00.940 --> 00:02:03.540]  八月十九號一定會開學
[00:02:03.540 --> 00:02:05.840]  我知道很多家長說真的會嗎
[00:02:05.840 --> 00:02:06.740]  絕對會
[00:02:06.740 --> 00:02:08.540]  八月十九號鐵定開學
[00:02:08.540 --> 00:02:09.340]  Amen
[00:02:09.340 --> 00:02:13.000]  第五,影音器材數位化
