
[00:00:00.000 --> 00:00:02.000]  我們首先有個禱告
[00:00:02.000 --> 00:00:05.800]  天父我們感謝祢給我們寶貴的聖經
[00:00:05.800 --> 00:00:08.860]  讓我們更加去學習
[00:00:08.860 --> 00:00:11.060]  學習這個功課
[00:00:11.060 --> 00:00:13.060]  悔改的心
[00:00:13.060 --> 00:00:14.340]  求主祢帶領
[00:00:14.340 --> 00:00:16.060]  祈禱奉主耶穌基督的名
[00:00:16.060 --> 00:00:17.060]  阿門
[00:00:17.060 --> 00:00:22.200]  我想大家聽過奧古斯丁這個名
[00:00:22.200 --> 00:00:25.900]  我想很多基督徒都會聽過
[00:00:25.900 --> 00:00:30.240]  他是四世紀一個很重要的教會領袖
[00:00:30.240 --> 00:00:34.840]  通常我們叫這些早期的領袖叫做教父
[00:00:34.840 --> 00:00:42.160]  他是在北非的地方做牧養的工作
[00:00:42.160 --> 00:00:46.620]  他年輕的時候是一個很放蕩不羈的人
[00:00:46.620 --> 00:00:51.000]  特別是男女性的關係很亂
[00:00:51.000 --> 00:00:55.660]  還有他對信仰也有些追求
[00:00:55.660 --> 00:00:57.820]  不過他去了一個異端
[00:00:57.820 --> 00:01:00.820]  變成他整個人很亂
[00:01:00.820 --> 00:01:03.840]  他很想在信仰裏面找一些基礎
[00:01:03.840 --> 00:01:06.480]  但是又好像找不到一個適合的門路
[00:01:06.480 --> 00:01:09.480]  後來他去到Ambrose
[00:01:09.480 --> 00:01:13.860]  Ambrose又是一個早期教會的領袖
[00:01:13.860 --> 00:01:17.940]  他就講到純正的福音信仰
[00:01:17.940 --> 00:01:24.640]  開始奧古斯丁上入這個軌道
[00:01:24.640 --> 00:01:27.440]  但是他人生裏面也有很多的掙扎
[00:01:27.440 --> 00:01:30.460]  有一次他很悶
[00:01:30.460 --> 00:01:37.860]  他和一個朋友去到一個地方散心 遊玩
[00:01:37.860 --> 00:01:43.740]  他當時是因為去到這個意大利米蘭的地方
[00:01:43.740 --> 00:01:47.760]  去學問 做學問
[00:01:47.760 --> 00:01:52.260]  去到那裏 去到一個地方休息一下
[00:01:52.260 --> 00:01:57.820]  他聽到一些小朋友不斷在講一句說話
[00:01:57.820 --> 00:02:01.180]  「拿起來看看 拿起來看看」
[00:02:01.180 --> 00:02:02.740]  「拿起來看看 拿起來看看」
[00:02:02.740 --> 00:02:04.020]  「這是什麼來的呢?」
[00:02:04.020 --> 00:02:05.460]  奧古斯丁就想
[00:02:05.460 --> 00:02:07.460]  「這些可能是小朋友的一些遊戲吧」
[00:02:07.460 --> 00:02:09.300]  他在唸一些東西
[00:02:09.300 --> 00:02:12.300]  唸著唸著他突然有一個意念
[00:02:12.300 --> 00:02:15.480]  「不是的 即是這件事情發生了」
[00:02:15.480 --> 00:02:18.100]  他就看 神可能提醒我
[00:02:18.100 --> 00:02:21.360]  看看聖經吧 可能是神的命令我要看
[00:02:21.360 --> 00:02:25.080]  自己很感受到裏面的感動
[00:02:25.080 --> 00:02:26.340]  就揭開一本聖經
[00:02:26.340 --> 00:02:28.960]  一揭開的時候就看到一段經文
[00:02:28.960 --> 00:02:29.860]  我讀給大家聽
[00:02:29.860 --> 00:02:32.280]  這個經文就扭轉了他一生
[00:02:32.280 --> 00:02:34.580]  在《羅馬書》第十三章
[00:02:34.580 --> 00:02:37.660]  他一揭 神給他
[00:02:37.660 --> 00:02:42.520]  這句經文是很深刻的在他裏面看到
[00:02:42.520 --> 00:02:44.780]  他就看這兩節的經文
[00:02:44.780 --> 00:02:49.420]  「行事為人要端正 好像在白晝行走」
[00:02:49.420 --> 00:02:53.640]  「不可謊言醉酒 不可好色淫蕩」
[00:02:53.640 --> 00:02:59.040]  「不可紛爭嫉妒 總要披戴主耶穌基督」
[00:02:59.040 --> 00:03:03.480]  「不要只顧滿足肉體 去放縱私慾」
[00:03:03.480 --> 00:03:05.600]  只是這句話
[00:03:05.600 --> 00:03:09.960]  正合當時的奧古斯丁那種混亂一片
[00:03:09.960 --> 00:03:14.240]  人生無法控制那種情慾那些敗壞的東西
[00:03:14.240 --> 00:03:18.280]  我一看 哇 聖經的話立刻入到他的心
[00:03:18.280 --> 00:03:22.000]  從此他改變 擺脫這些這樣的行為
[00:03:22.000 --> 00:03:24.480]  並且在當年他就接受水禮
[00:03:24.480 --> 00:03:25.400]  還有他的一個朋友
[00:03:25.400 --> 00:03:28.240]  當時他去這個地方和一個朋友一起
[00:03:28.240 --> 00:03:31.020]  一起去接受這個水禮
[00:03:31.020 --> 00:03:34.500]  奧古斯丁之後再回想這件事情
[00:03:34.500 --> 00:03:36.300]  他說我知道一個事實
[00:03:36.300 --> 00:03:40.260]  他知道神為他自己去創造我的
[00:03:40.260 --> 00:03:42.460]  如果我沒有去到他的面前
[00:03:42.460 --> 00:03:45.260]  去得到在神裏面那種的安息
[00:03:45.260 --> 00:03:47.820]  我找不到我自己的安息
[00:03:47.820 --> 00:03:53.620]  於是奧古斯丁就很努力在教會裏面侍奉
[00:03:53.620 --> 00:03:54.500]  有很多的著作
[00:03:54.500 --> 00:03:57.660]  影響今日西方很多的基督徒
[00:03:57.660 --> 00:04:02.620]  很多的神學著作影響到今天
[00:04:02.620 --> 00:04:05.480]  我們會看到什麼叫信仰
[00:04:05.480 --> 00:04:09.300]  奧古斯丁的掙扎會不會給我們這些的啟迪
[00:04:09.300 --> 00:04:12.500]  有些人我聽到說信耶穌也好
[00:04:12.500 --> 00:04:14.520]  有個心靈的安慰
