
[00:00:00.000 --> 00:00:05.880]  我們一起讀一段聖經,在《使徒行傳》第一章第八節,
[00:00:05.880 --> 00:00:09.000]  我們一同來念,只有一節的聖經,來!
[00:00:09.000 --> 00:00:14.480]  「但聖靈降臨在你們身上,你們就必得著能力,
[00:00:14.480 --> 00:00:23.760]  並要在耶路撒冷,猶太全地和撒瑪利亞,直到地極,做我的見證。」
[00:00:23.760 --> 00:00:28.480]  首先在這裡要先感謝弟兄姊妹的帶導,
[00:00:28.480 --> 00:00:35.680]  禮拜三,我已經很平安地從非洲回來了。
[00:00:35.680 --> 00:00:41.400]  這次去非洲的背南,主要的目的就是為他們剛落成的新唐
[00:00:41.400 --> 00:00:47.480]  來主持獻唐,感恩崇拜,這個照片放一下,非常漂亮,
[00:00:47.480 --> 00:00:51.520]  將榮耀歸給神了,非常美麗的一個會堂。
[00:00:51.520 --> 00:00:56.080]  感謝神,那天不但是有各地的牧者一同前來慶賀,
[00:00:56.080 --> 00:01:01.360]  當地的市長也派了代表到我們中間參加我們的慶典。
[00:01:01.360 --> 00:01:03.640]  那天的節目非常的豐富,
[00:01:03.640 --> 00:01:09.720]  從早上九點一直聚會到下午一點,四個鐘頭。
[00:01:09.720 --> 00:01:13.720]  整個聚會真的充滿了歡喜快樂,
[00:01:13.720 --> 00:01:19.840]  真的大家在神的面前又唱詩又跳舞來讚美神。
[00:01:19.840 --> 00:01:26.600]  我就回想到這二十年來我們在非洲宣教執唐的路程,
[00:01:26.600 --> 00:01:31.000]  我們真的不能夠不為神的恩典來獻上感謝,
[00:01:31.000 --> 00:01:36.280]  我們所信的神真的是一位始無變有的神。
[00:01:36.280 --> 00:01:37.760]  Hallelujah!
[00:01:37.760 --> 00:01:44.080]  二十年前當我們腳踏上非洲這個陌生的土地的時候,
[00:01:44.080 --> 00:01:47.400]  我們可以說是一無所有那個時刻,
[00:01:47.400 --> 00:01:53.480]  可是現在我們在非洲已經在十四個國家建立了八十六間教會。
[00:01:53.480 --> 00:01:54.520]  Hallelujah!
[00:01:54.520 --> 00:01:57.800]  (掌聲)
[00:01:57.800 --> 00:02:04.000]  我們外加我們還有孤兒院、職業訓練學校,還有生命和診所。
[00:02:04.000 --> 00:02:08.600]  神所成就的是遠超過我們所能想像的,Amen!
[00:02:08.600 --> 00:02:10.840]  再將榮耀歸給我們的神,Hallelujah!
[00:02:10.840 --> 00:02:12.120]  (掌聲)
[00:02:12.120 --> 00:02:15.800]  一方面我們也真的要感謝弟兄姊妹在過去這麼多年,
[00:02:15.800 --> 00:02:19.760]  在宣教事公上的支持跟擺上。
[00:02:19.760 --> 00:02:22.040]  另一方面我們必須也承認,
[00:02:22.040 --> 00:02:26.280]  這一切都不是依靠勢力,不是依靠才能,
[00:02:26.280 --> 00:02:30.160]  乃是依靠神的靈方能成事。
[00:02:30.160 --> 00:02:33.080]  (掌聲)
[00:02:33.080 --> 00:02:35.960]  而今天也正好是五旬節,
[00:02:35.960 --> 00:02:40.160]  也是教會傳統的聖靈降臨節。
[00:02:40.160 --> 00:02:45.560]  主耶穌在十六章第一章,在第八節裡應許我們說聖靈降臨在我們身上,
[00:02:45.560 --> 00:02:53.400]  我們就得到能力要在耶路撒冷,猶太、全帝、撒瑪利亞直到地級做主的見證。
[00:02:53.400 --> 00:03:02.760]  在過去二十年,生命和的確就經歷了神應許給教會這個恩典,Amen!
[00:03:02.760 --> 00:03:06.960]  但這個聖靈的能力不單是給教會的,
[00:03:06.960 --> 00:03:12.320]  這個聖靈的能力也是降臨在每一個信徒身上的。
[00:03:12.320 --> 00:03:16.920]  十六章第二章第一節到第四節很清楚講到五旬節到了,
[00:03:16.920 --> 00:03:22.640]  門徒都聚集在一處,忽然有人從天上有響聲下來,
[00:03:22.640 --> 00:03:26.920]  好像一陣大風吹過,充滿了他們所坐的屋子。
[00:03:26.920 --> 00:03:32.080]  又有舌頭如火焰顯現出來,分開落在他們個人頭上,
[00:03:32.080 --> 00:03:38.000]  他們就都被聖靈充滿,按著聖靈所賜的口才說起別國的話來。
[00:03:38.000 --> 00:03:44.200]  這裡很清楚講到神的火是落在個人的頭上。
[00:03:44.200 --> 00:03:45.400]  什麼意思?
[00:03:45.400 --> 00:03:47.880]  換句話說,是在每一個人的身上,
