
[00:00:00.000 --> 00:00:03.320]  我們很感恩可以一起去看神的話語
[00:00:03.320 --> 00:00:04.320]  我們同心禱告
[00:00:04.320 --> 00:00:07.780]  親教主我們很謙卑在祢面前
[00:00:07.780 --> 00:00:11.220]  我們真的很想祢的話語去轉化我們
[00:00:11.220 --> 00:00:12.940]  改變我們的生命
[00:00:12.940 --> 00:00:15.740]  讓我們能夠活一個滿足祢
[00:00:15.740 --> 00:00:17.180]  討祢喜悅的生命
[00:00:17.180 --> 00:00:18.620]  求祢祝福幫助
[00:00:18.620 --> 00:00:19.660]  奉主名求
[00:00:19.660 --> 00:00:20.660]  阿們
[00:00:20.660 --> 00:00:23.520]  有一個美國人叫做
[00:00:23.520 --> 00:00:24.540]  Lee Strobel
[00:00:24.540 --> 00:00:27.120]  他譯做李史特博
[00:00:27.120 --> 00:00:29.820]  他本身是讀傳理系的
[00:00:29.820 --> 00:00:34.640]  後來也在耶魯大學拿了一個法律碩士
[00:00:34.640 --> 00:00:39.640]  他在芝加哥論壇報做了一個調查記者
[00:00:39.640 --> 00:00:40.980]  做了很多很多年
[00:00:40.980 --> 00:00:45.740]  他原本最強調是一個無神論者
[00:00:45.740 --> 00:00:47.940]  他不相信這個世界有神
[00:00:47.940 --> 00:00:50.620]  直到有一次他跟太太吃飯
[00:00:50.620 --> 00:00:52.420]  他太太就噎著了
[00:00:52.420 --> 00:00:56.960]  旁邊有一個做醫護的姐妹救了他太太
[00:00:57.420 --> 00:01:00.840]  他太太就開始跟著這個姐妹回教會
[00:01:00.840 --> 00:01:03.200]  史特博就很反對
[00:01:03.200 --> 00:01:04.780]  勸太太不要回
[00:01:04.780 --> 00:01:06.720]  這個世界不會有神
[00:01:06.720 --> 00:01:09.880]  誰知道後來他太太一路回來還相信了主
[00:01:09.880 --> 00:01:15.380]  他就開始問究竟耶穌是誰
[00:01:15.380 --> 00:01:18.040]  他用他記者的觸覺
[00:01:18.040 --> 00:01:20.320]  用他很法律的思維
[00:01:20.320 --> 00:01:22.120]  他訪問了很多人
[00:01:22.120 --> 00:01:23.720]  他看了很多資料
[00:01:23.720 --> 00:01:25.320]  他看過很多文獻
[00:01:25.900 --> 00:01:28.600]  他用法庭審案的進度
[00:01:28.600 --> 00:01:31.540]  去審視每一項的證據
[00:01:31.540 --> 00:01:33.720]  究竟是否合理呢?
[00:01:33.720 --> 00:01:35.920]  他的結論是什麼呢?
[00:01:35.920 --> 00:01:37.720]  你堅持無神論
[00:01:37.720 --> 00:01:41.400]  比你信耶穌是神更加困難
[00:01:41.400 --> 00:01:44.040]  後來他自己信了主
[00:01:44.040 --> 00:01:45.280]  去讀神學
[00:01:45.280 --> 00:01:48.440]  在美國一些很大的教會裡面去募會
[00:01:48.440 --> 00:01:51.060]  他特別很著力在護教的方面
[00:01:51.060 --> 00:01:53.520]  所以在2007年
[00:01:53.520 --> 00:01:58.640]  美國的南方科學派教會頒發了一個榮譽博士給他
[00:01:58.640 --> 00:02:01.920]  特別是很表揚在護教方面
[00:02:01.920 --> 00:02:03.480]  他真的很出力
[00:02:03.480 --> 00:02:07.560]  在1998年史特伯出了一本很暢銷的書
[00:02:07.560 --> 00:02:09.200]  可能有些人也會看過
[00:02:09.200 --> 00:02:10.720]  《The Case for Christ》
[00:02:10.720 --> 00:02:13.800]  他中文叫做《重審耶穌》
[00:02:13.800 --> 00:02:19.440]  就是用一個很理性法律的角度去證明
[00:02:19.440 --> 00:02:20.940]  耶穌是真的神
[00:02:21.800 --> 00:02:24.600]  他接著又寫了一系列的
[00:02:24.600 --> 00:02:26.760]  《The Case for Faith》
[00:02:26.760 --> 00:02:28.800]  《The Case for a Creator》
[00:02:28.800 --> 00:02:30.920]  這一系列護教的書籍
[00:02:30.920 --> 00:02:32.660]  在2017年
[00:02:32.660 --> 00:02:35.840]  《The Case for Christ》拍成電影了
[00:02:35.840 --> 00:02:39.760]  其實史特伯他所問的這個問題
[00:02:39.760 --> 00:02:41.000]  耶穌是誰
[00:02:41.000 --> 00:02:42.600]  其實歷史歷代的人也會問
[00:02:42.600 --> 00:02:44.360]  可能今天我們
[00:02:44.360 --> 00:02:46.960]  在你未信主前也會問這個問題
[00:02:46.960 --> 00:02:48.080]  耶穌是誰
[00:02:48.080 --> 00:02:51.320]  為什麼要每個星期回來要聽他的道理
[00:02:52.800 --> 00:02:54.320]  今天這段經文
[00:02:54.320 --> 00:02:56.040]  就給了這個答案
[00:02:56.040 --> 00:02:58.400]  耶穌是誰呢?
[00:02:58.400 --> 00:03:02.200]  在這段經文
[00:03:02.200 --> 00:03:04.920]  《路加福音》第九章十到十七
[00:03:04.920 --> 00:03:07.280]  這段經文的上一節
[00:03:07.280 --> 00:03:09.600]  就是《路加福音》九章九節
[00:03:09.600 --> 00:03:11.320]  你們上個星期聽過
[00:03:11.320 --> 00:03:12.520]  希律就說
[00:03:12.520 --> 00:03:14.120]  這個是什麼人?
[00:03:14.120 --> 00:03:15.720]  關於他
[00:03:15.720 --> 00:03:17.600]  我竟然聽到這樣的事
[00:03:17.600 --> 00:03:19.680]  希律正在問這個問題
[00:03:20.200 --> 00:03:22.840]  在這段經文的剛剛下一節
[00:03:22.840 --> 00:03:24.480]  就是九章十八節
[00:03:24.480 --> 00:03:25.880]  耶穌問門徒
[00:03:25.880 --> 00:03:28.280]  眾人說我是誰
[00:03:28.280 --> 00:03:30.120]  別人說我是誰
[00:03:30.120 --> 00:03:31.440]  再隔一節
[00:03:31.440 --> 00:03:32.400]  耶穌問他們
[00:03:32.400 --> 00:03:34.560]  那麼你們又說我是誰呢?
[00:03:34.560 --> 00:03:36.600]  所以如果你看
[00:03:36.600 --> 00:03:38.000]  首尾呼應的
[00:03:38.000 --> 00:03:39.560]  包著這個神蹟
[00:03:39.560 --> 00:03:41.240]  正在問這個問題
[00:03:41.240 --> 00:03:43.000]  祂是誰
[00:03:43.000 --> 00:03:45.080]  也是正在回答這個問題
[00:03:45.080 --> 00:03:46.600]  祂是誰
[00:03:46.600 --> 00:03:50.120]  耶穌施行了很多神蹟
[00:03:50.120 --> 00:03:51.720]  如果你看《四福音》
[00:03:51.720 --> 00:03:53.960]  你會發覺這個五餅如魚
[00:03:53.960 --> 00:03:56.000]  就是唯一一個
[00:03:56.000 --> 00:03:59.040]  在《四福音》都有記載
[00:03:59.040 --> 00:04:00.840]  耶穌所施行的神蹟
[00:04:00.840 --> 00:04:03.760]  所以這個五餅如魚的神蹟
[00:04:03.760 --> 00:04:05.120]  有一些重要性
[00:04:05.120 --> 00:04:08.640]  不是單單讓人吃飽那麼簡單
[00:04:08.640 --> 00:04:10.200]  我們要問
[00:04:10.200 --> 00:04:11.920]  有什麼重要性
[00:04:11.920 --> 00:04:13.720]  馬太、馬可、盧加、約翰
[00:04:13.720 --> 00:04:16.480]  都要記載這個神蹟呢?
[00:04:16.960 --> 00:04:20.560]  我想借助馬可福音的亮光
[00:04:20.560 --> 00:04:22.240]  去理解這個神蹟
[00:04:22.240 --> 00:04:24.240]  因為馬可講得比較仔細
[00:04:24.240 --> 00:04:25.840]  然後你帶著這個理解
[00:04:25.840 --> 00:04:28.200]  進入盧加這一段經文
[00:04:28.200 --> 00:04:30.160]  在馬可福音你會發覺
[00:04:30.160 --> 00:04:32.840]  在六章三十到四十四
[00:04:32.840 --> 00:04:34.040]  有餵飽五千人
[00:04:34.040 --> 00:04:36.480]  就是今天講的神蹟
[00:04:36.480 --> 00:04:38.320]  但是在第八章
[00:04:38.320 --> 00:04:41.560]  又做了一個餵飽四千人
[00:04:41.560 --> 00:04:46.480]  兩個很類似餵飽群眾的神蹟
[00:04:46.960 --> 00:04:49.560]  如果純粹是讓人吃飽呢?
[00:04:49.560 --> 00:04:50.560]  你問我
[00:04:50.560 --> 00:04:54.200]  那些大快樂的也做得到
[00:04:54.200 --> 00:04:56.240]  酒樓也做得到
[00:04:56.240 --> 00:04:57.720]  有什麼那麼神奇
[00:04:57.720 --> 00:05:00.360]  要四福音也要記載呢?
[00:05:00.360 --> 00:05:02.520]  而且也不需要講兩遍
[00:05:02.520 --> 00:05:05.320]  所以四福音記載講兩遍
[00:05:05.320 --> 00:05:06.640]  這是告訴我們
[00:05:06.640 --> 00:05:07.640]  這個有些不同
[00:05:07.640 --> 00:05:11.600]  不是單單讓你肉體滿足那麼簡單
[00:05:11.600 --> 00:05:14.120]  所以馬可福音的八章
[00:05:14.120 --> 00:05:15.920]  做完這個餵飽四千人
[00:05:15.920 --> 00:05:17.520]  另外有一段經文
[00:05:17.520 --> 00:05:20.160]  就是在八章十七到二十一
[00:05:20.160 --> 00:05:22.720]  耶穌知道了就說
[00:05:22.720 --> 00:05:26.320]  你們為什麼因為沒有餅就議論呢?
[00:05:26.320 --> 00:05:28.520]  你們還不領悟
[00:05:28.520 --> 00:05:30.160]  還不明白嗎?
[00:05:30.160 --> 00:05:32.960]  耶穌接著一卷嘴去罵他們
[00:05:32.960 --> 00:05:35.960]  你們的心裡還是如還嗎?
[00:05:35.960 --> 00:05:38.240]  你們有眼睛看不見嗎?
[00:05:38.240 --> 00:05:39.880]  有耳朵聽不見嗎?
[00:05:39.880 --> 00:05:41.000]  也不記得嗎?
[00:05:41.000 --> 00:05:42.680]  就是沒有腦子記不住
[00:05:42.680 --> 00:05:45.760]  我打開那五個餅分給五千人
[00:05:46.040 --> 00:05:49.640]  你們收拾的碎屑裝滿了多少個籃子呢?
[00:05:49.640 --> 00:05:51.040]  他們說十二個
[00:05:51.040 --> 00:05:54.160]  又打開那七個餅分給四千人
[00:05:54.160 --> 00:05:56.920]  你們收拾的碎屑裝滿了多少個籃子呢?
