
[00:00:00.000 --> 00:00:03.000]  大英姊妹剛剛說了感恩節
[00:00:03.000 --> 00:00:06.000]  不過也想跟大家說感恩節快樂
[00:00:06.000 --> 00:00:09.000]  我們再一次低頭祈禱
[00:00:09.000 --> 00:00:10.000]  天父我們多謝祢
[00:00:10.000 --> 00:00:12.000]  因為祢的恩典夠我們用
[00:00:12.000 --> 00:00:14.000]  好像剛才我們唱的詩歌
[00:00:14.000 --> 00:00:16.000]  祢的恩典 祢的恩守
[00:00:16.000 --> 00:00:19.000]  祢自己特別對我們說話的恩賢
[00:00:19.000 --> 00:00:22.000]  祢常常都是與我們同在
[00:00:22.000 --> 00:00:23.000]  我們多謝祢
[00:00:23.000 --> 00:00:24.000]  因為祢是這位
[00:00:24.000 --> 00:00:28.000]  雖然我們不是用肉眼來看的神
[00:00:28.000 --> 00:00:30.000]  但是我們的心眼可以
[00:00:30.000 --> 00:00:32.000]  常常都看到祢的臉
[00:00:32.000 --> 00:00:34.000]  也可以常常與祢親近
[00:00:34.000 --> 00:00:37.000]  今天我們所說的內容
[00:00:37.000 --> 00:00:39.000]  求祢都是親自的
[00:00:39.000 --> 00:00:41.000]  跟我們說話給我們更多的
[00:00:41.000 --> 00:00:45.000]  來看到我們自身的處境
[00:00:45.000 --> 00:00:51.000]  也明白到祢就是我們活著所尋求的意義
[00:00:51.000 --> 00:00:54.000]  奉祖幾多個名祈求 阿們
[00:00:54.000 --> 00:00:58.000]  今天講到人生命中
[00:00:58.000 --> 00:01:00.000]  九個重要問題第六講
[00:01:00.000 --> 00:01:03.000]  就是活著有什麼意義
[00:01:03.000 --> 00:01:06.000]  這個都是一個非常重要的問題
[00:01:06.000 --> 00:01:07.000]  但是很多時候
[00:01:07.000 --> 00:01:09.000]  可能現在都不敢問了
[00:01:09.000 --> 00:01:12.000]  因為似乎太過虛無
[00:01:12.000 --> 00:01:15.000]  或者太過龐大了
[00:01:15.000 --> 00:01:17.000]  你都不知道從何入手的時候
[00:01:17.000 --> 00:01:22.000]  都好像不知道有什麼答案的時候
[00:01:22.000 --> 00:01:24.000]  就不如不要問了
[00:01:24.000 --> 00:01:26.000]  但是小朋友呢
[00:01:26.000 --> 00:01:29.000]  就是大人就越來越不問了
[00:01:29.000 --> 00:01:30.000]  但是小朋友呢
[00:01:30.000 --> 00:01:32.000]  他都常常問的 是不是
[00:01:32.000 --> 00:01:35.000]  但是小朋友常常都說Why Why Why
[00:01:35.000 --> 00:01:37.000]  你叫他做什麼都會問Why
[00:01:37.000 --> 00:01:40.000]  因為人去尋求意義本身
[00:01:40.000 --> 00:01:43.000]  基本上好像一個與生俱來的
[00:01:43.000 --> 00:01:45.000]  一個本能一樣
[00:01:45.000 --> 00:01:50.000]  就是你養個小狗
[00:01:50.000 --> 00:01:52.000]  你教牠一些技巧
[00:01:52.000 --> 00:01:54.000]  譬如可能會跳
