
[00:00:00.000 --> 00:00:03.120]  高等姐妹讓我們在聆聽主的說話以先
[00:00:03.120 --> 00:00:06.120]  我們再次一起同心低頭仰望主愛的神
[00:00:06.120 --> 00:00:10.640]  父神多謝你給我們能夠再次回到你
[00:00:10.640 --> 00:00:12.720]  在你寶貴的說話當中
[00:00:12.720 --> 00:00:16.080]  特別是在丹尼尼的啟示裡面
[00:00:16.080 --> 00:00:21.920]  讓我們能夠更貼近我們今天時代的需要
[00:00:21.920 --> 00:00:26.120]  讓我們能夠有一副熟明的眼睛
[00:00:26.120 --> 00:00:30.560]  來去參透今天這個時代
[00:00:30.560 --> 00:00:32.360]  我們作為屬神的子民
[00:00:32.360 --> 00:00:35.320]  應當怎樣去面對和處理
[00:00:35.320 --> 00:00:38.120]  因為在今天這個世代裡面
[00:00:38.120 --> 00:00:39.560]  罪惡橫行
[00:00:39.560 --> 00:00:42.640]  進入一個沒有理由的狀態
[00:00:42.640 --> 00:00:45.720]  我們再不能夠用一般的邏輯
[00:00:45.720 --> 00:00:48.080]  來推算人的思想的時候
[00:00:48.080 --> 00:00:52.200]  但願我們不會因此而進入混亂
[00:00:52.200 --> 00:00:53.800]  惶恐
[00:00:54.320 --> 00:00:59.400]  相反的我們能夠仍然在真理的裡面
[00:00:59.400 --> 00:01:02.720]  探索準確我們這位的上主
[00:01:02.720 --> 00:01:06.680]  怎樣在時代的當中作為總舵手
[00:01:06.680 --> 00:01:10.480]  很想我們能夠站立得穩
[00:01:10.480 --> 00:01:12.200]  在這個時代的當中
[00:01:12.200 --> 00:01:17.800]  作真正時代洪流當中的一個見證
[00:01:17.800 --> 00:01:20.440]  讓人去重新認識你
[00:01:20.440 --> 00:01:22.920]  偉生於上主你的當中
[00:01:22.920 --> 00:01:24.520]  我們同心的禱告
[00:01:24.520 --> 00:01:28.040]  奉駕主耶穌基督得勝的名字而求
[00:01:28.040 --> 00:01:29.040]  阿們
[00:01:29.040 --> 00:01:32.320]  在上一個星期
[00:01:32.320 --> 00:01:34.000]  我們已經開始了
[00:01:34.000 --> 00:01:39.920]  《彈耳利書》這本書的研讀
[00:01:39.920 --> 00:01:42.960]  讓我們一起在主日的裡面
[00:01:42.960 --> 00:01:45.400]  去思想這段聖經
[00:01:45.400 --> 00:01:48.520]  其實《彈耳利書》有很多個背景
[00:01:48.520 --> 00:01:52.040]  是很值得我們去留心的
[00:01:52.040 --> 00:01:58.840]  如果大家是先前曾經看過我們的講道的話
