
[00:00:00.000 --> 00:00:02.420]  今天看到大家非常的高興
[00:00:02.420 --> 00:00:05.520]  我們可以一同的來領受神的話語
[00:00:05.520 --> 00:00:07.480]  今天是拆傳年會
[00:00:07.480 --> 00:00:10.540]  我這個講到的題目跟我們拆傳年會
[00:00:10.540 --> 00:00:14.380]  等一下大家會看到的那段短片也是一樣
[00:00:14.380 --> 00:00:16.180]  用福音改變生命
[00:00:16.180 --> 00:00:20.540]  是我們整個拆傳月拆傳年會的主題
[00:00:20.540 --> 00:00:25.820]  那在歷史上有很多的領袖
[00:00:25.820 --> 00:00:29.300]  不論他們生前是怎樣的赤照風雲
[00:00:29.300 --> 00:00:33.180]  或者是他們建立多輝煌的功績
[00:00:33.180 --> 00:00:36.660]  但是一旦他們失勢或者死後
[00:00:36.660 --> 00:00:42.540]  他們建立的勢力還有他們的皇朝也會隨着瓦解
[00:00:42.540 --> 00:00:44.740]  好像其中的一些例子
[00:00:44.740 --> 00:00:50.340]  就是古希臘馬其頓王國的阿利山大大帝Alexander the Great
[00:00:50.340 --> 00:00:53.140]  還有我們中國歷史上的秦始皇
[00:00:53.140 --> 00:00:56.220]  他們兩個就是其中很好的例子
[00:00:56.220 --> 00:01:00.060]  但是耶穌基督卻是一個很大的例外
[00:01:00.060 --> 00:01:01.580]  他死了以後
[00:01:01.580 --> 00:01:04.820]  不但他過去的工作沒有停止
[00:01:04.820 --> 00:01:07.300]  反而透過那些他所呼召
[00:01:07.300 --> 00:01:11.700]  我們眼中看來卑微平凡的門徒
[00:01:11.700 --> 00:01:17.300]  一直擴展到今天甚至在世界不同的角落
[00:01:17.300 --> 00:01:20.060]  爲什麼會有這麼大的分別呢
[00:01:20.060 --> 00:01:24.460]  我想關鍵就是耶穌是誰這個問題
[00:01:24.460 --> 00:01:30.220]  如果我們要去明白去了解耶穌到底是誰的話
[00:01:30.220 --> 00:01:34.300]  那我想最好的就是從當時跟隨着耶穌
[00:01:34.300 --> 00:01:40.540]  親眼見到耶穌的他的這些門徒的眼光來找出這個答案
[00:01:40.540 --> 00:01:45.660]  那門徒追隨耶穌大概有三年多的時間
[00:01:45.660 --> 00:01:50.100]  他們怎麼也不會想到跟隨了三年多的這個老師
[00:01:50.100 --> 00:01:52.900]  以前是受萬人擁戴的
[00:01:52.900 --> 00:01:57.340]  能治病趕鬼甚至死人都能叫他復活
