
[00:00:00.000 --> 00:00:02.760]  今天當我們去到聖經的時候
[00:00:02.760 --> 00:00:07.600]  我就會再和大家進一步出埃及記
[00:00:07.600 --> 00:00:09.600]  我很感恩
[00:00:09.600 --> 00:00:11.600]  就在今天
[00:00:11.600 --> 00:00:16.440]  我就宣佈正正式式出完埃及
[00:00:16.440 --> 00:00:18.440]  原因在哪裏呢?
[00:00:18.440 --> 00:00:21.440]  因為今天是最後一堂出埃及記
[00:00:21.440 --> 00:00:25.240]  但今天的出埃及記
[00:00:25.240 --> 00:00:29.240]  是剛剛他們出埃及之後一年
[00:00:29.240 --> 00:00:31.240]  換句話來說
[00:00:31.240 --> 00:00:34.240]  春埃及記最後一章
[00:00:34.240 --> 00:00:38.240]  是和十二章剛剛過紅海
[00:00:38.240 --> 00:00:39.240]  春埃及的時間
[00:00:39.240 --> 00:00:40.240]  即是預節的時間
[00:00:40.240 --> 00:00:43.240]  是剛剛一整年的時間
[00:00:43.240 --> 00:00:45.240]  在這一整年的裏面
[00:00:45.240 --> 00:00:48.240]  發生了什麼事呢?
[00:00:48.240 --> 00:00:51.240]  今天講的經文很長
[00:00:51.240 --> 00:00:53.240]  有可能
[00:00:53.240 --> 00:00:56.240]  你都說牧師行得快點嗎?
[00:00:56.240 --> 00:01:00.240]  因為我今天是由35章一直講到40章
[00:01:00.240 --> 00:01:02.240]  6章聖經
[00:01:02.240 --> 00:01:04.240]  嘩!
[00:01:04.240 --> 00:01:05.240]  不過
[00:01:05.240 --> 00:01:07.240]  我又很想告訴大家
[00:01:07.240 --> 00:01:10.240]  90%以上的經文
[00:01:10.240 --> 00:01:16.240]  其實是重覆25章到31章講的東西
[00:01:16.240 --> 00:01:18.240]  換句話來說
[00:01:18.240 --> 00:01:22.240]  當你留意聽過25章到31章的時間
[00:01:22.240 --> 00:01:26.240]  其實90%的經文你已經聽過了
[00:01:26.240 --> 00:01:30.240]  25到31章講的是山上的洋式
[00:01:30.240 --> 00:01:31.240]  就是見會幕
[00:01:31.240 --> 00:01:33.240]  見裏面一切的器具的時候
[00:01:33.240 --> 00:01:35.240]  祭司各方面的東西
[00:01:35.240 --> 00:01:36.240]  要注意的是什麼呢?
[00:01:36.240 --> 00:01:38.240]  25到31章
[00:01:38.240 --> 00:01:43.240]  逐一逐一非常清楚交代了
[00:01:43.240 --> 00:01:46.240]  去到35章到40章
[00:01:46.240 --> 00:01:48.240]  其實講的是什麼呢?
[00:01:48.240 --> 00:01:53.240]  是講整個會幕的建造
[00:01:53.240 --> 00:01:55.240]  就是到底以色列的子民
[00:01:55.240 --> 00:01:59.240]  如何按著山上的洋式
[00:01:59.240 --> 00:02:03.240]  來建造這個會幕
[00:02:03.240 --> 00:02:06.240]  為了讓我們更加清楚
[00:02:06.240 --> 00:02:11.240]  35章到40章所講的是什麼
[00:02:11.240 --> 00:02:15.240]  你們今天的港督大綱
[00:02:15.240 --> 00:02:18.240]  是特別加料
[00:02:18.240 --> 00:02:20.240]  我怕你們不記得
[00:02:20.240 --> 00:02:24.240]  我相信99%不記得了
[00:02:24.240 --> 00:02:29.240]  到底在25章到31章發生了什麼事
[00:02:29.240 --> 00:02:33.240]  所以我將其中一些
[00:02:33.240 --> 00:02:37.240]  就是25到31章記載過
[00:02:37.240 --> 00:02:40.240]  然後在這個地方出現過的
[00:02:40.240 --> 00:02:42.240]  全部列出來
[00:02:42.240 --> 00:02:46.240]  讓大家看看山上的洋式
[00:02:46.240 --> 00:02:49.240]  35到40章我跟大家講過
[00:02:49.240 --> 00:02:51.240]  是會幕的建立
[00:02:51.240 --> 00:02:55.240]  就是這一段經文的焦點
[00:02:55.240 --> 00:02:56.240]  但這一段經文的焦點
[00:02:56.240 --> 00:02:57.240]  會幕的建立
[00:02:57.240 --> 00:03:01.240]  全部是按著山上的洋式來建造
[00:03:01.240 --> 00:03:03.240]  35章的1到36節
[00:03:03.240 --> 00:03:08.240]  是講到建會幕前的準備
[00:03:08.240 --> 00:03:12.240]  1到3節是要守安息人
[00:03:12.240 --> 00:03:17.240]  4到29節是獻會幕所需的材料
[00:03:17.240 --> 00:03:20.240]  但其中只有兩節沒有提及
[00:03:20.240 --> 00:03:22.240]  就是25章的8到9節
[00:03:22.240 --> 00:03:26.240]  其他全部都已經在25章提及
[00:03:26.240 --> 00:03:28.240]  是1到9節提及
[00:03:28.240 --> 00:03:31.240]  第三是建築師的呼召
[00:03:31.240 --> 00:03:36.240]  31章1到11節已經提及了
[00:03:36.240 --> 00:03:41.240]  第二部分就是36章的8到38節
[00:03:41.240 --> 00:03:44.240]  是講到會幕的建造
[00:03:44.240 --> 00:03:48.240]  這個會幕包括帳幕的建造8到13節
[00:03:48.240 --> 00:03:52.240]  然後罩棚的建造14到19節
[00:03:52.240 --> 00:03:55.240]  樹板的建造20到34節
[00:03:55.240 --> 00:03:59.240]  另外就是柱子和萬子的建造
[00:03:59.240 --> 00:04:01.240]  35到38節
[00:04:01.240 --> 00:04:07.240]  其中只有26章的33到35節沒有提及
[00:04:07.240 --> 00:04:14.240]  其餘的部分全部都在26章1到37節出現了
[00:04:14.240 --> 00:04:18.240]  第三部分是會幕的裝修
[00:04:18.240 --> 00:04:22.240]  由37章的1節到38章的20節
[00:04:22.240 --> 00:04:26.240]  這個裝修包括了約37章的1到9節
[00:04:26.240 --> 00:04:33.240]  其中只有25章的15到16節和21到22節沒有提及
