
[00:00:00.000 --> 00:00:01.680]  弟兄姊妹主禮平安
[00:00:01.680 --> 00:00:04.480]  感恩今晚讓我們
[00:00:04.480 --> 00:00:07.000]  弟兄姊妹經過一個星期之後
[00:00:07.000 --> 00:00:09.520]  我們在我們平時的生活裏面
[00:00:09.520 --> 00:00:14.440]  是可以放下今晚一起來敬拜主
[00:00:14.440 --> 00:00:16.360]  是藉著祂的話語
[00:00:16.360 --> 00:00:18.360]  剛才我們唱的詩歌、禱告
[00:00:18.360 --> 00:00:20.160]  其實每一個的程序
[00:00:20.160 --> 00:00:23.960]  都是想幫我們能夠放下自己
[00:00:23.960 --> 00:00:27.160]  在今晚這段時間裏面
[00:00:27.160 --> 00:00:29.160]  願主在我們當中工作
[00:00:29.160 --> 00:00:30.600]  對我們的心說話
[00:00:30.600 --> 00:00:32.600]  我們一起繼續有個禱告
[00:00:32.600 --> 00:00:34.600]  將有一段時間交給主
[00:00:34.600 --> 00:00:37.440]  天父我們感謝祢
[00:00:37.440 --> 00:00:40.120]  剛才所唱的詩歌
[00:00:40.120 --> 00:00:42.120]  我們所讀的經文
[00:00:42.120 --> 00:00:43.800]  所獻上的禱告
[00:00:43.800 --> 00:00:45.800]  甚至現在我們向祢的祈求
[00:00:45.800 --> 00:00:47.800]  主我們一一都交給祢
[00:00:47.800 --> 00:00:51.320]  我們這個時間求聖靈在我們心裏面工作
[00:00:51.320 --> 00:00:53.320]  我們願意放下我們
[00:00:53.320 --> 00:00:56.000]  在一個星期的煩擾
[00:00:56.000 --> 00:00:58.840]  或者一個星期裏面我們有不同的經歷
[00:00:58.840 --> 00:01:01.680]  是我們有開心
[00:01:01.680 --> 00:01:03.680]  或者有高興
[00:01:03.680 --> 00:01:05.680]  有得有失
[00:01:05.680 --> 00:01:07.320]  在這個時間都不重要
[00:01:07.320 --> 00:01:09.320]  我們願意來到祢的面前
[00:01:09.320 --> 00:01:11.320]  將我們過去一個星期
[00:01:11.320 --> 00:01:13.320]  一切的事情
[00:01:13.320 --> 00:01:15.320]  悲喜得失
[00:01:15.320 --> 00:01:17.320]  我們都交回到祢的面前
[00:01:17.320 --> 00:01:19.320]  我們願意是專一的
[00:01:19.320 --> 00:01:21.320]  去敬拜祢
[00:01:21.320 --> 00:01:23.320]  我們願意是敞開我們的心
[00:01:23.320 --> 00:01:25.320]  求聖靈在我們心裏面工作
[00:01:25.320 --> 00:01:27.320]  剛才所唱的詩歌
[00:01:27.320 --> 00:01:29.320]  我們心裏面的
[00:01:29.320 --> 00:01:31.320]  是盼望祈求
[00:01:31.320 --> 00:01:33.320]  求祢垂聽
[00:01:33.320 --> 00:01:35.320]  願意以下這段時間
[00:01:35.320 --> 00:01:37.320]  當我們一起去看聖經的時候
[00:01:37.320 --> 00:01:39.320]  祢的話要打開
[00:01:39.320 --> 00:01:41.320]  求主同樣打開我們的眼
[00:01:41.320 --> 00:01:43.320]  打開我們的心
[00:01:43.320 --> 00:01:45.320]  讓我們能夠被祢的說話
[00:01:45.320 --> 00:01:47.320]  去碰到我們的心
[00:01:47.320 --> 00:01:49.320]  我們當中有不同的需要
[00:01:49.320 --> 00:01:51.320]  甚至我們當中
[00:01:51.320 --> 00:01:53.320]  有些還未相信祢
[00:01:53.320 --> 00:01:55.320]  求聖靈在我們每個人心裏面工作
[00:01:55.320 --> 00:01:57.320]  幫助我們
[00:01:57.320 --> 00:01:59.320]  今晚是這個聚會
[00:01:59.320 --> 00:02:01.320]  這個崇拜
[00:02:01.320 --> 00:02:03.320]  得夢至於主祢自己閱立
[00:02:03.320 --> 00:02:05.320]  祢亦都能夠對我們說話
[00:02:05.320 --> 00:02:07.320]  聽我們的禱告
[00:02:07.320 --> 00:02:09.320]  奉主耶穌的名求
[00:02:09.320 --> 00:02:11.320]  阿們
[00:02:11.320 --> 00:02:13.320]  約翰三書
[00:02:13.320 --> 00:02:15.320]  是一本
[00:02:15.320 --> 00:02:17.320]  是很短的
[00:02:17.320 --> 00:02:19.320]  聖經裏面的書
[00:02:19.320 --> 00:02:21.320]  有多少個人呢
[00:02:21.320 --> 00:02:23.320]  我想問
[00:02:23.320 --> 00:02:25.320]  今晚是第一次
[00:02:25.320 --> 00:02:27.320]  看這段經文嗎
[00:02:27.320 --> 00:02:29.320]  有多少人呢
[00:02:29.320 --> 00:02:31.320]  原來都不少
[00:02:31.320 --> 00:02:33.320]  都不少
[00:02:33.320 --> 00:02:39.320]  約翰三書其實在新約的聖經裏面
[00:02:39.320 --> 00:02:41.320]  以字數來說
[00:02:41.320 --> 00:02:43.320]  是最短的
[00:02:43.320 --> 00:02:45.320]  今晚大家回家後再讀一次
[00:02:45.320 --> 00:02:49.320]  是整本新約的書
[00:02:49.320 --> 00:02:51.320]  是最短的
[00:02:51.320 --> 00:02:53.320]  其他短的
[00:02:53.320 --> 00:02:55.320]  書卷
[00:02:55.320 --> 00:02:57.320]  是尤大書
[00:02:57.320 --> 00:02:59.320]  肥利門書
[00:02:59.320 --> 00:03:01.320]  或者是約翰二書
[00:03:01.320 --> 00:03:03.320]  約翰三書
[00:03:03.320 --> 00:03:05.320]  大家知道是三書
[00:03:05.320 --> 00:03:07.320]  當然有二和一
[00:03:07.320 --> 00:03:09.320]  大家比較熟悉
[00:03:09.320 --> 00:03:11.320]  約翰三書
