
[00:00:00.000 --> 00:00:05.040]  今日的訊息與以往的差傳訊息有少許的分別
[00:00:05.040 --> 00:00:08.900]  分別在於比較屬靈化一點
[00:00:08.900 --> 00:00:10.380]  好像這樣說
[00:00:10.380 --> 00:00:13.540]  你會看到那個題目是講異象
[00:00:13.540 --> 00:00:16.340]  異象真的不容易去明白
[00:00:16.340 --> 00:00:19.760]  在今天的訊息裏我不會說很多很具體
[00:00:19.760 --> 00:00:24.080]  教會應該怎樣去部署 應該怎樣去推動
[00:00:24.080 --> 00:00:25.980]  應該弟兄姊妹怎樣在當中
[00:00:25.980 --> 00:00:30.480]  去一步一步在差傳事供裏面的努力 學習
[00:00:30.480 --> 00:00:34.140]  我今天不嘗試從這個角度與弟兄姊妹分享這件事
[00:00:34.140 --> 00:00:38.380]  而是我希望回到一個更根本的地方
[00:00:38.380 --> 00:00:40.740]  就是問一個很重要的問題
[00:00:40.740 --> 00:00:45.340]  就是我們有沒有宣教的異象
[00:00:45.340 --> 00:00:48.180]  我們有沒有看到神的心意向我們顯明
[00:00:48.180 --> 00:00:50.500]  而我們又明白 我們又捕捉 我們又看到
[00:00:50.500 --> 00:00:55.480]  然後我們又回應 然後朝著這個方向去努力呢
[00:00:55.480 --> 00:00:57.580]  這個更加重要 因為很多時候
[00:00:57.580 --> 00:01:01.020]  唯有當我們有這樣的領受 有一種屬靈的體見
[00:01:01.020 --> 00:01:05.300]  我們有掌握到 才有那個力量驅使我們去努力
[00:01:05.300 --> 00:01:07.700]  排除萬難去做
[00:01:07.700 --> 00:01:09.640]  我們不是因純去做事
[00:01:09.640 --> 00:01:13.140]  我們是因為有領受 有上帝這個真實的
[00:01:13.140 --> 00:01:15.480]  又真又活的神在我們中間顯明的心情
[00:01:15.480 --> 00:01:18.180]  我們就努力去為祂擺上
[00:01:18.180 --> 00:01:20.900]  這個才是更加根本
[00:01:20.900 --> 00:01:24.220]  所以今天可能有些弟兄姊妹會失望
[00:01:24.220 --> 00:01:27.680]  我為什麼不說那麼多具體事供的安排
[00:01:27.680 --> 00:01:32.180]  但是或者從教會的宣教異象去領會一下
[00:01:32.180 --> 00:01:35.040]  可能都有它的益處
[00:01:35.040 --> 00:01:38.120]  今天的信息 我的表達
[00:01:38.120 --> 00:01:41.260]  和我過去在主教崇拜講到也都有一點點的不同
[00:01:41.260 --> 00:01:42.880]  不同在於什麼呢?
[00:01:42.880 --> 00:01:47.960]  不同在於我很希望現在和大家唱一首歌
[00:01:47.960 --> 00:01:52.600]  從這首歌裏面引發起我們對這個異象的思考
[00:01:52.600 --> 00:01:57.540]  特別是宣教異象的思考
[00:01:57.540 --> 00:01:59.120]  一起唱一首歌
[00:01:59.120 --> 00:02:02.940]  已經登了在程序表和在PowerPoint裏面的
[00:02:02.940 --> 00:02:05.360]  「成為我異象」
[00:02:05.360 --> 00:02:08.880]  弟兄姊妹特別留意那個英文的原句
[00:02:08.880 --> 00:02:11.880]  「Be thou my vision」
[00:02:11.880 --> 00:02:13.800]  「thou」是神
[00:02:13.800 --> 00:02:16.480]  「神你是我的異象」
[00:02:16.480 --> 00:02:18.720]  這個真的是不是很難?
[00:02:18.720 --> 00:02:20.480]  但是當真是「神成為我的異象」
[00:02:20.480 --> 00:02:22.880]  你發現那種火熱的心
[00:02:22.880 --> 00:02:27.380]  那種活力就在生命裏面走出來
[00:02:27.380 --> 00:02:28.860]  我們一起唱這首歌好不好?
[00:02:28.860 --> 00:02:30.800]  我相信大家都可能唱過了
[00:02:30.800 --> 00:02:32.440]  因為在浸會裏面
[00:02:32.440 --> 00:02:35.040]  我們認識這首歌是在重主新歌
[00:02:35.040 --> 00:02:37.400]  現在就改了做「世紀重讚」
[00:02:37.400 --> 00:02:41.140]  我估計西區浸信會過去都是用重主的 是不是?
[00:02:41.140 --> 00:02:44.160]  我是重主 即是重主那樣浸大出來的
