
[00:00:00.000 --> 00:00:00.760]  各位親愛的姐妹
[00:00:00.760 --> 00:00:06.400]  最近我和翠茵經常都做一件事
[00:00:06.400 --> 00:00:08.160]  就是照顧嬰兒
[00:00:08.160 --> 00:00:12.560]  其中照顧嬰兒最近就做了一件事
[00:00:12.560 --> 00:00:14.560]  要有一個道具
[00:00:14.560 --> 00:00:16.320]  就是這條紗巾
[00:00:16.320 --> 00:00:20.200]  這條紗巾就是Kick的好朋友
[00:00:20.200 --> 00:00:22.680]  Kick就是我們的兒子
[00:00:22.680 --> 00:00:24.200]  這條紗巾做甚麼呢
[00:00:24.200 --> 00:00:26.680]  我將這條紗巾玩一件事
[00:00:26.680 --> 00:00:31.360]  就是將它放在Kick的臉上
[00:00:31.360 --> 00:00:37.600]  然後就這樣玩這件事
[00:00:37.600 --> 00:00:40.240]  為甚麼要玩這件事呢
[00:00:40.240 --> 00:00:43.200]  就是要令他知道
[00:00:43.200 --> 00:00:47.120]  其實有些東西雖然遮蓋著
[00:00:47.120 --> 00:00:50.720]  但其實是在這裡的
[00:00:50.720 --> 00:00:54.000]  這不是一個無聊的遊戲
[00:00:54.000 --> 00:00:59.080]  原來大概四至六個月大的嬰兒
[00:00:59.080 --> 00:01:03.320]  他這一刻才開始懂得一件事
[00:01:03.320 --> 00:01:07.160]  叫做「物體倖存」的概念
[00:01:07.160 --> 00:01:11.440]  即使可能是他眼睛看不到
[00:01:11.440 --> 00:01:15.560]  但並不代表不存在
[00:01:15.560 --> 00:01:22.840]  剛才Nicole在一群青少年獻唱的時候
[00:01:22.840 --> 00:01:27.360]  中間讀了一節經文
[00:01:27.360 --> 00:01:34.160]  講到信就是對所盼望的事有把握
[00:01:34.160 --> 00:01:38.480]  對未見之事有確具
[00:01:38.480 --> 00:01:44.560]  如果我們看到就不用信
[00:01:44.560 --> 00:01:48.880]  是看不到我們才說信
[00:01:48.880 --> 00:01:55.160]  信是基督教很重要很重要的一個課題
[00:01:55.160 --> 00:01:58.240]  當希伯來書的作者
[00:01:58.240 --> 00:02:00.400]  在十一章裏面
[00:02:00.400 --> 00:02:05.200]  一直在講一些所謂救藥的英雄人物
[00:02:05.200 --> 00:02:07.000]  或者他們的事蹟的時候
[00:02:07.000 --> 00:02:10.000]  一一都羅列出來
[00:02:10.000 --> 00:02:18.320]  其中所要鼓勵的重點就是當時的信徒
[00:02:18.320 --> 00:02:19.360]  為甚麼呢?
[00:02:19.360 --> 00:02:24.920]  其實當時的信徒是正在受內憂外患的壓力
[00:02:24.920 --> 00:02:33.560]  外憂當然是一些繼續逼迫基督徒的羅馬人
[00:02:33.560 --> 00:02:35.080]  另一方面
[00:02:35.080 --> 00:02:41.440]  他們內患就是有一些信基督是尼塞亞的信徒
[00:02:41.440 --> 00:02:46.600]  他們覺得猶太教好像優越一點
[00:02:46.600 --> 00:02:49.880]  覺得自己好像很不夠
[00:02:49.880 --> 00:02:52.440]  希伯來書告訴他們
[00:02:52.440 --> 00:02:58.560]  你們信仰的重點是在耶穌基督的救贖裏面
[00:02:58.560 --> 00:03:01.200]  因為耶穌基督的救贖是完全的
[00:03:01.200 --> 00:03:06.120]  而且是一次獻上永遠有功效的救贖
[00:03:06.120 --> 00:03:10.240]  所以他希望透過這些歷史的前人
[00:03:10.240 --> 00:03:17.000]  來激勵當時正在受迫迫的基督徒
[00:03:17.000 --> 00:03:21.320]  今天我講到的經文會是由三十二節開始
[00:03:21.320 --> 00:03:27.840]  盼望我們都能夠透過神親自默示的話語
[00:03:27.840 --> 00:03:31.440]  去提醒和感動今天的我們
[00:03:31.440 --> 00:03:37.760]  請我們一起祈禱
[00:03:37.760 --> 00:03:40.720]  天父我感謝祢的創造
[00:03:40.720 --> 00:03:44.880]  好使我們都能夠有生命的氣息
[00:03:44.880 --> 00:03:46.840]  耶穌我感謝祢
[00:03:46.840 --> 00:03:48.520]  祢恩著愛我們
[00:03:48.520 --> 00:03:52.040]  祢寫在十字架上完成救贖
[00:03:52.040 --> 00:03:55.560]  使當我們願意信靠祢的時候
[00:03:55.560 --> 00:03:59.120]  我們就能夠透過祢
[00:03:59.120 --> 00:04:02.360]  得到永生的盼望
