
[00:00:00.000 --> 00:00:02.600]  好,我們在聖餐禮開始之前,我們先低頭,我們禱告
[00:00:02.600 --> 00:00:05.500]  天文教你自己來帶去祝福我們每一個人
[00:00:05.500 --> 00:00:07.500]  讓我們經歷你的愛
[00:00:07.500 --> 00:00:09.500]  讓我們知道我們不是獨善其身
[00:00:09.500 --> 00:00:11.500]  讓我們能夠在神理的教育裏面
[00:00:11.500 --> 00:00:13.500]  來承擔當進的本分
[00:00:13.500 --> 00:00:15.500]  讓我們特別來經歷你的復活的時候
[00:00:15.500 --> 00:00:17.500]  知道我們可以靠著主理
[00:00:17.500 --> 00:00:19.500]  我們有能力去勝過我們的軟弱
[00:00:19.500 --> 00:00:21.500]  求主你藉由今天所講的訊息
[00:00:21.500 --> 00:00:23.000]  成為眾弟姊妹的幫助
[00:00:23.000 --> 00:00:24.500]  祈禱拉奉主德性的名
[00:00:24.500 --> 00:00:25.500]  Amen
[00:00:25.500 --> 00:00:26.500]  當新年的時候
[00:00:26.500 --> 00:00:28.000]  有些人見到新年快樂
[00:00:28.000 --> 00:00:29.500]  那我又很壞,我經常都說
[00:00:29.500 --> 00:00:31.500]  我不是只祝福新年快樂,我每天都快樂
[00:00:31.500 --> 00:00:33.500]  那我祝福你每天快樂
[00:00:33.500 --> 00:00:35.500]  那些人生日我都會這樣說
[00:00:35.500 --> 00:00:37.500]  不是單單祝福你生日快樂,我希望你每天都快樂
[00:00:37.500 --> 00:00:39.500]  那今天是復活節
[00:00:39.500 --> 00:00:41.500]  復活節的時候
[00:00:41.500 --> 00:00:43.500]  我們當然會想耶穌的復活
[00:00:43.500 --> 00:00:45.500]  但不要忘記耶穌是一個復活的主
[00:00:45.500 --> 00:00:47.500]  祂每天都是復活的主
[00:00:47.500 --> 00:00:49.500]  每個禮拜日其實都是復活節主日
[00:00:49.500 --> 00:00:51.500]  那當然在這個日子裏
[00:00:51.500 --> 00:00:53.500]  我們會特別來帶去思想
[00:00:53.500 --> 00:00:55.500]  主耶穌的復活和我們有什麼關係
[00:00:55.500 --> 00:00:57.500]  那我們要從兩個角度去看
[00:00:57.500 --> 00:00:59.500]  大家有沒有留意到
[00:00:59.500 --> 00:01:01.500]  當耶穌復活的時候
[00:01:01.500 --> 00:01:03.500]  那些跟隨耶穌的人和那些信徒
[00:01:03.500 --> 00:01:05.500]  他們在不同的地方
[00:01:05.500 --> 00:01:07.500]  但他們的反應是很相同的
[00:01:07.500 --> 00:01:09.500]  還有就是
[00:01:09.500 --> 00:01:11.500]  耶穌去見這些人的時候
[00:01:11.500 --> 00:01:13.500]  雖然都是在不同的地方
[00:01:13.500 --> 00:01:15.500]  但耶穌都是相同地
[00:01:15.500 --> 00:01:17.500]  給了他們一個指令
[00:01:17.500 --> 00:01:19.500]  那我就從這兩個角度去看
[00:01:19.500 --> 00:01:21.500]  我就是看看跟隨主的人
[00:01:21.500 --> 00:01:23.500]  聽到耶穌復活
[00:01:23.500 --> 00:01:25.500]  他們大部分的反應都是什麼呢
[00:01:25.500 --> 00:01:27.500]  不信
[00:01:27.500 --> 00:01:29.500]  不是吧
[00:01:29.500 --> 00:01:31.500]  我們很快看一些經文
[00:01:31.500 --> 00:01:33.500]  你留意到在馬方第十六章
[00:01:33.500 --> 00:01:35.500]  十到十一節的時候
[00:01:35.500 --> 00:01:37.500]  當瑪利亞去告訴跟隨耶穌的人
[00:01:37.500 --> 00:01:39.500]  他們正在哀悼哭泣
[00:01:39.500 --> 00:01:41.500]  但當他們聽見耶穌復活的時候
[00:01:41.500 --> 00:01:43.500]  被瑪利亞看見
[00:01:43.500 --> 00:01:45.500]  卻是不信
[00:01:45.500 --> 00:01:47.500]  跟著馬方十六章十二到十三節
[00:01:47.500 --> 00:01:49.500]  這時以赫門道
[00:01:49.500 --> 00:01:51.500]  終有兩個人往鄉下去
[00:01:51.500 --> 00:01:53.500]  走路的時候耶穌變了形象
[00:01:53.500 --> 00:01:55.500]  他們就去告訴其餘的門徒
[00:01:55.500 --> 00:01:57.500]  其餘的門徒也是不信
[00:01:57.500 --> 00:01:59.500]  我們真的有回應的
[00:01:59.500 --> 00:02:01.500]  是不信的
[00:02:01.500 --> 00:02:03.500]  跟著馬方第十六章第十四節
[00:02:03.500 --> 00:02:05.500]  後來十一個門徒坐直的時候
[00:02:05.500 --> 00:02:07.500]  耶穌向他們顯現
[00:02:07.500 --> 00:02:09.500]  責備他們不信
[00:02:09.500 --> 00:02:11.500]  心裡剛硬
[00:02:11.500 --> 00:02:13.500]  因他們不信
[00:02:13.500 --> 00:02:15.500]  那西在他復活以後看見他的人
[00:02:15.500 --> 00:02:17.500]  好,大家一起
[00:02:17.500 --> 00:02:19.500]  你帶他去讀路九分二十四章
[00:02:19.500 --> 00:02:21.500]  第九和第十一節
[00:02:21.500 --> 00:02:23.500]  昨日無那裡回去
[00:02:23.500 --> 00:02:25.500]  也一切的事
[00:02:25.500 --> 00:02:27.500]  告訴十一個使徒和其餘的人
[00:02:27.500 --> 00:02:29.500]  他們這些話
[00:02:29.500 --> 00:02:31.500]  使徒以為是胡言
[00:02:31.500 --> 00:02:33.500]  就不相信
[00:02:33.500 --> 00:02:35.500]  如果我們留意了幾次經文
[00:02:35.500 --> 00:02:37.500]  都出現了一個相同的景象
[00:02:37.500 --> 00:02:39.500]  是什麼呢?
[00:02:39.500 --> 00:02:41.500]  大家都不信耶穌復活
[00:02:41.500 --> 00:02:43.500]  為什麼他們不信耶穌復活呢?
[00:02:43.500 --> 00:02:45.500]  有兩個因素
[00:02:45.500 --> 00:02:47.500]  第一個因素是什麼呢?
[00:02:47.500 --> 00:02:49.500]  耶穌復活之後的樣子
[00:02:49.500 --> 00:02:51.500]  是不同了
[00:02:51.500 --> 00:02:53.500]  你有沒有留意到聖經很少
[00:02:53.500 --> 00:02:55.500]  沒有描繪耶穌的樣貌
[00:02:55.500 --> 00:02:57.500]  你記不記得
[00:02:57.500 --> 00:02:59.500]  就是不想我們畫一些像
[00:02:59.500 --> 00:03:01.500]  去敬拜
[00:03:01.500 --> 00:03:03.500]  但我們相信耶穌復活之後
[00:03:03.500 --> 00:03:05.500]  他的樣子
[00:03:05.500 --> 00:03:07.500]  是和他生前的樣子
[00:03:07.500 --> 00:03:09.500]  是有一定的差距
[00:03:09.500 --> 00:03:11.500]  所以門徒認不出他
