
[00:00:00.000 --> 00:00:06.360]  我們早上起牀,每個人都有很多東西都覺得很重要要做
[00:00:06.360 --> 00:00:14.380]  刷牙洗臉,有些人說要喫早餐,又說要讀聖經
[00:00:14.380 --> 00:00:18.820]  以前我們教會有一位熟練長輩,他就很喜歡提醒我們
[00:00:18.820 --> 00:00:22.100]  他說他自己的習慣就是早上是英文
[00:00:22.100 --> 00:00:24.100]  "No B, No B"
[00:00:24.100 --> 00:00:28.300]  什麼意思呢?就是"No Bible, No Breakfast"
[00:00:28.300 --> 00:00:35.340]  如果不讀聖經之前就不喫早餐,常常提醒"No B, No B"
[00:00:35.340 --> 00:00:41.680]  我太太也跟着這個,所以她早上起牀讀聖經是第一的
[00:00:41.680 --> 00:00:46.780]  我也是"No B, No B",不過我先喫完早餐
[00:00:46.780 --> 00:00:50.060]  因爲我喫完早餐,喝杯咖啡才醒來
[00:00:50.060 --> 00:00:55.500]  我覺得對我來說,醒來讀聖經就比較入腦一點
[00:00:55.500 --> 00:01:02.120]  早上很多東西都很重要,有些女士來說化妝是很重要的
[00:01:02.120 --> 00:01:04.900]  起牀可能第一件事就是化妝
[00:01:04.900 --> 00:01:07.700]  究竟哪些是第一,就是你要做的呢?
[00:01:07.700 --> 00:01:10.440]  所以今天的題目就是這樣的意思
[00:01:10.440 --> 00:01:17.300]  很多東西很重要的,很重要的,但哪一樣是你首先做的呢?
[00:01:17.300 --> 00:01:28.540]  講一下耶穌那時的時代,這個地圖就是巴勒斯坦,即是今天以色列的地方
[00:01:28.540 --> 00:01:32.780]  這邊頂紙我可能要先看這裏,先看那個綠色點
[00:01:32.780 --> 00:01:40.780]  這個地區就是那時耶路撒冷,或者是在這裏的地方
[00:01:40.780 --> 00:01:50.740]  這個區比較重要一點,所以羅馬政府之下有一個叫做希律王管這塊地
[00:01:50.740 --> 00:01:58.900]  上面這裏有一個湖叫做加利利海,其實是一個很小的湖
[00:01:58.900 --> 00:02:06.580]  我稍微計算過,我們旁邊那個 Lake Superior 差不多等於500個加利利海那麼大
[00:02:06.580 --> 00:02:16.500]  就是我們五百分之一的明尼蘇達州任何地方都找到一個湖大過加利利湖的
