
[00:00:00.000 --> 00:00:02.140]  各位早晨 主佬們平安
[00:00:02.140 --> 00:00:09.620]  今天是第幾天了 請問
[00:00:09.620 --> 00:00:13.920]  第幾天
[00:00:13.920 --> 00:00:18.260]  香港不能夠不圍繞這個題目
[00:00:18.260 --> 00:00:21.080]  置身在今時今日的香港
[00:00:21.080 --> 00:00:24.740]  可能很多年前
[00:00:24.740 --> 00:00:28.340]  有一些我們值得整體社會關注的事情
[00:00:28.340 --> 00:00:32.660]  可能是1967年 可能是八九的民運
[00:00:32.660 --> 00:00:34.080]  但是今時今日
[00:00:34.080 --> 00:00:37.960]  在香港的生活 生活的議題
[00:00:37.960 --> 00:00:39.980]  無論你是什麼立場
[00:00:39.980 --> 00:00:43.100]  你不能夠逃避去數算今天香港的日子
[00:00:43.100 --> 00:00:45.240]  究竟香港前途是怎樣
[00:00:45.240 --> 00:00:47.420]  很關鍵的問題
[00:00:47.420 --> 00:00:51.120]  似乎很多人嘗試努力去面對去解決
[00:00:51.120 --> 00:00:53.680]  但未必有這樣的能力去解決
[00:00:55.320 --> 00:00:59.360]  我不知道你和我的立場是不是一樣
[00:00:59.360 --> 00:01:01.380]  你不知道
[00:01:01.380 --> 00:01:04.300]  或者有時候不夠膽去提及或者去討論
[00:01:04.300 --> 00:01:06.900]  其實大家立場是什麼樣的看法
[00:01:06.900 --> 00:01:10.740]  人與人之間在不同的事件
[00:01:10.740 --> 00:01:14.380]  事情 價值觀有不同的看法
[00:01:14.380 --> 00:01:17.460]  有時候會形成了一道牆
[00:01:17.460 --> 00:01:19.740]  有形或者無形的牆
[00:01:19.740 --> 00:01:23.240]  去成為了一種分隔
[00:01:23.240 --> 00:01:25.140]  今天如果你去過旺角
[00:01:25.440 --> 00:01:28.240]  金鐘 中環這些地方
[00:01:28.240 --> 00:01:31.120]  你會看到有些牆在當中
[00:01:31.120 --> 00:01:33.500]  原本是一些雜物
[00:01:33.500 --> 00:01:36.660]  慢慢慢慢可能有竹棚
