
[00:00:00.000 --> 00:00:03.920]  大家早上好 今天是聖誕前夕
[00:00:03.920 --> 00:00:05.040]  明天就是聖誕節
[00:00:05.040 --> 00:00:10.360]  祝大家聖誕節快樂 身體健康 主恩常在
[00:00:10.360 --> 00:00:14.660]  我們首先有一個禱告
[00:00:14.660 --> 00:00:19.180]  天父我們多謝祢給我們今天來到教會
[00:00:19.180 --> 00:00:24.080]  我們一同去紀念主耶穌的降生
[00:00:24.080 --> 00:00:25.880]  願意裡面的意思
[00:00:25.880 --> 00:00:29.920]  我們能夠好好的領會 接受
[00:00:29.920 --> 00:00:32.720]  讓我們得到真正的平安
[00:00:32.720 --> 00:00:37.400]  祈禱奉主耶穌基督的名 阿們
[00:00:37.400 --> 00:00:42.440]  有一位英國基督徒的律師
[00:00:42.440 --> 00:00:46.400]  他觀察現代人的特徵
[00:00:46.400 --> 00:00:54.960]  他提到有一樣有娛樂 無喜樂
[00:00:54.960 --> 00:01:00.240]  人類越來越厲害 越來越多娛樂
[00:01:00.240 --> 00:01:09.480]  我想這個Wellgrave律師是這麼說的
[00:01:09.480 --> 00:01:13.120]  今天我們的娛樂更厲害
[00:01:13.120 --> 00:01:17.480]  如果大家悶 上YouTube
[00:01:17.480 --> 00:01:19.960]  真的24小時也有得看
[00:01:19.960 --> 00:01:21.520]  看之不盡
[00:01:21.520 --> 00:01:26.560]  很多好的歌不厭可以繼續聽
[00:01:26.560 --> 00:01:28.520]  很多戲看完再看
[00:01:28.520 --> 00:01:32.000]  很多娛樂 很多美食
[00:01:32.000 --> 00:01:35.880]  但是Wellgrave是這麼說的
[00:01:35.880 --> 00:01:39.080]  他說人很多忙碌當中去尋找娛樂
[00:01:39.080 --> 00:01:41.040]  似乎停不下來
[00:01:41.040 --> 00:01:44.440]  我們一直在找娛樂
[00:01:44.440 --> 00:01:48.120]  好像充滿了我們的時間
[00:01:48.120 --> 00:01:49.800]  我們不懂得靜下來
[00:01:49.800 --> 00:01:52.640]  另外Wellgrave也說過
[00:01:52.640 --> 00:01:56.960]  在美國有一個基督徒的醫生做了一個調查
[00:01:56.960 --> 00:01:59.440]  調查是在他的診所
[00:01:59.440 --> 00:02:01.960]  讓病人在後診室
[00:02:01.960 --> 00:02:04.840]  讓他們填表問卷
[00:02:04.840 --> 00:02:06.680]  問了他們一個問題
[00:02:06.680 --> 00:02:08.960]  你最大的願望是甚麼
