
[00:00:00.000 --> 00:00:02.000]  早上好各位朋友
[00:00:02.000 --> 00:00:03.000]  早上好
[00:00:03.000 --> 00:00:06.000]  今天跟大家談情說愛
[00:00:06.000 --> 00:00:11.000]  這是一個好消息的主日
[00:00:11.000 --> 00:00:14.000]  叫做福音主日
[00:00:14.000 --> 00:00:21.000]  我不知道你覺得人生最重要的是什麼呢?
[00:00:21.000 --> 00:00:25.000]  最重要的到底是不是健康?
[00:00:25.000 --> 00:00:28.000]  有人說沒有健康就什麼都沒有
[00:00:28.000 --> 00:00:31.000]  有人說其實最重要的是錢
[00:00:31.000 --> 00:00:33.000]  金錢不是萬能
[00:00:33.000 --> 00:00:36.000]  沒有錢就萬萬不能
[00:00:36.000 --> 00:00:39.000]  到底最重要的是什麼呢?
[00:00:39.000 --> 00:00:43.000]  其實我相信你都知道答案了
[00:00:43.000 --> 00:00:50.000]  就是Love
[00:00:50.000 --> 00:00:53.000]  你喜不喜歡聽歌?
[00:00:53.000 --> 00:00:56.000]  有沒有留意流行曲?
[00:00:56.000 --> 00:00:59.000]  其實由我小時候聽歌
[00:00:59.000 --> 00:01:03.000]  聽到我現在已經登陸了
[00:01:03.000 --> 00:01:07.000]  都是那些主題其實是沒有變的
[00:01:07.000 --> 00:01:12.000]  All you need is love
[00:01:12.000 --> 00:01:15.000]  很多歌都是這樣
[00:01:15.000 --> 00:01:16.000]  話說回來
[00:01:16.000 --> 00:01:19.000]  為什麼唱來唱去都是唱這些呢?
[00:01:19.000 --> 00:01:21.000]  可能就是反映出
[00:01:21.000 --> 00:01:29.000]  人生裡面一個永遠得不到滿足的東西
[00:01:29.000 --> 00:01:32.000]  唱完又唱,唱完又唱
[00:01:32.000 --> 00:01:34.000]  不過我今天很想
[00:01:34.000 --> 00:01:37.000]  希望我們在座每一個家庭
[00:01:37.000 --> 00:01:41.000]  特別是那些老夫老妻
[00:01:41.000 --> 00:01:43.000]  是可以知道
[00:01:43.000 --> 00:01:48.000]  人生真的最重要的是愛
[00:01:48.000 --> 00:01:51.000]  而且有一份愛
[00:01:51.000 --> 00:01:55.000]  能夠令到特別的男人
[00:01:55.000 --> 00:01:58.000]  懂得什麼叫做真愛
[00:01:58.000 --> 00:02:01.000]  我經常去中學那裡講道
[00:02:01.000 --> 00:02:04.000]  我就經常告訴那些女生
[00:02:04.000 --> 00:02:06.000]  你要小心
[00:02:06.000 --> 00:02:08.000]  當我男生跟你說
[00:02:08.000 --> 00:02:11.000]  I love you的時候
[00:02:11.000 --> 00:02:13.000]  不要就放心大動
[00:02:13.000 --> 00:02:17.000]  然後就是充分頭腦不顧一切
[00:02:17.000 --> 00:02:21.000]  我們男人說話是很陰濕的
[00:02:21.000 --> 00:02:23.000]  如果說俗一點
[00:02:23.000 --> 00:02:24.000]  可能你都不介意
[00:02:24.000 --> 00:02:27.000]  這裡的人都大過一點
[00:02:27.000 --> 00:02:34.000]  將陰濕前面那個字換了一個都可以
[00:02:34.000 --> 00:02:37.000]  我們很恐怖的
[00:02:37.000 --> 00:02:41.000]  所以難怪為什麼初初是愛愛愛
[00:02:41.000 --> 00:02:44.000]  後來是苦苦苦
[00:02:44.000 --> 00:02:46.000]  很淒慘地
[00:02:46.000 --> 00:02:49.000]  要不就散了Band
[00:02:49.000 --> 00:02:53.000]  由我中學畢業到我今時今日
[00:02:53.000 --> 00:02:56.000]  我環顧四周圍的朋友
[00:02:56.000 --> 00:03:00.000]  都不少是愛得比我早
[00:03:00.000 --> 00:03:02.000]  愛得比我熱
[00:03:02.000 --> 00:03:05.000]  而散得比我快
[00:03:05.000 --> 00:03:08.000]  當然我現在都還沒散
[00:03:08.000 --> 00:03:12.000]  我也有信心絕對不會散
[00:03:12.000 --> 00:03:14.000]  所以我就很有把握在今天
[00:03:14.000 --> 00:03:18.000]  跟大家分享這個愛的訊息
[00:03:18.000 --> 00:03:21.000]  我自己不是一個懂得愛的人
[00:03:21.000 --> 00:03:22.000]  絕對不是
[00:03:22.000 --> 00:03:25.000]  到今時今日都不是
[00:03:25.000 --> 00:03:28.000]  但是我可以很坦白告訴大家
[00:03:28.000 --> 00:03:33.000]  我真是一個很被愛的人
[00:03:33.000 --> 00:03:36.000]  看我的樣子都知道
[00:03:36.000 --> 00:03:39.000]  是滿面幸福
[00:03:39.000 --> 00:03:41.000]  是滿得恩愛
[00:03:41.000 --> 00:03:43.000]  不是因為我配得
[00:03:43.000 --> 00:03:46.000]  就是因為我有
[00:03:46.000 --> 00:03:49.000]  但不單只是我有
[00:03:49.000 --> 00:03:51.000]  如果一個很差的版
[00:03:51.000 --> 00:03:53.000]  他都可以的話
[00:03:53.000 --> 00:03:56.000]  即是說其他的版也都更加可以
[00:03:56.000 --> 00:04:00.000]  所以如果我今天都可以這麼被愛
[00:04:00.000 --> 00:04:02.000]  我想告訴你一個好消息
[00:04:02.000 --> 00:04:06.000]  就是你同樣甚至可以更加被愛
[00:04:06.000 --> 00:04:07.000]  我怎麼知道
