
[00:00:00.000 --> 00:00:02.000]  大堅姐妹早晨
[00:00:02.000 --> 00:00:06.740]  讓我們一起去聆聽 神的愛之仙一起祈禱
[00:00:06.740 --> 00:00:09.560]  天父上帝多謝你 你讓我來到你面前
[00:00:09.560 --> 00:00:11.880]  向你見拜 向你禱告
[00:00:11.880 --> 00:00:13.980]  多謝你來到私恩與我們
[00:00:13.980 --> 00:00:16.600]  也能夠聆聽你的話語
[00:00:16.600 --> 00:00:19.940]  求你與我們眾人同在 與孩子同在
[00:00:19.940 --> 00:00:23.700]  的孩子所講的 弟子們所聽的 也同感一鈴
[00:00:23.700 --> 00:00:25.460]  讓我們在生命當中
[00:00:25.460 --> 00:00:27.900]  再次思想如何去重建
[00:00:27.900 --> 00:00:30.040]  我們生命當中的耶路撒冷
[00:00:30.040 --> 00:00:35.360]  求主帶領 以上禱告奉耶穌的祈禱
[00:00:35.360 --> 00:00:38.300]  大堅姐妹 上個禮拜
[00:00:38.300 --> 00:00:40.360]  錦濟主有控司講
[00:00:40.360 --> 00:00:43.000]  他講的題目跟我們都很相似
[00:00:43.000 --> 00:00:46.460]  是一個被誤解的呼召
[00:00:46.460 --> 00:00:49.340]  今天呢 我想差不多接下去了
[00:00:49.340 --> 00:00:51.600]  我們想講召命
[00:00:51.600 --> 00:00:53.560]  我們呢 其實當聖經講
[00:00:53.560 --> 00:00:56.200]  今天講的是 起來重建耶路撒冷
[00:00:56.200 --> 00:00:59.200]  耶路撒冷有什麼好重建呢
[00:00:59.200 --> 00:01:01.700]  最重要是很豁著耶路撒冷
[00:01:01.700 --> 00:01:04.500]  是不是這一刻的耶路撒冷呢
[00:01:04.500 --> 00:01:08.100]  耶路撒冷可能不單只是代表一個地方
[00:01:08.100 --> 00:01:10.400]  而是在屬靈上都在講
[00:01:10.400 --> 00:01:13.300]  我們跟上帝的關係
[00:01:13.300 --> 00:01:16.500]  上個禮拜講 要離開國安書區
[00:01:16.500 --> 00:01:20.600]  要解一個被誤解的呼召
[00:01:20.600 --> 00:01:23.600]  我想跟大家講一件事 你要記住的
[00:01:23.600 --> 00:01:27.000]  其實每個人都有上帝的召命
[00:01:27.000 --> 00:01:28.800]  在你裡面的當中
[00:01:28.800 --> 00:01:31.900]  那麼 召命是什麼來的
[00:01:31.900 --> 00:01:33.200]  我們繼續去探索
[00:01:33.200 --> 00:01:36.000]  我希望今天藉著這一篇的信息
[00:01:36.000 --> 00:01:37.100]  都鼓勵大家
[00:01:37.100 --> 00:01:39.400]  怎樣能夠實踐我們每人的召命
[00:01:39.400 --> 00:01:42.600]  當中遇著什麼困難
[00:01:42.600 --> 00:01:43.800]  那麼 通常都講
[00:01:43.800 --> 00:01:46.300]  召命不是傳道人才有的嗎
[00:01:46.300 --> 00:01:48.700]  那麼 上帝在聚會當中
[00:01:48.700 --> 00:01:49.900]  或者在聖經當中
[00:01:49.900 --> 00:01:52.900]  呼召了牧師 呼召了德芬 呼召了孩子
[00:01:52.900 --> 00:01:54.400]  我們一起做傳道
[00:01:54.400 --> 00:02:00.200]  這就是專屬聖職人員的經驗
[00:02:00.200 --> 00:02:02.600]  而跟平時的信徒
[00:02:02.600 --> 00:02:03.800]  頂多是沒有的
[00:02:03.800 --> 00:02:06.100]  你覺得是沒有需要的
[00:02:06.100 --> 00:02:08.200]  頂多如果你這樣想 你就錯了
[00:02:08.200 --> 00:02:10.700]  其實每個人都有上帝的召命
[00:02:10.700 --> 00:02:12.600]  在你裡面的當中
