
[00:00:00.000 --> 00:00:01.320]  我們一同禱告
[00:00:01.320 --> 00:00:04.640]  心愛的天父,謝謝你給我們有機會
[00:00:04.640 --> 00:00:06.760]  去默想主你的話語
[00:00:06.760 --> 00:00:09.520]  願意主你的話語一出去的時候
[00:00:09.520 --> 00:00:11.480]  不會突然返回
[00:00:11.480 --> 00:00:14.000]  乃是得着我們弟兄姐妹的心
[00:00:14.000 --> 00:00:15.440]  去歸回於你
[00:00:15.440 --> 00:00:17.520]  而且我們生命得到成長
[00:00:17.520 --> 00:00:19.360]  也能夠成爲別人的祝福
[00:00:19.360 --> 00:00:21.040]  願意聖靈告莫孩子
[00:00:21.040 --> 00:00:23.280]  也告莫衆弟兄姐妹
[00:00:23.280 --> 00:00:26.480]  以致讓我們明白主的道之後
[00:00:26.480 --> 00:00:28.080]  同盟照舊
[00:00:28.080 --> 00:00:29.640]  能夠成爲別人的祝福
[00:00:29.640 --> 00:00:31.640]  禱告奉主耶穌名求
[00:00:31.640 --> 00:00:32.640]  Amen
[00:00:32.640 --> 00:00:33.320]  好
[00:00:33.320 --> 00:00:36.560]  我們今天跟大家分享一個信息
[00:00:36.560 --> 00:00:41.360]  叫放棄權力甘心侍奉
[00:00:41.360 --> 00:00:44.760]  放棄權力甘心侍奉
[00:00:44.760 --> 00:00:48.080]  我講這個信息不是因爲今天下午有個EGM
[00:00:48.080 --> 00:00:48.600]  不是
[00:00:48.600 --> 00:00:51.560]  因爲我前幾天臨修的時候
[00:00:51.560 --> 00:00:53.560]  我看到這段的經文
[00:00:53.560 --> 00:00:57.360]  然後神深深地去抓住我
[00:00:57.360 --> 00:00:58.560]  感動我
[00:00:58.560 --> 00:00:59.840]  我自己得到幫助
[00:00:59.840 --> 00:01:03.360]  希望也與你們一同地去分享
[00:01:03.360 --> 00:01:06.480]  希望你也能夠得到幫助
[00:01:06.480 --> 00:01:08.680]  放棄權力
[00:01:08.680 --> 00:01:10.920]  爲什麼要放棄權力
[00:01:10.920 --> 00:01:13.880]  甘心侍奉
[00:01:13.880 --> 00:01:17.320]  什麼使得我們能夠甘心去侍奉
[00:01:17.320 --> 00:01:20.600]  甘心是快快樂樂地去侍奉
[00:01:20.600 --> 00:01:23.080]  剛纔我們看到的幾段經文
[00:01:23.080 --> 00:01:24.920]  是我們會念的
[00:01:24.920 --> 00:01:27.160]  如果你們手頭上有聖經
[00:01:27.160 --> 00:01:33.760]  我想跟你們還是念第九章第一節到第六節
